bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/24394891-400,way/24394891,400.0,f,Substation,f,way/24394891,54.74978468095592,24.547972663038003,AE
way/24394891-220,way/24394891,220.0,f,Substation,f,way/24394891,54.74950868119063,24.547917124380174,AE
way/29494113-400,way/29494113,400.0,f,Substation,f,way/29494113,55.40735388752943,25.231875294138504,AE
way/29495157-400,way/29495157,400.0,f,Substation,f,way/29495157,55.26433158182544,25.13984515599794,AE
way/29495366-400,way/29495366,400.0,f,Substation,f,way/29495366,55.30348393875662,25.18455579655336,AE
way/29497443-400,way/29497443,400.0,f,Substation,f,way/29497443,55.11655798065419,25.055382849547147,AE
way/29503687-220,way/29503687,220.0,f,Substation,f,way/29503687,54.59273997467016,24.34809337243544,AE
way/29504119-400,way/29504119,400.0,f,Substation,f,way/29504119,54.54134261131388,24.291195799765124,AE
way/29504119-220,way/29504119,220.0,f,Substation,f,way/29504119,54.54106772827389,24.291139258425524,AE
way/29504133-220,way/29504133,220.0,f,Substation,f,way/29504133,54.66122444670823,24.293704705896776,AE
way/94816851-400,way/94816851,400.0,f,Substation,f,way/94816851,55.98012577789671,25.7494143030832,AE
way/94950807-400,way/94950807,400.0,f,Substation,f,way/94950807,54.47906032167032,24.44298556194405,AE
way/94950821-400,way/94950821,400.0,f,Substation,f,way/94950821,54.691576102928266,24.76396182839128,AE
way/94950847-400,way/94950847,400.0,f,Substation,f,way/94950847,54.44371712499087,24.44452607858582,AE
way/95046328-220,way/95046328,220.0,f,Substation,f,way/95046328,54.85216228047267,24.75094019250787,AE
way/95046332-220,way/95046332,220.0,f,Substation,f,way/95046332,54.51122868608146,24.31846021464485,AE
way/95046953-400,way/95046953,400.0,f,Substation,f,way/95046953,55.42178017281911,24.51949462099307,AE
way/95046953-220,way/95046953,220.0,f,Substation,f,way/95046953,55.42150346529373,24.51944166338341,AE
way/95046964-220,way/95046964,220.0,f,Substation,f,way/95046964,55.09741830360482,24.1745484731252,AE
way/95055625-220,way/95055625,220.0,f,Substation,f,way/95055625,55.33172109824415,24.1917760396504,AE
way/95084771-220,way/95084771,220.0,f,Substation,f,way/95084771,55.77335751070616,24.165091441075383,AE
way/95084776-220,way/95084776,220.0,f,Substation,f,way/95084776,55.72942455003405,24.57343618598263,AE
way/95084793-220,way/95084793,220.0,f,Substation,f,way/95084793,55.69541303774543,24.18927693275724,AE
way/95084794-220,way/95084794,220.0,f,Substation,f,way/95084794,55.79426823858776,24.39130966321808,AE
way/95084799-400,way/95084799,400.0,f,Substation,f,way/95084799,55.68548329088318,24.258485710257435,AE
way/95084799-220,way/95084799,220.0,f,Substation,f,way/95084799,55.68520715016228,24.258433574388413,AE
way/95084816-220,way/95084816,220.0,f,Substation,f,way/95084816,55.57303023690615,24.230197217818457,AE
way/1264942732-220,way/1264942732,220.0,f,Substation,f,way/1264942732,54.14695669616271,24.220792466388943,AE
way/95099964-400,way/95099964,400.0,f,Substation,f,way/95099964,53.73022479298332,23.57697330026592,AE
way/95099964-220,way/95099964,220.0,f,Substation,f,way/95099964,53.72995326394572,23.57691309178552,AE
way/95099973-220,way/95099973,220.0,f,Substation,f,way/95099973,53.79436100800768,23.13009337430924,AE
way/301647038-400,way/301647038,400.0,f,Substation,f,way/301647038,52.574021574090885,24.153522813685164,AE
way/301647038-220,way/301647038,220.0,f,Substation,f,way/301647038,52.57374957028886,24.15345864346523,AE
way/132159924-220,way/132159924,220.0,f,Substation,f,way/132159924,55.39690255040704,23.40969366612008,AE
way/132159930-220,way/132159930,220.0,f,Substation,f,way/132159930,51.76661673176451,24.0569178056669,AE
way/132517028-220,way/132517028,220.0,f,Substation,f,way/132517028,52.75536081233788,24.09041943584968,AE
way/149865727-400,way/149865727,400.0,f,Substation,f,way/149865727,55.2926559466215,25.03646467988704,AE
way/173064712-400,way/173064712,400.0,f,Substation,f,way/173064712,55.16974603006896,25.01072889321012,AE
way/174871442-400,way/174871442,400.0,f,Substation,f,way/174871442,54.47128025608915,24.49720242066788,AE
way/181332757-400,way/181332757,400.0,f,Substation,f,way/181332757,55.08001443308027,24.909908123344923,AE
way/181332762-400,way/181332762,400.0,f,Substation,f,way/181332762,55.072014352841926,24.9413967017549,AE
way/181332765-220,way/181332765,220.0,f,Substation,f,way/181332765,54.30520669805823,24.161696036259663,AE
way/181353369-220,way/181353369,220.0,f,Substation,f,way/181353369,53.62669319220257,23.851206279526803,AE
way/181353370-220,way/181353370,220.0,f,Substation,f,way/181353370,53.30341957106297,23.54669235837835,AE
way/181353393-220,way/181353393,220.0,f,Substation,f,way/181353393,53.64841219158578,23.833788124967644,AE
way/181361589-220,way/181361589,220.0,f,Substation,f,way/181361589,54.23219813197233,23.290459929421743,AE
way/181362976-220,way/181362976,220.0,f,Substation,f,way/181362976,55.82168515366539,24.11133250510464,AE
way/200057688-400,way/200057688,400.0,f,Substation,f,way/200057688,55.590266462916574,24.101509948228696,AE
way/200057688-220,way/200057688,220.0,f,Substation,f,way/200057688,55.58999096020993,24.101457319433603,AE
way/1225551111-220,way/1225551111,220.0,f,Substation,f,way/1225551111,54.32319582533348,24.06926646473488,AE
way/227922802-220,way/227922802,220.0,f,Substation,f,way/227922802,54.17340394476515,23.32016316519178,AE
way/259874704-400,way/259874704,400.0,f,Substation,f,way/259874704,54.48805632697581,24.27994779900125,AE
way/259874704-220,way/259874704,220.0,f,Substation,f,way/259874704,54.48778154607828,24.27989104359328,AE
way/260963603-400,way/260963603,400.0,f,Substation,f,way/260963603,56.28226729304189,25.15255128979126,AE
way/301651304-400,way/301651304,400.0,f,Substation,f,way/301651304,52.72109653209848,24.08258548554168,AE
way/301663552-220,way/301663552,220.0,f,Substation,f,way/301663552,54.7180912490845,22.78342238632469,AE
way/301663553-220,way/301663553,220.0,f,Substation,f,way/301663553,52.91783534992163,23.700654787128688,AE
way/301690692-220,way/301690692,220.0,f,Substation,f,way/301690692,53.42642757956546,24.103884184248937,AE
way/301715569-220,way/301715569,220.0,f,Substation,f,way/301715569,54.146822717662616,23.34555865944559,AE
way/301911494-400,way/301911494,400.0,f,Substation,f,way/301911494,56.36906549582872,25.30241028394176,AE
way/309146009-400,way/309146009,400.0,f,Substation,f,way/309146009,51.63813801497822,24.094839420951168,AE
way/354337246-220,way/354337246,220.0,f,Substation,f,way/354337246,53.962939772762745,22.91657627507015,AE
way/354337254-400,way/354337254,400.0,f,Substation,f,way/354337254,53.48658957977602,23.731018140919726,AE
way/354337254-220,way/354337254,220.0,f,Substation,f,way/354337254,53.4863178435643,23.730957120400976,AE
way/354339381-400,way/354339381,400.0,f,Substation,f,way/354339381,55.46644479674531,25.370274138276137,AE
way/359425700-400,way/359425700,400.0,f,Substation,f,way/359425700,55.19385071408982,25.066111288191728,AE
way/375827318-400,way/375827318,400.0,f,Substation,f,way/375827318,55.38145984069773,25.17471273913053,AE
way/385901993-400,way/385901993,400.0,f,Substation,f,way/385901993,55.33392177854919,25.170825392382472,AE
way/395805805-220,way/395805805,220.0,f,Substation,f,way/395805805,53.44115718974556,22.99669320728809,AE
way/416954887-400,way/416954887,400.0,f,Substation,f,way/416954887,54.76760972924205,24.41001816047875,AE
way/416954890-220,way/416954890,220.0,f,Substation,f,way/416954890,54.891148314936586,24.83751085990756,AE
way/416981962-400,way/416981962,400.0,f,Substation,f,way/416981962,54.64335062421235,24.51384823571491,AE
way/438419245-400,way/438419245,400.0,f,Substation,f,way/438419245,55.3590196709216,24.76532021621657,AE
way/1264993337-400,way/1264993337,400.0,f,Substation,f,way/1264993337,52.23205336270783,23.96542484196543,AE
way/526194855-220,way/526194855,220.0,f,Substation,f,way/526194855,53.44977262007019,24.116823790882982,AE
way/722968894-400,way/722968894,400.0,f,Substation,f,way/722968894,54.931508517983445,24.90280480219416,AE
way/801739686-400,way/801739686,400.0,f,Substation,f,way/801739686,55.16505775177617,25.02794904359577,AE
way/900165939-400,way/900165939,400.0,f,Substation,f,way/900165939,54.42668570728047,24.17059300563554,AE
way/939814405-220,way/939814405,220.0,f,Substation,f,way/939814405,53.70269199114499,23.910974868997364,AE
way/1078341293-400,way/1078341293,400.0,f,Substation,f,way/1078341293,54.58878173558679,24.3348567962005,AE
way/1168317384-220,way/1168317384,220.0,f,Substation,f,way/1168317384,55.450638077281006,24.537581418017712,AE
