bus0,bus1,voltage,s_nom,length,type,geometry
way/24394891-400,AE14-400,400.0,3574.952866822164,11441.91,Al/St 240/40 4-bundle 380.0,"LINESTRING (54.74978468095592 24.547972663038003, 54.75090724357451 24.553586843388437, 54.7509325 24.5561931, 54.7510232 24.5599909, 54.7511067 24.5639814, 54.751141 24.567744, 54.7512698 24.5712957, 54.7513642 24.575339, 54.7514243 24.5794759, 54.7514843 24.5835502, 54.7515702 24.5875308, 54.7516388 24.5915736, 54.7516903 24.5954368, 54.7518105 24.5990033, 54.7518877 24.6029443, 54.7519478 24.6070022, 54.7520486 24.6110232, 54.7521344 24.6149483, 54.752143 24.6179992, 54.752246 24.6219553, 54.7523233 24.6258409, 54.7523834 24.6296563, 54.7524263 24.6332764, 54.7525401 24.6370425, 54.7526173 24.6408263, 54.7527718 24.6446099, 54.75275573313162 24.647141372622748, 54.755590200000015 24.650469972544332)"
way/24394891-220,AE17-220,220.0,983.1120383760948,27348.58,Al/St 240/40 2-bundle 220.0,"LINESTRING (54.749508681190626 24.547917124380174, 54.7485509778897 24.54257045670128, 54.7485681 24.5398864, 54.7484565 24.53592, 54.7484136 24.5320394, 54.7483535 24.5281742, 54.748302 24.5247384, 54.7482848 24.5207559, 54.7481733 24.5168123, 54.7481789 24.5126151, 54.7464776 24.5099678, 54.7465297 24.5067708, 54.7472592 24.5033815, 54.7479828 24.4999426, 54.7479415 24.4971159, 54.7479244 24.4936012, 54.7478385 24.4899614, 54.7477441 24.4867042, 54.7476154 24.4830564, 54.7475724 24.4792991, 54.7475467 24.475651, 54.7475124 24.4717451, 54.7474609 24.4686202, 54.7474008 24.4651828, 54.7472883 24.4622054, 54.7472235 24.4590155, 54.747109 24.4548309, 54.7470489 24.4514088, 54.7469802 24.4482522, 54.7469115 24.4445563, 54.7468515 24.4407823, 54.7467571 24.4375238, 54.749744 24.4353124, 54.7526365 24.4330853, 54.7555118 24.4309598, 54.7581039 24.428967, 54.7607045 24.4269508, 54.7638545 24.4245947, 54.7667728 24.4224025, 54.7692962 24.4204488, 54.7692447 24.4176587, 54.7695602 24.4141535, 54.7700771 24.4122423, 54.7700256 24.4115647, 54.7700906 24.4106156, 54.7699725 24.4095336, 54.7698009 24.4084883, 54.7696889 24.407855, 54.7693734 24.404833, 54.7704549 24.4021052, 54.7718883 24.3986425, 54.7731328 24.3955549, 54.7744031 24.3923266, 54.775785 24.3888714, 54.7772098 24.385338, 54.7784114 24.3823596, 54.7797246 24.3792012, 54.7810979 24.3756832, 54.7822395 24.3728843, 54.7833295 24.37032, 54.7847286 24.3668017, 54.7857929 24.3640495, 54.7871061 24.3610237, 54.7883849 24.3577397, 54.7897926 24.3543149, 54.7910543 24.3511324, 54.7924361 24.3476527, 54.7938609 24.3441338, 54.7952342 24.3407712, 54.7966676 24.3372677, 54.7979808 24.3338111, 54.7994399 24.3303074, 54.8008991 24.3267724, 54.8022981 24.3233076, 54.8037236 24.3200087, 54.8002296 24.3182472, 54.79847213264602 24.317369945913686, 54.79393179999999 24.31633147239307)"
way/29504133-220,way/95046964-220,220.0,983.1120383760948,47460.6,Al/St 240/40 2-bundle 220.0,"LINESTRING (54.661224446708225 24.293704705896776, 54.66675072798674 24.291421324236662, 54.667604 24.2907438, 54.6695352 24.2875206, 54.671638 24.2841565, 54.6735006 24.2810427, 54.675509 24.2778036, 54.6773286 24.2747678, 54.6794572 24.2713721, 54.6813369 24.2682892, 54.6832681 24.2650811, 54.6854739 24.2615599, 54.6889469 24.2602453, 54.6927524 24.2598864, 54.6936965 24.2581491, 54.6974291 24.2565939, 54.7013043 24.2549701, 54.7046249 24.2546532, 54.7079756 24.2544028, 54.7108412 24.2532808, 54.7136779 24.2506044, 54.7165361 24.2480141, 54.7204671 24.2463159, 54.7245441 24.2445707, 54.7286725 24.2428333, 54.7327581 24.2423794, 54.7368007 24.2419802, 54.7409635 24.2415028, 54.7449546 24.2410959, 54.7481008 24.2394692, 54.751328 24.2377552, 54.7543493 24.2363229, 54.7574478 24.234742, 54.7618681 24.2338419, 54.7660652 24.233067, 54.7703395 24.2321904, 54.7744937 24.2314078, 54.7788969 24.2305468, 54.7831798 24.2297485, 54.7872997 24.2289658, 54.7915607 24.2281897, 54.795835 24.2272818, 54.8001008 24.2264364, 54.8043151 24.2256067, 54.8072677 24.2248788, 54.8102288 24.2241509, 54.8141427 24.2236577, 54.8181339 24.223149, 54.8220992 24.2226558, 54.8258672 24.2221784, 54.8297382 24.2217087, 54.8341499 24.2211999, 54.838759 24.2207303, 54.8431449 24.220245, 54.8475909 24.219744, 54.8520627 24.2192665, 54.8564401 24.2187577, 54.8608432 24.2182881, 54.8653322 24.2177871, 54.8695379 24.2171374, 54.8739066 24.2165738, 54.8781982 24.2159946, 54.8824468 24.2153918, 54.8866868 24.2147499, 54.8899141 24.2124094, 54.8931413 24.2100688, 54.8963943 24.2077125, 54.8995872 24.2061703, 54.902617 24.2046594, 54.9056554 24.2031876, 54.909492 24.2020603, 54.9133544 24.2009016, 54.9171996 24.1998056, 54.9210191 24.1986626, 54.9248471 24.1975509, 54.9288297 24.1967054, 54.9327865 24.1958833, 54.9369836 24.1953744, 54.9411721 24.1948734, 54.9453779 24.194341, 54.9496007 24.1938164, 54.9537978 24.1933232, 54.9578576 24.1931431, 54.961926 24.1929787, 54.9658571 24.1931588, 54.9698739 24.193378, 54.9738908 24.193652, 54.9779334 24.1939887, 54.9819932 24.1943175, 54.9855638 24.1936755, 54.9889112 24.1930648, 54.9926191 24.1925325, 54.9961295 24.1920784, 55.0012021 24.1923837, 55.0055623 24.1917417, 55.0098195 24.1911075, 55.0140263 24.1904881, 55.0180969 24.189868, 55.0216253 24.1890782, 55.0253762 24.1882255, 55.0290057 24.1874024, 55.0314901 24.18528, 55.0340029 24.1830875, 55.0374706 24.1825523, 55.0407166 24.1820303, 55.044075 24.1814809, 55.0476071 24.1808946, 55.0514114 24.1800705, 55.055042 24.1787024, 55.0587652 24.1773765, 55.0630154 24.1760823, 55.0671671 24.1759661, 55.0716372 24.1758446, 55.0763564 24.1757284, 55.0806181 24.1756227, 55.0849667 24.1754854, 55.0892979 24.175422, 55.09219223238553 24.175315137421656, 55.09741830360482 24.1745484731252)"
AE5-400,AE3-400,400.0,3574.952866822164,7510.12,Al/St 240/40 4-bundle 380.0,"LINESTRING (55.37560237004162 25.164284318085173, 55.3804724668027 25.1669913514855, 55.3813189 25.1687914, 55.3827318 25.1719257, 55.3838922 25.1744396, 55.3851968 25.1773017, 55.3865616 25.1802888, 55.388179 25.1838526, 55.3895858 25.1869375, 55.3910348 25.1900713, 55.3923515 25.192982, 55.3938005 25.1961755, 55.3953036 25.1994777, 55.3968668 25.2028125, 55.3982977 25.2059187, 55.3994641 25.2084699, 55.400853 25.2116249, 55.4025484 25.215438, 55.40373982705026 25.217913546457233, 55.40581310000001 25.22175847283016)"
AE5-400,way/1366982708-400,400.0,3574.952866822164,5345.42,Al/St 240/40 4-bundle 380.0,"LINESTRING (55.37560237004162 25.164284318085173, 55.380718253574656 25.161060994969315, 55.3834649 25.1599642, 55.3860999 25.1588921, 55.3888379 25.1577889, 55.3907863 25.1569654, 55.3937989 25.1558001, 55.3967942 25.1545242, 55.3997983 25.1532967, 55.4019526 25.1524653, 55.4050425 25.1512223, 55.4080123 25.1499869, 55.4107331 25.1492411, 55.4129304 25.1486584, 55.4151823 25.1480283, 55.41721293673952 25.14747861787221, 55.42602999772126 25.14819747534109)"
AE5-400,AE4-400,400.0,3574.952866822164,8396.64,Al/St 240/40 4-bundle 380.0,"LINESTRING (55.29482084106578 25.172994676232292, 55.29914636370123 25.168824385948085, 55.3005409 25.1687812, 55.3039914 25.1687197, 55.307482 25.1686171, 55.3113448 25.1685469, 55.3156877 25.1683931, 55.320073 25.1682931, 55.3240843 25.1681931, 55.327194 25.1680982, 55.3308972 25.1680233, 55.3345383 25.1679203, 55.3382725 25.1678174, 55.3418619 25.1677425, 55.3453357 25.167642, 55.3491537 25.1675411, 55.3530129 25.1674429, 55.35591571108845 25.167359793538882, 55.37560237004162 25.164284318085173)"
way/29494113-400,AE3-400,400.0,1787.4764334110816,1168.65,Al/St 240/40 4-bundle 380.0,"LINESTRING (55.40581310000001 25.22175847283016, 55.407475398693485 25.22581543511102, 55.407659441625064 25.22623161303955, 55.40735388752943 25.231875294138504)"
AE3-400,way/29494113-400,400.0,1787.4764334110816,1186.27,Al/St 240/40 4-bundle 380.0,"LINESTRING (55.40581310000001 25.22175847283016, 55.407802386627836 25.22564754816058, 55.40804753165509 25.226214524916433, 55.40735388752943 25.231875294138504)"
way/29504119-400,AE18-400,400.0,3574.952866822164,4774.93,Al/St 240/40 4-bundle 380.0,"LINESTRING (54.50667794626403 24.29273706297535, 54.510522248809856 24.29506600147426, 54.5136519 24.2979321, 54.5168701 24.3008161, 54.5200648 24.3037264, 54.5231679 24.3064596, 54.5265464 24.3038268, 54.5298881 24.3011382, 54.5332614 24.2984687, 54.53661875826814 24.295786188612606, 54.54134261131388 24.291195799765124)"
way/95046332-220,way/29504119-220,220.0,983.1120383760948,4263.71,Al/St 240/40 2-bundle 220.0,"LINESTRING (54.51122868608146 24.31846021464485, 54.51318572343995 24.313345434106626, 54.5134241 24.3128964, 54.5181491 24.3129968, 54.5210073 24.3101745, 54.5239574 24.3073186, 54.5276052 24.3044014, 54.5313142 24.3014673, 54.5350447 24.2984817, 54.53749114644489 24.296520545926818, 54.54106772827389 24.291139258425524)"
