GEM location ID,bus_id
L100000500011,way/1264993337-400
L100000200322,way/1225551111-220
L100000200324,way/1366982708-400
L100000200325,AE1-220
L100000200326,way/181362976-220
L100000405573,way/1366982708-400
L100001005665,way/94816851-400
L100000408268,way/94816851-400
L100001023548,way/1264942732-220
L100000405575,way/354339381-400
L100001023547,AE19-220
L100000407699,AE13-400
L100000407698,way/801739686-400
L100000405576,way/301911494-400
L100000405577,way/301911494-400
L100000405578,way/301911494-400
L100000405579,way/354339381-400
L100000408276,way/354339381-400
L100000103749,AE11-400
L100000405580,way/29497443-400
L100000405581,way/29497443-400
L100000405582,way/29497443-400
L100000405583,way/29497443-400
L100000405584,way/29497443-400
L100000405585,way/29497443-400
L100000405587,way/1348312852-400
L100001023517,AE40-220
L100000405588,way/526194855-220
L100000405589,way/132517028-220
L100000405592,way/301647038-220
L100000405593,way/301647038-220
L100000405594,way/301647038-220
L100000405595,way/94950821-400
L100000405596,way/94950821-400
L100000405597,way/94950821-400
L100001023521,AE13-400
L100000405598,way/94950807-400
L100000405599,way/354339381-220
L100000407697,way/132517028-220
L100000905958,way/301647038-400
L100001018832,way/301647038-220
L100001018834,way/132159930-220
L100000809137,way/95046953-220
L100000804030,way/1225109215-400
L100000831547,way/95046328-220
L100001018813,way/95046964-220
L100000804058,AE1-220
L100000809138,way/95046328-220
L100000831548,way/29503687-220
L100001018827,AE1-220
L100000831549,way/95046328-220
L100000831550,AE22-400
L100000831551,way/1225109215-400
L100000804032,way/438419245-400
L100000804102,way/1168317387-220
L100000804099,way/95099964-220
L100000809139,way/149865727-400
L100001018818,way/354339381-400
L100001018824,AE11-400
L100001025514,way/416954887-400
L100001025530,way/416981962-400
L100001025521,way/95084794-220
L100001025528,way/416981962-400
L100001025518,AE12-400
L100001025525,way/94950821-400
L100001025529,way/94950821-400
L100001025515,way/359425700-400
L100001025516,way/29497443-400
L100001025517,AE6-400
L100001025519,way/1366982708-400
L100001025522,way/181332757-400
L100001025523,way/149865727-400
L100001025526,way/181332757-400
L100000804082,way/416981962-400
L100001025527,AE22-400
L100001025520,way/1168317384-220
L100001025524,way/301647038-400
L100001025513,way/95046953-220
L100000603694,way/260963603-400
