bus_id,grid_cell
way/24394891-400,ARE_33
way/24394891-400,wof-ARE_26
way/24394891-220,ARE_33
way/24394891-220,wof-ARE_26
way/29494113-400,ARE_45
way/29494113-400,wof-ARE_31
way/29495157-400,ARE_40
way/29495157-400,wof-ARE_31
way/29495366-400,ARE_40
way/29495366-400,wof-ARE_31
way/29497443-400,ARE_40
way/29497443-400,wof-ARE_31
way/29503687-220,ARE_33
way/29503687-220,wof-ARE_25
way/29504119-400,ARE_33
way/29504119-400,wof-ARE_21
way/29504119-220,ARE_33
way/29504119-220,wof-ARE_21
way/29504133-220,ARE_33
way/29504133-220,wof-ARE_25
way/94816851-400,ARE_51
way/94816851-400,wof-ARE_34
way/94950807-400,ARE_33
way/94950807-400,wof-ARE_21
way/94950821-400,ARE_34
way/94950821-400,wof-ARE_26
way/94950847-400,ARE_33
way/94950847-400,wof-ARE_21
way/95046328-220,ARE_34
way/95046328-220,wof-ARE_26
way/95046332-220,ARE_33
way/95046332-220,wof-ARE_21
way/95046953-400,ARE_43
way/95046953-220,ARE_43
way/95046964-220,ARE_38
way/95055625-220,ARE_38
way/95084771-220,ARE_43
way/95084776-220,ARE_43
way/95084793-220,ARE_43
way/95084794-220,ARE_43
way/95084799-400,ARE_43
way/95084799-220,ARE_43
way/95084816-220,ARE_43
way/1264942732-220,ARE_28
way/1264942732-220,wof-ARE_21
way/95099964-400,ARE_21
way/95099964-220,ARE_21
way/95099973-220,ARE_20
way/301647038-400,ARE_12
way/301647038-400,wof-ARE_4
way/301647038-220,ARE_12
way/301647038-220,wof-ARE_4
way/132159924-220,ARE_36
way/132159930-220,ARE_1
way/132159930-220,wof-ARE_0
way/132517028-220,ARE_11
way/132517028-220,wof-ARE_7
way/149865727-400,ARE_40
way/149865727-400,wof-ARE_31
way/173064712-400,ARE_39
way/173064712-400,wof-ARE_31
way/174871442-400,ARE_33
way/174871442-400,wof-ARE_21
way/181332757-400,ARE_39
way/181332757-400,wof-ARE_30
way/181332762-400,ARE_39
way/181332762-400,wof-ARE_30
way/181332765-220,ARE_28
