bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,bus_name
way/925410265-330,way/925410265,330.0,f,Substation,f,way/925410265,150.82867670028497,-33.81582316176114,AU,330.0,AU,SydneyWest
way/64943050-500,way/64943050,500.0,f,Substation,f,way/64943050,145.07540407639536,-37.64517430134664,AU,500.0,AU,SouthMorang
way/87853100-330,way/87853100,330.0,f,Substation,f,way/87853100,116.2758549871163,-33.31801255654642,AU,330.0,AU,Australind
way/88191017-220,way/88191017,220.0,f,Substation,f,way/88191017,146.30697121829795,-41.33568787101467,AU,220.0,AU,Sheffield
way/89180086-220,way/89180086,220.0,f,Substation,f,way/89180086,143.92108294719912,-37.56753749739912,AU,220.0,AU,Ballarat
way/119995150-275,way/119995150,275.0,f,Substation,f,way/119995150,150.62709905075124,-24.342461230294287,AU,275.0,AU,Calvale
way/121646942-275,way/121646942,275.0,f,Substation,f,way/121646942,149.40404924290272,-22.82075621020929,AU,275.0,AU,Broadsound
way/160201298-330,way/160201298,330.0,f,Substation,f,way/160201298,151.71319760744726,-30.532100853424872,AU,330.0,AU,Armidale
way/164764363-275,way/164764363,275.0,f,Substation,f,way/164764363,137.8128974128341,-32.53626914431567,AU,275.0,AU,Davenport
way/164775125-275,way/164775125,275.0,f,Substation,f,way/164775125,139.12683826085333,-33.95642879014284,AU,275.0,AU,Robertstown
way/166113109-275,way/166113109,275.0,f,Substation,f,way/166113109,148.6831546120233,-21.63132000917609,AU,275.0,AU,Nebo
way/169408193-330,way/169408193,330.0,f,Substation,f,way/169408193,150.025740117588,-33.363653242313,AU,330.0,AU,MountPiper
way/169416665-220,way/169416665,220.0,f,Substation,f,way/169416665,146.03429268958672,-34.64877593555099,AU,220.0,AU,DarlingtonPoint
way/169794711-220,way/169794711,220.0,f,Substation,f,way/169794711,143.5251594037239,-34.77572092658846,AU,220.0,AU,Balranald
way/170709510-275,way/170709510,275.0,f,Substation,f,way/170709510,151.90657331394655,-26.786815702260583,AU,275.0,AU,Tarong
way/170832455-275,way/170832455,275.0,f,Substation,f,way/170832455,152.7859447922075,-27.541324760522063,AU,275.0,AU,Blackwall
way/171486427-275,way/171486427,275.0,f,Substation,f,way/171486427,150.48716060704265,-23.53723325621372,AU,275.0,AU,Bouldercombe
way/171728751-275,way/171728751,275.0,f,Substation,f,way/171728751,151.81952564800682,-24.90133538944163,AU,275.0,AU,GinGin
way/171744075-275,way/171744075,275.0,f,Substation,f,way/171744075,147.7754061331616,-20.49944715559221,AU,275.0,AU,Strathmore
way/172231145-330,way/172231145,330.0,f,Substation,f,way/172231145,147.393930851106,-35.20040676001941,AU,330.0,AU,Wagga
way/172362099-275,way/172362099,275.0,f,Substation,f,way/172362099,138.71215621124384,-34.7354348842319,AU,275.0,AU,Para
way/172887193-330,way/172887193,330.0,f,Substation,f,way/172887193,150.8432938434108,-27.920986820196017,AU,330.0,AU,BulliCreek
way/174441055-220,way/174441055,220.0,f,Substation,f,way/174441055,146.98953647822455,-41.7876715671242,AU,220.0,AU,Palmerston
way/174875093-330,way/174875093,330.0,f,Substation,f,way/174875093,148.144166863903,-36.225604818390735,AU,330.0,AU,Murray
way/196583889-275,way/196583889,275.0,f,Substation,f,way/196583889,145.52658139950708,-17.80080602991985,AU,275.0,AU,Chalumbin
way/208359871-330,way/208359871,330.0,f,Substation,f,way/208359871,148.38595135487864,-35.91111863050287,AU,330.0,AU,UpperTumut
way/223939702-220,way/223939702,220.0,f,Substation,f,way/223939702,118.22746058460694,-31.539704529422323,AU,220.0,AU,Merredin
way/570175005-220,way/570175005,220.0,f,Substation,f,way/570175005,145.2258784260872,-37.92994519152238,AU,220.0,AU,Rowville
way/312550977-500,way/312550977,500.0,f,Substation,f,way/312550977,142.18101587735953,-38.17911060837443,AU,500.0,AU,Tarrone
way/337655870-220,way/337655870,220.0,f,Substation,f,way/337655870,117.776223377353,-22.73480648494872,AU,220.0,AU,TomPriceMine
way/432510474-275,way/432510474,275.0,f,Substation,f,way/432510474,151.19284847613793,-23.85619471948728,AU,275.0,AU,CalliopeRiver
way/480009927-500,way/480009927,500.0,f,Substation,f,way/480009927,146.42885495857578,-38.28166365286143,AU,500.0,AU,Hazelwood
way/550221344-275,way/550221344,275.0,f,Substation,f,way/550221344,149.76896533906228,-26.26856635549712,AU,275.0,AU,WandoanSouth
way/583492111-220,way/583492111,220.0,f,Substation,f,way/583492111,116.74275233957847,-20.762601878195927,AU,220.0,AU,Karratha
way/583506664-220,way/583506664,220.0,f,Substation,f,way/583506664,118.73220055844844,-22.86294518145154,AU,220.0,AU,AUS22p9S118p7E
way/655511604-330,way/655511604,330.0,f,Substation,f,way/655511604,148.9038856397032,-34.86259463747708,AU,330.0,AU,Canberra
way/830928846-220,way/830928846,220.0,f,Substation,f,way/830928846,141.41917764116005,-31.986353168692315,AU,220.0,AU,BrokenHill
way/950049612-330,way/950049612,330.0,f,Substation,f,way/950049612,115.5350883278548,-30.7676404142524,AU,330.0,AU,Yandin
AU73-330,AU73,330.0,f,Substation,f,AU73,151.49237495717287,-33.05207488402676,AU,330.0,AU,CentralCoast
AU57-330,AU57,330.0,f,Substation,f,AU57,115.84737549921022,-32.18939257826945,AU,330.0,AU,Perth
AU104-220,AU104,220.0,f,Substation,f,AU104,142.28083100000038,-36.721698083045936,AU,220.0,AU,Horsham
AU51-220,AU51,220.0,f,Substation,f,AU51,121.42358390000004,-30.78188247704941,AU,220.0,AU,Kalgoorlie
