GEM location ID,bus_id,bus_name
L100000200400,AU57-330,Perth
L100000200401,AU57-330,Perth
L100000200402,way/172587651-275,Brisbane
L100000200403,way/172587651-275,Brisbane
L100000200404,way/171744075-275,Strathmore
L100000200405,way/171744075-275,Strathmore
L100000200406,way/172587651-275,Brisbane
L100000200408,way/480009927-500,Hazelwood
L100000201417,way/166113109-275,Nebo
L100001018451,way/171728751-275,GinGin
L100001047776,way/570175005-220,Rowville
L100001047777,way/570175005-220,Rowville
L100001047783,way/171744075-275,Strathmore
L100001047785,way/171744075-275,Strathmore
L100001047787,way/64943050-500,SouthMorang
L100001047788,way/925410265-330,SydneyWest
L100001047794,way/171744075-275,Strathmore
L100001047795,way/166113109-275,Nebo
L100001047796,way/171728751-275,GinGin
L100001047797,way/166113109-275,Nebo
L100001047800,way/171744075-275,Strathmore
L100001047804,way/196583889-275,Chalumbin
L100001047805,way/196583889-275,Chalumbin
L100001047807,way/171744075-275,Strathmore
L100001047808,way/172362099-275,Para
L100000100009,AU73-330,CentralCoast
L100001047821,way/64943050-500,SouthMorang
L100001047847,way/172362099-275,Para
L100000408141,way/172362099-275,Para
L100000408140,way/925410265-330,SydneyWest
L100000408139,way/172362099-275,Para
L100000407540,way/583492111-220,Karratha
L100000405104,way/172887193-330,BulliCreek
L100000405105,way/172887193-330,BulliCreek
L100001025899,way/170709510-275,Tarong
L100001025916,way/119995150-275,Calvale
L100000407543,way/583492111-220,Karratha
L100000405106,way/196583889-275,Chalumbin
L100000405107,AU57-330,Perth
L100000405108,AU73-330,CentralCoast
L100000405109,way/550221344-275,WandoanSouth
L100000405110,way/172887193-330,BulliCreek
L100000405111,way/196583889-275,Chalumbin
L100000405112,way/172362099-275,Para
L100001025924,way/169408193-330,MountPiper
L100001025920,AU73-330,CentralCoast
L100000407546,way/196583889-275,Chalumbin
L100001048212,way/166113109-275,Nebo
L100000405114,way/480009927-500,Hazelwood
L100001048211,AU57-330,Perth
L100000408959,way/583492111-220,Karratha
L100000405115,way/87853100-330,Australind
L100001062273,way/169416665-220,DarlingtonPoint
L100000407640,AU73-330,CentralCoast
L100000405117,AU57-330,Perth
L100000100041,AU57-330,Perth
L100000407607,AU57-330,Perth
L100000407606,AU57-330,Perth
L100001062642,way/312550977-500,Tarrone
L100000405118,way/64943050-500,SouthMorang
L100000405119,way/196583889-275,Chalumbin
L100000400831,way/172587651-275,Brisbane
L100000405884,way/925410265-330,SydneyWest
L100000405122,way/164775125-275,Robertstown
L100000408143,way/166113109-275,Nebo
L100000405123,way/312550977-500,Tarrone
