line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry,bus0_name,bus1_name,link_name
AU_line_1,AU149-220,way/174441055-220,AU149-220;way/174441055-220,220.0,983.1120383760948,122129.54,AU,,AUS42p8S146p2E,Palmerston,Palmerston-AUS42p8S146p2E
AU_line_2,AU17-220,AU20-220,AU17-220;AU20-220,220.0,983.1120383760948,105919.775,AU,,AUS22p5S119p9E,Newman,Newman-AUS22p5S119p9E
AU_line_3,AU20-220,way/337655870-220,AU20-220;way/337655870-220,220.0,983.1120383760948,51087.315,AU,,Newman,TomPriceMine,Newman-TomPriceMine
AU_line_4,AU3-220,way/583492111-220,AU3-220;way/583492111-220,220.0,491.5560191880474,303265.38,AU,,PortHedland,Karratha,Karratha-PortHedland
AU_line_5,way/223939702-220,AU51-220,AU51-220;way/223939702-220,220.0,491.5560191880474,397665.03,AU,,Merredin,Kalgoorlie,Merredin-Kalgoorlie
AU_line_6,way/37106533-330,AU79-330,AU79-330;way/37106533-330,330.0,4424.0041726924255,109241.5125,AU,,Perth,Australind,Perth-Australind
AU_line_7,AU73-330,way/160201298-330,AU73-330;way/160201298-330,330.0,2212.0020863462128,294224.79500000004,AU,,CentralCoast,Armidale,CentralCoast-Armidale
AU_line_8,AU73-330,way/169406848-330,AU73-330;way/169406848-330,500.0,4468.691083527704,255312.99,AU,,CentralCoast,Dubbo,CentralCoast-Dubbo
AU_line_9,way/179923658-330,AU73-330,AU73-330;way/179923658-330,330.0,4424.0041726924255,194361.225,AU,,SydneyNorthBulkSup,CentralCoast,CentralCoast-SydneyNorthBulkSup
AU_line_10,way/925410265-330,AU73-330,AU73-330;way/925410265-330,500.0,6680.693169873917,406718.2146488294,AU,,SydneyWest,CentralCoast,SydneyWest-CentralCoast
AU_line_11,AU79-330,way/223939702-220,AU79-330;way/223939702-220,220.0,491.5560191880474,238288.22,AU,,Australind,Merredin,Australind-Merredin
AU_line_12,way/172620016-330,AU88-330,AU88-330;way/172620016-330,330.0,1106.0010431731064,105961.43,AU,,DaptoBulkSupply,Sydney,Sydney-DaptoBulkSupply
AU_line_13,AU88-330,way/681005983-330,AU88-330;way/681005983-330,330.0,4424.0041726924255,20307.79,AU,,Sydney,SydneySouthBulkSup,Sydney-SydneySouthBulkSup
AU_line_14,way/925410265-330,AU88-330,AU88-330;way/925410265-330,330.0,5530.005215865532,101540.802,AU,,SydneyWest,Sydney,SydneyWest-Sydney
AU_line_15,way/119995150-275,way/170709510-275,way/119995150-275;way/170709510-275,275.0,1843.3350719551768,361220.94,AU,,Calvale,Tarong,Tarong-Calvale
AU_line_16,way/171486427-275,way/119995150-275,way/119995150-275;way/171486427-275,275.0,921.6675359775888,112764.85,AU,,Bouldercombe,Calvale,Bouldercombe-Calvale
AU_line_17,way/119995150-275,way/171486427-275,way/119995150-275;way/171486427-275,275.0,1843.3350719551768,35585.9,AU,,Calvale,Bouldercombe,Bouldercombe-Calvale2
AU_line_18,way/119995150-275,way/432510474-275,way/119995150-275;way/432510474-275,275.0,921.6675359775888,222044.73,AU,,Calvale,CalliopeRiver,CalliopeRiver-Calvale
AU_line_19,way/166113109-275,way/121646942-275,way/121646942-275;way/166113109-275,275.0,3686.6701439103545,67901.1475,AU,,Nebo,Broadsound,Broadsound-Nebo
AU_line_20,way/121646942-275,way/171486427-275,way/121646942-275;way/171486427-275,275.0,1843.3350719551777,115458.925,AU,,Broadsound,Bouldercombe,Broadsound-Bouldercombe
AU_line_21,way/121646942-275,way/171486427-275,way/121646942-275;way/171486427-275,275.0,921.6675359775888,151710.23,AU,,Broadsound,Bouldercombe,Broadsound-Bouldercombe2
AU_line_22,way/171843734-275,way/121646942-275,way/121646942-275;way/171843734-275,275.0,1843.3350719551777,276531.81,AU,,Lilyvale,Broadsound,Broadsound-Lilyvale
AU_line_23,way/160201298-330,way/170832455-275,way/160201298-330;way/170832455-275,330.0,1106.0010431731064,371100.73,AU,,Armidale,Blackwall,Blackwall-Armidale
AU_line_24,way/160201298-330,way/172887193-330,way/160201298-330;way/172887193-330,330.0,2212.0020863462128,89557.16,AU,,Armidale,BulliCreek,BulliCreek-Armidale
AU_line_25,way/165154628-275,way/164764363-275,way/164764363-275;way/165154628-275,275.0,2765.0026079327654,90235.70333333334,AU,,Cultana,Davenport,Davenport-Cultana
AU_line_26,way/185835127-275,way/164764363-275,way/164764363-275;way/185835127-275,275.0,1843.3350719551768,122938.09,AU,,OlympicDamWest,Davenport,Davenport-OlympicDamWest
AU_line_27,way/164764363-275,way/598317777-275,way/164764363-275;way/598317777-275,275.0,2765.0026079327654,90067.01000000002,AU,,Davenport,TemplersWest,TemplersWest-Davenport
AU_line_28,way/165154628-275,way/598317777-275,way/165154628-275;way/598317777-275,275.0,921.6675359775888,104861.74,AU,,Cultana,TemplersWest,TemplersWest-Cultana
AU_line_29,way/166113109-275,way/171486427-275,way/166113109-275;way/171486427-275,275.0,921.6675359775888,222811.07,AU,,Nebo,Bouldercombe,Bouldercombe-Nebo
AU_line_30,way/171744075-275,way/166113109-275,way/166113109-275;way/171744075-275,275.0,3686.6701439103535,71292.54,AU,,Strathmore,Nebo,Nebo-Strathmore
AU_line_31,way/169406848-330,way/925410265-330,way/169406848-330;way/925410265-330,500.0,5574.69212670081,229778.63360721443,AU,,Dubbo,SydneyWest,SydneyWest-Dubbo
AU_line_32,way/169794711-220,way/169416665-220,way/169416665-220;way/169794711-220,220.0,491.5560191880474,537408.06,AU,,Balranald,DarlingtonPoint,Balranald-DarlingtonPoint
AU_line_33,way/169416665-220,way/172231145-330,way/169416665-220;way/172231145-330,330.0,1106.0010431731064,201177.18,AU,,DarlingtonPoint,Wagga,Wagga-DarlingtonPoint
AU_line_34,way/169794711-220,way/51542858-220,way/169794711-220;way/51542858-220,220.0,491.5560191880474,222961.83,AU,,Balranald,Altona,Altona-Balranald
AU_line_35,way/169794711-220,way/312550977-500,way/169794711-220;way/312550977-500,220.0,491.5560191880474,364483.33,AU,,Balranald,Tarrone,Tarrone-Balranald
AU_line_36,way/598317777-275,way/169794711-220,way/169794711-220;way/598317777-275,330.0,2212.0020863462128,588952.09,AU,,TemplersWest,Balranald,TemplersWest-Balranald
AU_line_37,way/830928846-220,way/169794711-220,way/169794711-220;way/830928846-220,220.0,491.5560191880474,365302.29,AU,,BrokenHill,Balranald,Balranald-BrokenHill
AU_line_38,way/170709510-275,way/170832455-275,way/170709510-275;way/170832455-275,275.0,5530.005215865531,105740.22,AU,,Tarong,Blackwall,Tarong-Blackwall
AU_line_39,way/170709510-275,way/172887193-330,way/170709510-275;way/172887193-330,330.0,5898.672230256567,193697.78,AU,,Tarong,BulliCreek,Tarong-BulliCreek
AU_line_40,way/432510474-275,way/170709510-275,way/170709510-275;way/432510474-275,275.0,2765.0026079327663,115625.9,AU,,CalliopeRiver,Tarong,Tarong-CalliopeRiver
AU_line_41,way/170709510-275,way/44418650-275,way/170709510-275;way/44418650-275,275.0,2765.0026079327663,165316.56333333332,AU,,Tarong,Murarrie,Tarong-Murarrie
AU_line_42,way/170832455-275,way/44418650-275,way/170832455-275;way/44418650-275,275.0,4608.337679887942,68999.288,AU,,Blackwall,Murarrie,Blackwall-Murarrie
AU_line_43,way/171486427-275,way/432510474-275,way/171486427-275;way/432510474-275,275.0,1843.3350719551777,102254.88,AU,,Bouldercombe,CalliopeRiver,Bouldercombe-CalliopeRiver
AU_line_44,way/798877610-275,way/171744075-275,way/171744075-275;way/798877610-275,275.0,1843.3350719551777,249160.34,AU,,Walkamin,Strathmore,Strathmore-Walkamin
AU_line_45,way/172231145-330,way/174875093-330,way/172231145-330;way/174875093-330,330.0,1106.0010431731064,102431.46,AU,,Wagga,Murray,Murray-Wagga
AU_line_46,way/172231145-330,way/208359871-330,way/172231145-330;way/208359871-330,330.0,1106.0010431731064,137838.77,AU,,Wagga,UpperTumut,UpperTumut-Wagga
AU_line_47,way/1157816987-275,way/312550977-500,way/1157816987-275;way/312550977-500,275.0,1843.3350719551768,420901.59,AU,,TorrensIslandBatte,Tarrone,Tarrone-TorrensIslandBatte
AU_line_48,way/598317777-275,way/1157816987-275,way/1157816987-275;way/598317777-275,275.0,3686.6701439103545,169556.98750000002,AU,,TemplersWest,TorrensIslandBatte,TemplersWest-TorrensIslandBatte
AU_line_49,way/170832455-275,way/44418650-275,way/170832455-275;way/44418650-275,275.0,1843.3350719551768,37712.13,AU,,Blackwall,Murarrie,Blackwall-Murarrie2
AU_line_50,way/243736783-330,way/172620016-330,way/172620016-330;way/243736783-330,330.0,3318.0031295193194,169377.60666666666,AU,,KangarooValleyTran,DaptoBulkSupply,KangarooValleyTran-DaptoBulkSupply
AU_line_51,way/172620016-330,way/681005983-330,way/172620016-330;way/681005983-330,330.0,1106.0010431731064,207366.56,AU,,DaptoBulkSupply,SydneySouthBulkSup,SydneySouthBulkSup-DaptoBulkSupply
AU_line_52,way/172887193-330,way/550224397-275,way/172887193-330;way/550224397-275,275.0,1843.3350719551768,45475.3,AU,,BulliCreek,Eurombah,BulliCreek-Eurombah
AU_line_53,way/174441055-220,way/88191017-220,way/174441055-220;way/88191017-220,220.0,1474.668057564142,86989.85999999999,AU,,Palmerston,Sheffield,Sheffield-Palmerston
AU_line_54,way/208359871-330,way/174875093-330,way/174875093-330;way/208359871-330,330.0,2212.0020863462128,174506.935,AU,,UpperTumut,Murray,Murray-UpperTumut
AU_line_55,way/174875093-330,way/51542858-220,way/174875093-330;way/51542858-220,330.0,4669.78218228645,488996.72184210527,AU,,Murray,Altona,Altona-Murray
