bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,bus_name
way/79818891-220,way/79818891,220.0,f,Substation,f,way/79818891,16.71876991179986,44.94099405009348,BA,220.0,BA,Prijedor
way/89827347-400,way/89827347,400.0,f,Substation,f,way/89827347,17.76985819575496,43.30319630631331,BA,400.0,BA,Mostar
way/222962996-400,way/222962996,400.0,f,Substation,f,way/222962996,18.965914839988223,44.68645824024574,BA,400.0,BA,Bijeljina
way/245190169-400,way/245190169,400.0,f,Substation,f,way/245190169,18.33342093121796,42.67736538741431,BA,400.0,BA,Trebinje
way/251735977-220,way/251735977,220.0,f,Substation,f,way/251735977,17.264451011210998,44.32863795543143,BA,220.0,BA,Travnik
way/692824732-220,way/692824732,220.0,f,Substation,f,way/692824732,18.4359285003344,44.90501355663578,BA,220.0,BA,Doboj
BA9-220,BA9,220.0,f,Substation,f,BA9,18.605783043969407,44.48047761418108,BA,220.0,BA,Tuzla
BA19-220,BA19,220.0,f,Substation,f,BA19,19.499663482609684,43.95304757737579,BA,220.0,BA,Bratunac
BA26-220,BA26,220.0,f,Substation,f,BA26,17.754869598202237,43.66018690912891,BA,220.0,BA,SirokiBrijeg
BA4-220,BA4,220.0,f,Substation,f,BA4,18.42110605005314,45.28789054111716,BA,220.0,BA,Orasje
BA17-220,BA17,220.0,f,Substation,f,BA17,18.12321034940676,44.03655746094777,BA,220.0,BA,Sarajevo
