line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry,bus0_name,bus1_name,link_name
BA_line_1,BA26-220,BA11-220,BA11-220;BA26-220,220.0,491.5560191880474,91514.25,BA,,SirokiBrijeg,Zenica,SirokiBrijeg-Zenica
BA_line_2,BA11-220,way/79818891-220,BA11-220;way/79818891-220,220.0,491.5560191880474,96177.32,BA,,Zenica,Prijedor,Zenica-Prijedor
BA_line_3,BA11-220,way/841600752-220,BA11-220;way/841600752-220,220.0,491.5560191880474,67008.52,BA,,Zenica,Tuzla,Tuzla-Zenica
BA_line_4,BA26-220,BA11-220,BA11-220;BA26-220,220.0,491.5560191880474,60586.59,BA,,SirokiBrijeg,Zenica,SirokiBrijeg-Zenica2
BA_line_5,BA11-220,way/841600752-220,BA11-220;way/841600752-220,220.0,491.5560191880474,71276.78,BA,,Zenica,Tuzla,Tuzla-Zenica2
BA_line_6,way/79818891-220,BA11-220,BA11-220;way/79818891-220,220.0,491.5560191880474,174068.92,BA,,Prijedor,Zenica,Zenica-Prijedor2
BA_line_7,way/89827347-400,BA11-220,BA11-220;way/89827347-400,220.0,491.5560191880474,88940.86,BA,,Mostar,Zenica,Mostar-Zenica
BA_line_8,way/175002028-400,BA19-220,BA19-220;way/175002028-400,400.0,1787.4764334110816,130364.98,BA,,Vogosca,Bratunac,Bratunac-Vogosca
BA_line_9,way/222962996-400,BA19-220,BA19-220;way/222962996-400,400.0,2279.032452599129,92580.0539215686,BA,,Bijeljina,Bratunac,Bijeljina-Bratunac
BA_line_10,way/245190169-400,BA19-220,BA19-220;way/245190169-400,400.0,1787.4764334110816,49423.41,BA,,Trebinje,Bratunac,Bratunac-Trebinje
BA_line_11,BA26-220,way/89827347-400,BA26-220;way/89827347-400,220.0,491.5560191880474,36532.33,BA,,SirokiBrijeg,Mostar,Mostar-SirokiBrijeg
BA_line_12,BA26-220,way/89827347-400,BA26-220;way/89827347-400,220.0,1474.668057564142,48551.33666666667,BA,,SirokiBrijeg,Mostar,Mostar-SirokiBrijeg2
BA_line_13,BA26-220,way/89827347-400,BA26-220;way/89827347-400,400.0,1787.4764334110816,113269.84,BA,,SirokiBrijeg,Mostar,Mostar-SirokiBrijeg3
BA_line_14,way/245190169-400,way/89827347-400,way/245190169-400;way/89827347-400,220.0,983.1120383760948,84267.715,BA,,Trebinje,Mostar,Mostar-Trebinje
BA_line_15,way/841600752-220,way/175002028-400,way/175002028-400;way/841600752-220,400.0,1787.4764334110816,87257.73,BA,,Tuzla,Vogosca,Tuzla-Vogosca
BA_line_16,way/841600752-220,way/222962996-400,way/222962996-400;way/841600752-220,400.0,2279.032452599129,42233.73647058824,BA,,Tuzla,Bijeljina,Tuzla-Bijeljina
BA_line_17,way/841600752-220,way/79818891-220,way/79818891-220;way/841600752-220,400.0,1787.4764334110816,135894.14,BA,,Tuzla,Prijedor,Tuzla-Prijedor
BA_line_18,way/89827347-400,way/175002028-400,way/175002028-400;way/89827347-400,400.0,1787.4764334110816,96577.93,BA,,Mostar,Vogosca,Mostar-Vogosca
BA_line_19,way/692824732-220,way/222962996-400,way/222962996-400;way/692824732-220,400.0,1787.4764334110816,98174.49,BA,,Doboj,Bijeljina,Bijeljina-Doboj
BA_line_20,way/89827347-400,way/245190169-400,way/245190169-400;way/89827347-400,400.0,1787.4764334110816,69490.83,BA,,Mostar,Trebinje,Mostar-Trebinje2
BA_line_21,way/841600752-220,way/692824732-220,way/692824732-220;way/841600752-220,220.0,983.1120383760948,70055.115,BA,,Tuzla,Doboj,Tuzla-Doboj
