GEM location ID,bus_id,bus_name
L100000100097,BA11-220,Zenica
L100001048189,way/222962996-400,Bijeljina
L100001003328,way/89827347-400,Mostar
L100001047378,way/222962996-400,Bijeljina
L100001047379,way/245190169-400,Trebinje
L100001003329,BA19-220,Bratunac
L100001052730,way/692824732-220,Doboj
L100001052714,way/89827347-400,Mostar
L100001052732,way/89827347-400,Mostar
L100001052733,way/89827347-400,Mostar
L100001005394,way/245190169-400,Trebinje
L100001005393,way/89827347-400,Mostar
L100001005404,way/89827347-400,Mostar
L100001052685,way/89827347-400,Mostar
L100001052720,way/89827347-400,Mostar
L100001052726,way/89827347-400,Mostar
L100001003325,way/841600752-220,Tuzla
L100000806239,way/841600752-220,Tuzla
L100001003312,way/89827347-400,Mostar
L100001005395,way/79818891-220,Prijedor
L100001005397,way/79818891-220,Prijedor
L100001005399,way/89827347-400,Mostar
L100001052689,BA26-220,SirokiBrijeg
L100001052702,way/89827347-400,Mostar
L100001052690,way/89827347-400,Mostar
L100001052693,way/79818891-220,Prijedor
L100001052699,way/89827347-400,Mostar
L100001052701,way/89827347-400,Mostar
L100001052709,way/89827347-400,Mostar
L100001052710,way/79818891-220,Prijedor
L100001052715,BA11-220,Zenica
L100001052721,way/175002028-400,Vogosca
L100001052722,BA11-220,Zenica
L100001052727,way/89827347-400,Mostar
L100001052728,way/79818891-220,Prijedor
L100001052731,BA11-220,Zenica
L100000815906,BA11-220,Zenica
L100001005396,way/89827347-400,Mostar
L100001005398,way/89827347-400,Mostar
L100001052686,way/89827347-400,Mostar
L100001052719,way/89827347-400,Mostar
L100000815907,way/692824732-220,Doboj
L100001049953,way/89827347-400,Mostar
L100001047380,way/79818891-220,Prijedor
L100001047381,way/841600752-220,Tuzla
L100001005392,way/89827347-400,Mostar
L100001052682,way/89827347-400,Mostar
L100001052717,way/89827347-400,Mostar
L100001052700,way/89827347-400,Mostar
L100001005406,way/89827347-400,Mostar
L100001052692,way/89827347-400,Mostar
L100001052712,way/89827347-400,Mostar
L100000815908,way/89827347-400,Mostar
L100001052691,way/79818891-220,Prijedor
L100000806332,way/175002028-400,Vogosca
L100001003326,way/89827347-400,Mostar
L100000815909,way/89827347-400,Mostar
L100000815911,way/245190169-400,Trebinje
L100000806946,way/89827347-400,Mostar
L100001005400,way/245190169-400,Trebinje
L100001005401,way/89827347-400,Mostar
L100001005402,way/245190169-400,Trebinje
L100001005407,way/79818891-220,Prijedor
L100001052704,way/79818891-220,Prijedor
L100001052683,way/89827347-400,Mostar
L100001052696,way/245190169-400,Trebinje
L100001052697,way/245190169-400,Trebinje
L100001052698,way/692824732-220,Doboj
L100001052705,way/245190169-400,Trebinje
L100001052706,way/89827347-400,Mostar
L100001052708,way/245190169-400,Trebinje
L100001052713,way/692824732-220,Doboj
L100001052716,way/245190169-400,Trebinje
L100001052718,way/222962996-400,Bijeljina
L100001052723,way/89827347-400,Mostar
L100001052724,way/245190169-400,Trebinje
L100001052725,way/692824732-220,Doboj
L100001003321,way/89827347-400,Mostar
L100001003323,way/89827347-400,Mostar
L100000806233,way/245190169-400,Trebinje
L100001049948,way/89827347-400,Mostar
L100000806213,way/89827347-400,Mostar
L100001052684,way/79818891-220,Prijedor
L100001052688,way/79818891-220,Prijedor
L100001052695,way/79818891-220,Prijedor
L100001052711,way/79818891-220,Prijedor
L100001052729,way/79818891-220,Prijedor
L100001052734,way/79818891-220,Prijedor
L100001052735,way/79818891-220,Prijedor
L100001052681,way/79818891-220,Prijedor
L100001052703,way/79818891-220,Prijedor
L100001052707,way/79818891-220,Prijedor
L100001052694,way/79818891-220,Prijedor
L100001052687,way/89827347-400,Mostar
L100000806241,way/175002028-400,Vogosca
L100000806339,way/89827347-400,Mostar
L100000915260,BA26-220,SirokiBrijeg
L100000919341,BA11-220,Zenica
L100000915153,BA26-220,SirokiBrijeg
L100000915420,way/89827347-400,Mostar
L100000915356,way/175002028-400,Vogosca
L100000914694,way/245190169-400,Trebinje
L100000912628,way/175002028-400,Vogosca
L100000915565,way/89827347-400,Mostar
L100000913891,way/89827347-400,Mostar
L100000916181,BA26-220,SirokiBrijeg
L100001047266,BA26-220,SirokiBrijeg
L100000915822,BA26-220,SirokiBrijeg
L100000915823,BA26-220,SirokiBrijeg
L100000915104,way/89827347-400,Mostar
L100000914720,BA11-220,Zenica
L100000914721,BA11-220,Zenica
L100000914728,BA11-220,Zenica
L100000912498,way/89827347-400,Mostar
L100000915843,way/89827347-400,Mostar
L100000911682,BA11-220,Zenica
L100000919344,way/89827347-400,Mostar
L100000915111,BA26-220,SirokiBrijeg
L100001003347,BA11-220,Zenica
L100000915836,BA11-220,Zenica
L100000914189,way/79818891-220,Prijedor
L100000919345,way/89827347-400,Mostar
L100000916182,BA26-220,SirokiBrijeg
L100001047265,BA19-220,Bratunac
L100000915084,BA11-220,Zenica
L100001003335,BA11-220,Zenica
L100000100101,way/245190169-400,Trebinje
L100000100103,way/79818891-220,Prijedor
L100000100100,way/841600752-220,Tuzla
