bus_id,grid_cell,bus_name
way/79818891-220,BIH_16,Prijedor
way/89827347-400,BIH_35,Mostar
way/89827347-400,BIH_35,Mostar
way/175002028-400,BIH_58,Vogosca
way/222962996-400,BIH_78,Bijeljina
way/245190169-400,BIH_53,Trebinje
way/245190169-400,wof-BIH_53,Trebinje
BA11-220,BIH_30,Zenica
way/692824732-220,BIH_63,Doboj
way/841600752-220,BIH_70,Tuzla
way/245190169-400,BIH_53,Trebinje
way/245190169-400,wof-BIH_53,Trebinje
way/245190169-400,BIH_53,Trebinje
way/245190169-400,wof-BIH_53,Trebinje
way/841600752-220,BIH_70,Tuzla
way/841600752-220,BIH_70,Tuzla
way/245190169-400,,Trebinje
way/89827347-400,BIH_35,Mostar
BA19-220,,Bratunac
BA19-220,BIH_84,Bratunac
way/175002028-400,BIH_58,Vogosca
BA11-220,BIH_48,Zenica
BA11-220,BIH_49,Zenica
way/89827347-400,,Mostar
way/89827347-400,BIH_35,Mostar
BA26-220,BIH_36,SirokiBrijeg
BA26-220,BIH_36,SirokiBrijeg
BA19-220,BIH_84,Bratunac
BA26-220,BIH_37,SirokiBrijeg
BA19-220,BIH_74,Bratunac
BA19-220,,Bratunac
way/222962996-400,BIH_77,Bijeljina
BA19-220,BIH_80,Bratunac
way/79818891-220,,Prijedor
way/245190169-400,,Trebinje
way/79818891-220,BIH_16,Prijedor
BA11-220,BIH_48,Zenica
BA11-220,BIH_48,Zenica
BA26-220,,SirokiBrijeg
BA26-220,,SirokiBrijeg
way/89827347-400,BIH_26,Mostar
way/692824732-220,,Doboj
way/692824732-220,,Doboj
way/79818891-220,,Prijedor
way/79818891-220,BIH_0,Prijedor
way/245190169-400,BIH_64,Trebinje
way/222962996-400,BIH_77,Bijeljina
way/79818891-220,BIH_24,Prijedor
BA19-220,,Bratunac
way/89827347-400,BIH_35,Mostar
way/222962996-400,,Bijeljina
BA11-220,BIH_48,Zenica
BA11-220,BIH_48,Zenica
BA19-220,,Bratunac
BA26-220,BIH_37,SirokiBrijeg
BA19-220,BIH_80,Bratunac
way/245190169-400,,Trebinje
way/245190169-400,,Trebinje
BA11-220,BIH_48,Zenica
way/222962996-400,,Bijeljina
way/79818891-220,BIH_1,Prijedor
way/79818891-220,BIH_2,Prijedor
way/79818891-220,BIH_3,Prijedor
way/79818891-220,BIH_4,Prijedor
BA26-220,BIH_5,SirokiBrijeg
BA26-220,BIH_6,SirokiBrijeg
way/79818891-220,BIH_7,Prijedor
way/79818891-220,BIH_8,Prijedor
way/79818891-220,BIH_9,Prijedor
way/79818891-220,BIH_10,Prijedor
BA26-220,BIH_11,SirokiBrijeg
BA26-220,BIH_12,SirokiBrijeg
BA11-220,BIH_13,Zenica
way/79818891-220,BIH_14,Prijedor
way/79818891-220,BIH_15,Prijedor
way/79818891-220,BIH_17,Prijedor
way/89827347-400,BIH_18,Mostar
way/89827347-400,BIH_19,Mostar
BA11-220,BIH_20,Zenica
BA11-220,BIH_21,Zenica
BA11-220,BIH_22,Zenica
way/79818891-220,BIH_23,Prijedor
way/79818891-220,BIH_25,Prijedor
way/89827347-400,BIH_27,Mostar
BA26-220,BIH_28,SirokiBrijeg
BA11-220,BIH_29,Zenica
BA11-220,BIH_31,Zenica
way/79818891-220,BIH_32,Prijedor
way/79818891-220,BIH_33,Prijedor
way/89827347-400,BIH_34,Mostar
BA26-220,BIH_38,SirokiBrijeg
BA11-220,BIH_39,Zenica
BA11-220,BIH_40,Zenica
way/79818891-220,BIH_41,Prijedor
way/79818891-220,BIH_42,Prijedor
way/89827347-400,BIH_43,Mostar
way/89827347-400,BIH_44,Mostar
way/89827347-400,BIH_45,Mostar
way/89827347-400,BIH_46,Mostar
BA11-220,BIH_47,Zenica
BA11-220,BIH_50,Zenica
way/692824732-220,BIH_51,Doboj
way/692824732-220,BIH_52,Doboj
way/245190169-400,BIH_54,Trebinje
way/245190169-400,BIH_55,Trebinje
way/245190169-400,BIH_56,Trebinje
way/175002028-400,BIH_57,Vogosca
way/175002028-400,BIH_59,Vogosca
BA11-220,BIH_60,Zenica
way/841600752-220,BIH_61,Tuzla
way/692824732-220,BIH_62,Doboj
way/245190169-400,BIH_65,Trebinje
way/175002028-400,BIH_66,Vogosca
way/175002028-400,BIH_67,Vogosca
way/175002028-400,BIH_68,Vogosca
way/841600752-220,BIH_69,Tuzla
way/841600752-220,BIH_71,Tuzla
way/692824732-220,BIH_72,Doboj
BA19-220,BIH_73,Bratunac
BA19-220,BIH_75,Bratunac
way/222962996-400,BIH_76,Bijeljina
BA19-220,BIH_79,Bratunac
BA19-220,BIH_81,Bratunac
way/222962996-400,BIH_82,Bijeljina
way/222962996-400,BIH_83,Bijeljina
