bus0,bus1,voltage,s_nom,length,type
BR682-500,way/108224468-500,500.0,4468.691083527704,52733.92,Al/St 240/40 4-bundle 380.0
way/202622375-765,BR755-765,765.0,5512.078490007195,366266.57,Al/St 560/50 4-bundle 750.0
BR758-440,BR764-440,440.0,1966.2240767521896,54387.75,Al/St 240/40 4-bundle 380.0
way/521542011-500,way/140181432-500,500.0,2234.345541763852,50526.26,Al/St 240/40 4-bundle 380.0
way/521542011-500,way/140181432-500,500.0,2234.345541763852,68701.68,Al/St 240/40 4-bundle 380.0
way/140181432-500,BR903-500,500.0,2234.345541763852,194334.02,Al/St 240/40 4-bundle 380.0
BR867-500,relation/9328495-500,500.0,2234.345541763852,171864.76,Al/St 240/40 4-bundle 380.0
BR676-500,BR732-500,500.0,2234.345541763852,91920.35,Al/St 240/40 4-bundle 380.0
way/626479359-500,BR659-500,500.0,2234.345541763852,111845.18,Al/St 240/40 4-bundle 380.0
BR683-500,BR682-500,500.0,4468.691083527704,26707.21,Al/St 240/40 4-bundle 380.0
way/287393618-500,BR689-500,500.0,2234.345541763852,106835.35,Al/St 240/40 4-bundle 380.0
way/287393618-500,BR684-500,500.0,2234.345541763852,119053.86,Al/St 240/40 4-bundle 380.0
way/94745966-500,way/528904118-500,500.0,2234.345541763852,40199.01,Al/St 240/40 4-bundle 380.0
BR669-500,way/626479359-500,500.0,2234.345541763852,173576.98,Al/St 240/40 4-bundle 380.0
way/125761912-765,way/202622375-765,765.0,5512.078490007195,303125.28,Al/St 560/50 4-bundle 750.0
way/125761912-765,way/202622375-765,765.0,5512.078490007195,303154.05,Al/St 560/50 4-bundle 750.0
BR837-500,way/125761912-500,500.0,2234.345541763852,178125.39,Al/St 240/40 4-bundle 380.0
way/125761912-500,BR732-500,500.0,2234.345541763852,90218.01,Al/St 240/40 4-bundle 380.0
way/125761912-765,way/202622375-765,765.0,5512.078490007195,308101.9,Al/St 560/50 4-bundle 750.0
way/131742617-500,BR845-500,500.0,2234.345541763852,150607.05,Al/St 240/40 4-bundle 380.0
way/247684836-500,way/528904118-500,500.0,2234.345541763852,84939.41,Al/St 240/40 4-bundle 380.0
BR837-500,way/140181432-500,500.0,2234.345541763852,188542.83,Al/St 240/40 4-bundle 380.0
BR832-500,BR837-500,500.0,2234.345541763852,79423.56,Al/St 240/40 4-bundle 380.0
way/150728360-500,BR832-500,500.0,2234.345541763852,81775.77,Al/St 240/40 4-bundle 380.0
BR833-500,BR832-500,500.0,4468.691083527704,1901.6,Al/St 240/40 4-bundle 380.0
BR832-500,BR833-500,500.0,4468.691083527704,1912.92,Al/St 240/40 4-bundle 380.0
BR838-500,BR837-500,500.0,2234.345541763852,11522.87,Al/St 240/40 4-bundle 380.0
BR837-500,BR838-500,500.0,2234.345541763852,11634.4,Al/St 240/40 4-bundle 380.0
BR661-440,BR728-440,440.0,3932.448153504379,249814.61,Al/St 240/40 4-bundle 380.0
