bus_id,grid_cell
way/32300871-500,BRA_1274
way/94745966-500,BRA_1744
way/108224468-500,BRA_2584
way/108224468-500,wof-BRA_511
way/125761912-765,BRA_1675
way/125761912-500,BRA_1675
way/140181432-500,BRA_1749
way/150728360-500,BRA_1512
way/160888682-440,BRA_2228
way/167516187-500,BRA_1980
way/168664395-500,BRA_1081
way/168904844-500,BRA_799
way/172071437-440,BRA_2227
way/174017677-440,BRA_1917
way/174852067-500,BRA_2176
way/174852067-440,BRA_2176
way/188465343-500,BRA_1589
way/201470687-500,BRA_427
way/202622375-765,BRA_2049
way/215284729-500,BRA_2028
way/215284729-500,wof-BRA_165
way/225181494-500,BRA_2226
way/247684836-500,BRA_1745
way/271191830-500,BRA_2148
way/285044818-500,BRA_1181
way/286006777-440,BRA_1765
way/287374167-500,BRA_876
way/287393618-500,BRA_2488
way/287393618-500,wof-BRA_467
way/302735025-500,BRA_2118
way/302735025-440,BRA_2118
way/302901044-440,BRA_1683
way/302931307-440,BRA_1846
way/304646981-500,BRA_737
way/306104018-500,BRA_1999
way/348815398-500,BRA_3087
way/348815398-500,wof-BRA_970
way/385000005-500,BRA_2045
way/385000005-500,wof-BRA_209
way/131742617-500,BRA_1979
way/453724535-500,BRA_1033
way/466973262-525,BRA_1578
way/466973262-525,wof-BRA_21
way/515552863-500,BRA_1722
way/515552863-500,wof-BRA_42
way/521542011-500,BRA_1668
way/525253078-500,BRA_1566
way/525253078-500,wof-BRA_14
way/526061686-500,BRA_1339
way/526083466-525,BRA_1495
way/526083466-525,wof-BRA_10
way/526083475-525,BRA_1415
way/528904118-525,BRA_1744
way/532354815-500,BRA_3053
way/537470701-500,BRA_2057
way/539025237-500,BRA_2386
way/539025237-440,BRA_2386
way/596594961-500,BRA_2698
way/603494578-500,BRA_3053
way/626452961-500,BRA_1339
way/626479359-500,BRA_2585
way/953014442-500,BRA_2467
way/954122148-500,BRA_2600
way/969586211-525,BRA_1662
way/969586211-525,wof-BRA_40
way/1090304792-500,BRA_3089
way/1090304792-500,wof-BRA_972
relation/6844204-500,BRA_2061
relation/9328495-500,BRA_1129
BR682-500,BRA_2585
BR682-500,wof-BRA_511
BR758-440,BRA_2332
BR758-440,wof-BRA_359
BR867-500,
BR676-500,BRA_1840
