bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/32300871-500,way/32300871,500.0,f,Substation,f,way/32300871,-54.54191521207819,-25.46631159598644,BR
way/94745966-500,way/94745966,500.0,f,Substation,f,way/94745966,-51.33517445977297,-29.82330308202412,BR
way/108224468-500,way/108224468,500.0,f,Substation,f,way/108224468,-43.264390614895326,-22.927717153350343,BR
way/125761912-765,way/125761912,765.0,f,Substation,f,way/125761912,-51.67493088490573,-24.42064348767649,BR
way/125761912-500,way/125761912,500.0,f,Substation,f,way/125761912,-51.67513788273859,-24.42098538040836,BR
way/140181432-500,way/140181432,500.0,f,Substation,f,way/140181432,-51.41751384685022,-27.53960858012144,BR
way/150728360-500,way/150728360,500.0,f,Substation,f,way/150728360,-52.62253284679849,-25.630591426285022,BR
way/160888682-440,way/160888682,440.0,f,Substation,f,way/160888682,-47.417666866777495,-22.726748251755502,BR
way/167516187-500,way/167516187,500.0,f,Substation,f,way/167516187,-49.53356873861978,-25.41055252042342,BR
way/168664395-500,way/168664395,500.0,f,Substation,f,way/168664395,-55.854258173109336,-15.685519124272872,BR
way/168904844-500,way/168904844,500.0,f,Substation,f,way/168904844,-58.83006338281112,-15.381393556310003,BR
way/172071437-440,way/172071437,440.0,f,Substation,f,way/172071437,-47.28697451870784,-22.86704348944508,BR
way/174017677-440,way/174017677,440.0,f,Substation,f,way/174017677,-49.83826301605837,-21.85538154842325,BR
way/174852067-500,way/174852067,500.0,f,Substation,f,way/174852067,-47.68565532336719,-21.200408279584245,BR
way/174852067-440,way/174852067,440.0,f,Substation,f,way/174852067,-47.68584284634797,-21.200740895203484,BR
way/188465343-500,way/188465343,500.0,f,Substation,f,way/188465343,-52.40618470212786,-27.272949916573243,BR
way/201470687-500,way/201470687,500.0,f,Substation,f,way/201470687,-63.95913289906006,-8.914227007500225,BR
way/202622375-765,way/202622375,765.0,f,Substation,f,way/202622375,-49.13203910609355,-23.950976120699263,BR
way/215284729-500,way/215284729,500.0,f,Substation,f,way/215284729,-49.65449226733976,-3.823763433567005,BR
way/225181494-500,way/225181494,500.0,f,Substation,f,way/225181494,-47.10518879290176,-23.665694566140605,BR
