bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,station_id
way/32300871-500,500.0,f,Substation,f,way/32300871,-54.54191521207819,-25.46631159598644,BR,500.0,way/32300871
way/125761912-500,500.0,f,Substation,f,way/125761912,-51.67513788273859,-24.42098538040836,BR,500.0,way/125761912
way/188465343-500,500.0,f,Substation,f,way/188465343,-52.40618470212786,-27.272949916573243,BR,500.0,way/188465343
way/202622375-765,765.0,f,Substation,f,way/202622375,-49.13203910609355,-23.950976120699263,BR,765.0,way/202622375
way/271191830-500,500.0,f,Substation,f,way/271191830,-48.45462587782281,-7.97103293641723,BR,500.0,way/271191830
way/466973262-525,525.0,f,Substation,f,way/466973262,-52.34099919009779,-31.92931821171642,BR,525.0,way/466973262
way/515552863-500,500.0,f,Substation,f,way/515552863,-51.685358036619206,-3.108072251131921,BR,500.0,way/515552863
way/537470701-500,500.0,f,Substation,f,way/537470701,-49.22235224794941,-20.254074069400133,BR,500.0,way/537470701
way/954122148-500,500.0,f,Substation,f,way/954122148,-43.32624216312621,-15.924490472109207,BR,500.0,way/954122148
BR669-500,500.0,f,Substation,f,BR669,-45.03589897904356,-22.631570641557143,BR,500.0,BR669
BR141-500,500.0,f,Substation,f,BR141,-47.4722481678769,-5.422926920129352,BR,500.0,BR141
BR580-500,500.0,f,Substation,f,BR580,-45.31103434304593,-19.79301020433665,BR,500.0,BR580
BR435-500,500.0,f,Substation,f,BR435,-48.30154680322931,-13.826789634741113,BR,500.0,BR435
BR487-500,500.0,f,Substation,f,BR487,-52.63774700358056,-16.474341650383664,BR,500.0,BR487
BR72-500,500.0,f,Substation,f,BR72,-41.028719430695936,-3.771141528230874,BR,500.0,BR72
BR254-500,500.0,f,Substation,f,BR254,-42.22901639449768,-8.35821523392407,BR,500.0,BR254
BR282-500,500.0,f,Substation,f,BR282,-38.30490778404523,-9.14478661948066,BR,500.0,BR282
BR21-500,500.0,f,Substation,f,BR21,-55.9317361,-1.6396521963443924,BR,500.0,BR21
BR204-500,500.0,f,Substation,f,BR204,-35.98040012512699,-7.252915113232939,BR,500.0,BR204
BR485-500,500.0,f,Substation,f,BR485,-47.83157678646354,-16.350475873430806,BR,500.0,BR485
BR148-500,500.0,f,Substation,f,BR148,-37.03135420245117,-5.580055831772162,BR,500.0,BR148
BR357-500,500.0,f,Substation,f,BR357,-55.33408129195488,-11.290882718917135,BR,500.0,BR357
BR273-230,230.0,f,Substation,f,BR273,-63.81713441633519,-8.79650326567996,BR,230.0,BR273
