line_id,bus0,bus1,type,voltage,s_nom,length,geometry
BR_line_32,way/202622375-765,BR669-500,BR669-500;way/202622375-765,765.0,34768.49509081461,227923.00727821616,
BR_line_37,way/125761912-500,way/202622375-765,way/125761912-500;way/202622375-765,765.0,33874.75687410907,216321.9618996196,
BR_line_38,way/32300871-500,way/125761912-500,way/125761912-500;way/32300871-500,765.0,21004.926553549285,295241.01177419355,
BR_line_43,way/202622375-765,way/537470701-500,way/202622375-765;way/537470701-500,500.0,18232.25962079303,164275.10450980393,
BR_line_40,way/466973262-525,way/188465343-500,way/188465343-500;way/466973262-525,525.0,14076.376913112264,67648.77166666665,
BR_line_33,BR669-500,way/537470701-500,BR669-500;way/537470701-500,500.0,13406.073250583113,283723.46,
BR_line_18,BR485-500,BR435-500,BR435-500;BR485-500,500.0,13406.073250583113,267723.665,
BR_line_27,way/537470701-500,BR580-500,BR580-500;way/537470701-500,500.0,13406.073250583113,180657.72666666663,
BR_line_9,BR282-500,BR204-500,BR204-500;BR282-500,500.0,13406.073250583113,232528.5466666667,
BR_line_11,BR254-500,BR282-500,BR254-500;BR282-500,500.0,11171.72770881926,334468.22,
BR_line_17,BR357-500,BR487-500,BR357-500;BR487-500,500.0,11171.72770881926,380646.578,
BR_line_36,way/188465343-500,way/125761912-500,way/125761912-500;way/188465343-500,500.0,8937.382167055408,166038.32,
BR_line_26,BR580-500,BR669-500,BR580-500;BR669-500,500.0,8937.382167055408,419938.44500000007,
BR_line_21,way/537470701-500,BR485-500,BR485-500;way/537470701-500,500.0,8937.382167055408,160070.7975,
BR_line_4,BR72-500,BR141-500,BR141-500;BR72-500,500.0,8937.382167055408,360978.125,
BR_line_29,way/954122148-500,BR580-500,BR580-500;way/954122148-500,500.0,8937.382167055408,245858.4675,
BR_line_25,BR487-500,way/537470701-500,BR487-500;way/537470701-500,500.0,6703.036625291556,325579.82,
BR_line_13,way/271191830-500,BR254-500,BR254-500;way/271191830-500,500.0,6703.036625291556,428968.5300000001,
BR_line_19,BR435-500,way/271191830-500,BR435-500;way/271191830-500,500.0,6703.036625291556,384904.24333333335,
BR_line_24,BR485-500,way/954122148-500,BR485-500;way/954122148-500,500.0,6703.036625291556,341479.46,
BR_line_1,way/271191830-500,BR141-500,BR141-500;way/271191830-500,500.0,6703.036625291556,409566.7533333334,
BR_line_41,way/188465343-500,way/202622375-765,way/188465343-500;way/202622375-765,525.0,4580.4083606158965,256116.98121951212,
BR_line_7,BR148-500,BR282-500,BR148-500;BR282-500,500.0,4468.691083527704,254370.735,
BR_line_12,BR435-500,BR254-500,BR254-500;BR435-500,500.0,4468.691083527704,248925.61,
BR_line_10,BR21-500,way/515552863-500,BR21-500;way/515552863-500,500.0,4468.691083527704,386172.16,
BR_line_2,way/515552863-500,BR141-500,BR141-500;way/515552863-500,500.0,4468.691083527704,511515.2899999999,
BR_line_8,BR72-500,BR148-500,BR148-500;BR72-500,500.0,4468.691083527704,74693.045,
BR_line_44,way/954122148-500,BR669-500,BR669-500;way/954122148-500,500.0,4468.691083527704,164310.09999999998,
BR_line_16,BR282-500,way/954122148-500,BR282-500;way/954122148-500,500.0,4468.691083527704,325307.63499999995,
BR_line_14,BR254-500,way/954122148-500,BR254-500;way/954122148-500,500.0,4468.691083527704,243925.5,
BR_line_42,way/32300871-500,way/188465343-500,way/188465343-500;way/32300871-500,500.0,4468.691083527704,168677.715,
BR_line_6,BR204-500,BR148-500,BR148-500;BR204-500,500.0,4468.691083527704,164269.03,
BR_line_3,BR254-500,BR141-500,BR141-500;BR254-500,500.0,2234.345541763852,641925.22,
BR_line_22,BR580-500,BR485-500,BR485-500;BR580-500,500.0,2234.345541763852,324239.93,
BR_line_20,way/954122148-500,BR435-500,BR435-500;way/954122148-500,500.0,2234.345541763852,500870.92,
BR_line_30,way/125761912-500,way/537470701-500,way/125761912-500;way/537470701-500,440.0,1966.2240767521896,153074.32,
BR_line_15,BR273-230,BR357-500,BR273-230;BR357-500,230.0,1541.6984238170576,211286.5766666667,
