GEM location ID,bus_id
L100000100122,BR141-500
L100000100134,way/188465343-500
L100000100120,BR72-500
L100000100128,way/466973262-525
L100000100118,BR72-500
L100000100131,way/466973262-525
L100000100121,BR72-500
L100000200411,way/202622375-765
L100000200412,way/202622375-765
L100000200414,BR204-500
L100000200415,way/202622375-765
L100000200416,BR357-500
L100000200417,way/537470701-500
L100000200418,way/537470701-500
L100000200421,BR21-500
L100000200422,way/537470701-500
L100000200423,way/202622375-765
L100000200424,way/537470701-500
L100000200425,BR669-500
L100000200429,way/537470701-500
L100000200430,BR580-500
L100000200431,way/125761912-500
L100000200432,BR669-500
L100000200433,way/537470701-500
L100000200434,way/125761912-500
L100000200435,way/125761912-500
L100000200436,way/125761912-500
L100000200437,BR669-500
L100000200438,BR282-500
L100000200439,BR204-500
L100000200440,way/202622375-765
L100000200441,BR580-500
L100000200442,way/202622375-765
L100000200443,way/202622375-765
L100000200444,BR487-500
L100000200445,BR204-500
L100000200446,way/537470701-500
L100000200447,way/125761912-500
L100000200448,BR485-500
L100000200449,way/537470701-500
L100000200450,BR204-500
L100000200451,way/537470701-500
L100000200452,way/537470701-500
L100000200453,way/537470701-500
L100000200454,way/202622375-765
L100000200455,way/537470701-500
L100000200456,way/537470701-500
L100000200457,way/537470701-500
L100000200458,way/537470701-500
L100000200459,way/32300871-500
L100000200460,way/537470701-500
L100000200461,way/537470701-500
L100000200462,way/537470701-500
L100000200463,way/202622375-765
L100000200464,BR669-500
L100000200465,way/537470701-500
L100000200466,BR580-500
L100000200467,way/537470701-500
L100000200468,BR204-500
L100000200469,way/537470701-500
L100000200470,way/537470701-500
L100000200471,way/537470701-500
L100000200472,way/188465343-500
L100000200473,way/537470701-500
L100000200474,way/466973262-525
L100000200476,way/125761912-500
L100000200477,BR485-500
L100000200478,way/537470701-500
L100000200479,way/537470701-500
L100000200480,way/537470701-500
L100000200481,way/537470701-500
L100000200482,way/125761912-500
L100000200483,way/537470701-500
L100000200484,BR204-500
L100000200485,way/202622375-765
L100000200486,way/537470701-500
L100000200487,way/537470701-500
L100000200488,way/537470701-500
L100000200489,way/202622375-765
L100000200490,way/537470701-500
L100000200492,way/537470701-500
L100000200493,way/125761912-500
L100000200494,way/537470701-500
L100000200495,BR485-500
L100000200496,way/537470701-500
L100000200497,way/537470701-500
L100000200498,BR485-500
L100000200499,BR669-500
L100000200500,BR357-500
L100000200501,way/537470701-500
L100000200502,BR487-500
L100000200503,way/202622375-765
L100000200504,way/537470701-500
L100000200505,way/537470701-500
L100000200507,way/202622375-765
L100000200508,way/537470701-500
L100000200509,BR204-500
L100000200510,way/537470701-500
L100000200511,BR273-230
L100000200512,way/537470701-500
L100000200513,way/537470701-500
L100000200514,way/537470701-500
L100000200515,way/537470701-500
L100000200516,way/202622375-765
L100000200517,way/537470701-500
L100000200518,way/537470701-500
L100000200520,BR357-500
L100000200521,way/537470701-500
L100000200522,way/202622375-765
L100000200523,BR204-500
L100000200524,BR487-500
L100000200525,way/537470701-500
L100000200526,way/537470701-500
L100000200527,way/515552863-500
L100000200528,way/537470701-500
L100000200529,BR204-500
L100000200530,way/125761912-500
L100000200531,way/188465343-500
L100000200532,way/188465343-500
L100000200533,way/125761912-500
L100000200534,way/537470701-500
L100000200535,BR580-500
L100000200536,way/202622375-765
L100000200537,way/125761912-500
L100000200538,way/202622375-765
L100000200539,way/537470701-500
L100000200541,way/202622375-765
L100000200542,way/537470701-500
L100000200543,way/537470701-500
L100000200544,way/537470701-500
L100000200545,way/537470701-500
L100000200547,way/537470701-500
L100000200548,way/537470701-500
L100000200550,way/537470701-500
L100000200551,way/125761912-500
L100000200552,way/125761912-500
L100000200553,way/537470701-500
L100000200554,way/271191830-500
L100000200555,way/537470701-500
L100000200556,way/537470701-500
L100000200557,way/537470701-500
L100000200558,way/537470701-500
L100000200559,way/537470701-500
L100000200560,way/537470701-500
L100000200563,way/125761912-500
L100000200564,way/202622375-765
L100000200565,way/537470701-500
L100000200566,way/202622375-765
L100000200567,way/202622375-765
L100000200568,way/202622375-765
L100000200569,way/537470701-500
L100000200570,way/537470701-500
L100000200572,BR669-500
L100000200573,way/537470701-500
L100000200574,way/537470701-500
L100000200575,way/537470701-500
L100000200576,way/537470701-500
L100000200577,way/537470701-500
L100000200578,way/537470701-500
L100000200579,way/537470701-500
L100000200580,way/125761912-500
L100000200581,way/125761912-500
L100000200582,way/125761912-500
L100000200583,way/537470701-500
L100000200584,BR669-500
L100000200585,way/202622375-765
L100000200586,way/537470701-500
L100000200587,way/537470701-500
L100000200588,way/202622375-765
L100000200589,way/954122148-500
L100000200590,way/202622375-765
L100000200591,way/537470701-500
L100000200592,way/537470701-500
L100000200593,way/537470701-500
L100000200594,way/537470701-500
L100000200595,way/537470701-500
L100000200596,BR487-500
L100000200597,BR141-500
L100000200598,BR669-500
L100000200599,BR435-500
L100000200600,way/537470701-500
L100000200601,BR485-500
L100000200602,way/125761912-500
L100000200603,way/125761912-500
L100000200604,way/125761912-500
L100000200605,way/537470701-500
L100000200606,BR487-500
L100000200607,BR487-500
L100000200608,BR487-500
L100000200609,way/537470701-500
L100000200611,way/125761912-500
L100000200612,way/125761912-500
L100000200613,way/125761912-500
L100000200614,way/537470701-500
L100000200615,way/537470701-500
L100000200616,way/537470701-500
L100000200617,way/537470701-500
L100000200618,way/537470701-500
L100000200619,way/537470701-500
L100000200620,way/954122148-500
L100000200621,way/537470701-500
L100000200623,way/537470701-500
L100000200624,way/537470701-500
L100000200625,way/537470701-500
L100000200626,way/125761912-500
L100000200627,way/125761912-500
L100000200628,way/202622375-765
L100000200629,way/537470701-500
L100000200630,BR580-500
L100000200734,way/466973262-525
L100000200735,BR485-500
L100000200736,BR669-500
L100000200737,way/188465343-500
L100000200738,way/188465343-500
L100000200739,way/188465343-500
L100000200740,BR141-500
L100000200741,way/202622375-765
L100000200742,way/125761912-500
L100000200743,way/202622375-765
L100000200744,BR435-500
L100000200745,way/188465343-500
L100000200746,way/202622375-765
L100000200747,BR282-500
L100000200748,way/537470701-500
L100000200749,BR357-500
L100000200750,way/188465343-500
