bus_id,grid_cell
way/32300871-500,BRA_1274
way/188465343-500,BRA_1744
BR669-500,BRA_2584
BR669-500,wof-BRA_511
way/125761912-500,BRA_1675
way/125761912-500,BRA_1675
way/188465343-500,BRA_1749
way/125761912-500,BRA_1512
way/202622375-765,BRA_2228
way/202622375-765,BRA_1980
BR487-500,BRA_1081
BR357-500,BRA_799
way/202622375-765,BRA_2227
way/537470701-500,BRA_1917
way/537470701-500,BRA_2176
way/537470701-500,BRA_2176
way/188465343-500,BRA_1589
BR273-230,BRA_427
way/202622375-765,BRA_2049
BR141-500,BRA_2028
way/202622375-765,BRA_2226
way/188465343-500,BRA_1745
way/271191830-500,BRA_2148
BR21-500,BRA_1181
way/537470701-500,BRA_1765
BR21-500,BRA_876
BR669-500,BRA_2488
way/537470701-500,BRA_2118
way/537470701-500,BRA_2118
way/537470701-500,BRA_1683
way/537470701-500,BRA_1846
BR21-500,BRA_737
BR485-500,BRA_1999
BR204-500,BRA_3087
BR204-500,wof-BRA_970
way/202622375-765,BRA_2045
way/202622375-765,BRA_1979
BR357-500,BRA_1033
way/466973262-525,BRA_1578
way/515552863-500,BRA_1722
way/188465343-500,BRA_1668
way/515552863-500,BRA_1566
way/466973262-525,BRA_1339
way/466973262-525,BRA_1495
way/466973262-525,wof-BRA_10
way/466973262-525,BRA_1415
way/188465343-500,BRA_1744
BR204-500,BRA_3053
way/537470701-500,BRA_2057
BR669-500,BRA_2386
BR669-500,BRA_2386
way/954122148-500,BRA_2698
BR204-500,BRA_3053
way/466973262-525,BRA_1339
BR669-500,BRA_2585
BR254-500,BRA_2467
way/954122148-500,BRA_2600
way/466973262-525,BRA_1662
BR204-500,BRA_3089
BR204-500,wof-BRA_972
way/537470701-500,BRA_2061
way/32300871-500,BRA_1129
BR669-500,BRA_2585
BR669-500,wof-BRA_511
BR669-500,BRA_2332
way/32300871-500,
way/202622375-765,BRA_1840
BR669-500,BRA_2585
BR669-500,wof-BRA_511
BR669-500,BRA_2439
way/188465343-500,BRA_1671
BR254-500,BRA_2842
way/125761912-500,BRA_1592
way/125761912-500,BRA_1592
way/188465343-500,BRA_1671
way/202622375-765,BRA_2052
way/202622375-765,BRA_1840
way/537470701-500,BRA_1765
way/202622375-765,BRA_2228
BR669-500,BRA_2282
way/537470701-500,BRA_2118
BR669-500,BRA_2284
way/537470701-500,BRA_2118
way/537470701-500,BRA_1683
way/537470701-500,BRA_1764
BR148-500,BRA_2967
way/537470701-500,BRA_1846
way/537470701-500,BRA_1848
BR669-500,BRA_2333
BR669-500,BRA_2333
BR141-500,BRA_2266
BR141-500,BRA_2267
way/32300871-500,BRA_1274
way/32300871-500,BRA_1434
way/125761912-500,BRA_1519
way/202622375-765,BRA_2053
way/537470701-500,BRA_1683
way/537470701-500,BRA_2057
BR254-500,BRA_2842
way/537470701-500,BRA_2234
BR669-500,BRA_2228
BR669-500,BRA_2228
way/202622375-765,BRA_2228
way/537470701-500,BRA_1848
BR669-500,BRA_2279
way/202622375-765,BRA_2226
way/202622375-765,BRA_2226
way/202622375-765,BRA_2226
way/32300871-500,BRA_1432
way/188465343-500,BRA_1671
way/188465343-500,BRA_2042
way/202622375-765,BRA_1981
way/125761912-500,BRA_1760
BR669-500,BRA_2281
BR669-500,BRA_2281
BR669-500,BRA_2228
way/202622375-765,BRA_2226
way/202622375-765,BRA_2226
BR669-500,BRA_2280
BR669-500,BRA_2439
BR669-500,BRA_2385
BR669-500,BRA_2387
BR669-500,BRA_2281
way/537470701-500,BRA_2181
BR485-500,BRA_2182
BR580-500,BRA_2342
BR580-500,BRA_2544
BR580-500,BRA_2495
BR580-500,BRA_2445
BR580-500,BRA_2592
BR435-500,BRA_2135
BR485-500,BRA_2129
BR487-500,BRA_1533
BR148-500,BRA_2995
BR72-500,BRA_2995
BR72-500,BRA_2855
BR141-500,BRA_2527
BR669-500,BRA_2584
BR669-500,BRA_2584
BR254-500,BRA_2620
BR254-500,BRA_2711
BR282-500,BRA_2962
way/202622375-765,BRA_2227
BR141-500,BRA_2091
BR282-500,BRA_3005
BR282-500,BRA_3004
BR282-500,BRA_3004
BR282-500,BRA_3003
way/537470701-500,BRA_1990
BR141-500,BRA_2531
BR72-500,BRA_2581
BR72-500,wof-BRA_468
BR141-500,BRA_2264
BR141-500,BRA_2028
BR141-500,BRA_2099
BR21-500,BRA_1113
way/125761912-500,BRA_1599
BR254-500,BRA_2472
BR282-500,BRA_2975
BR282-500,wof-BRA_756
BR485-500,BRA_2131
way/954122148-500,BRA_2789
way/954122148-500,BRA_2606
BR21-500,BRA_1112
BR669-500,BRA_2585
BR580-500,BRA_2686
way/188465343-500,BRA_1749
BR357-500,BRA_1033
BR282-500,BRA_2950
way/202622375-765,BRA_2112
BR273-230,BRA_428
way/537470701-500,BRA_1851
way/202622375-765,BRA_1980
way/515552863-500,BRA_1722
BR580-500,BRA_2590
BR21-500,BRA_1113
BR204-500,BRA_3069
way/537470701-500,BRA_1683
BR273-230,BRA_355
way/188465343-500,BRA_1269
BR204-500,BRA_3064
BR204-500,BRA_3087
BR204-500,wof-BRA_969
way/125761912-500,BRA_1758
BR669-500,BRA_2228
BR669-500,BRA_2333
BR669-500,BRA_2280
BR669-500,BRA_2280
BR669-500,BRA_2332
BR669-500,BRA_2489
BR669-500,BRA_2585
BR669-500,wof-BRA_511
BR669-500,BRA_2585
BR485-500,BRA_2187
BR669-500,BRA_2386
BR357-500,BRA_1158
BR357-500,BRA_1158
BR435-500,BRA_2354
way/954122148-500,BRA_2698
BR254-500,BRA_2845
BR148-500,BRA_3048
BR148-500,BRA_3084
BR148-500,BRA_3073
BR148-500,BRA_3061
BR282-500,BRA_2962
BR72-500,BRA_2670
BR72-500,BRA_2723
BR580-500,BRA_2233
BR254-500,BRA_2793
BR254-500,BRA_2565
way/271191830-500,BRA_2145
BR435-500,BRA_2512
BR357-500,BRA_1159
BR357-500,BRA_1160
BR254-500,BRA_2704
BR72-500,BRA_2582
BR72-500,BRA_2768
BR487-500,BRA_1299
BR669-500,BRA_2333
BR282-500,BRA_3036
BR282-500,wof-BRA_834
BR254-500,BRA_2800
way/188465343-500,BRA_1973
BR669-500,BRA_2281
BR669-500,BRA_2281
way/271191830-500,BRA_2144
BR282-500,BRA_2978
BR282-500,BRA_3036
BR282-500,wof-BRA_834
BR254-500,BRA_2755
way/537470701-500,BRA_1762
BR580-500,BRA_2544
BR254-500,BRA_2795
way/954122148-500,BRA_2733
way/954122148-500,BRA_2501
way/125761912-500,BRA_1909
BR485-500,BRA_2350
BR669-500,BRA_2775
way/954122148-500,BRA_2702
way/954122148-500,BRA_2781
way/188465343-500,BRA_2043
BR254-500,BRA_2841
way/466973262-525,BRA_1497
way/954122148-500,BRA_2600
BR204-500,BRA_3045
BR141-500,BRA_2023
BR254-500,BRA_2799
BR148-500,BRA_3049
way/954122148-500,BRA_2872
BR669-500,BRA_2281
way/466973262-525,BRA_1662
way/125761912-500,BRA_1677
way/32300871-500,BRA_1277
BR254-500,BRA_2842
way/188465343-500,BRA_1744
BR148-500,BRA_3072
BR148-500,BRA_2995
way/466973262-525,BRA_1339
BR148-500,BRA_3033
BR148-500,BRA_2994
BR485-500,BRA_2129
BR435-500,BRA_2462
BR254-500,BRA_2795
BR148-500,BRA_3061
way/466973262-525,BRA_1823
BR204-500,BRA_3058
BR669-500,BRA_2771
BR669-500,wof-BRA_572
BR669-500,BRA_2815
BR669-500,wof-BRA_594
way/188465343-500,BRA_2042
way/188465343-500,BRA_1745
way/188465343-500,BRA_1745
BR254-500,BRA_2846
way/954122148-500,BRA_2649
way/188465343-500,BRA_2041
way/188465343-500,wof-BRA_205
way/537470701-500,BRA_1990
BR435-500,BRA_2193
BR435-500,BRA_2076
BR435-500,BRA_2139
BR485-500,BRA_2240
way/32300871-500,BRA_1274
way/188465343-500,BRA_1269
way/32300871-500,BRA_1274
BR669-500,BRA_2332
way/188465343-500,BRA_1744
way/537470701-500,BRA_2120
way/188465343-500,BRA_1588
way/32300871-500,
way/537470701-500,BRA_1848
way/202622375-765,BRA_1979
BR669-500,BRA_2332
BR580-500,BRA_2543
way/537470701-500,BRA_1918
way/537470701-500,BRA_1765
BR141-500,BRA_2090
BR21-500,BRA_1112
way/466973262-525,BRA_1497
way/466973262-525,wof-BRA_11
BR204-500,BRA_3088
BR204-500,wof-BRA_970
BR273-230,BRA_355
way/466973262-525,BRA_1337
way/202622375-765,BRA_2226
way/202622375-765,BRA_2228
