GEM location ID,bus_id
L100000500123,way/113855788-500
L100000500138,way/33728777-500
L100000500185,way/32963410-500
L100000500163,way/117228972-345
L100000201273,CA24-240
L100000104920,CA200-500
L100000405202,way/399079326-240
L100000200340,way/272219026-345
L100000201275,way/255866641-500
L100000201276,way/104561026-500
L100000201277,way/25500667-500
L100000201278,way/551510936-345
L100000200347,way/89024998-500
L100000201280,way/166899876-500
L100000201281,way/166899876-500
L100000200357,way/104561026-500
L100000200358,way/113343685-500
L100000200360,way/79660529-500
L100000200362,way/113343685-500
L100000201283,way/104561026-500
L100000201284,way/398726503-240
L100000200372,way/269811579-345
L100000200374,way/166899876-500
L100000201285,CA24-240
L100000201286,way/171599032-735
L100000200378,way/543432160-315
L100000201287,way/159783135-500
L100000201288,way/246652207-500
L100000201289,CA200-500
L100000200390,way/169165650-500
L100000200391,relation/13076509-735
L100000200393,way/614612290-500
L100000405198,CA33-240
L100000100160,way/398222931-240
L100000405199,way/273633282-240
L100000405200,way/398227543-240
L100000100161,way/268192671-240
L100000405201,CA337-345
L100000405204,way/100242013-315
L100000405205,way/100242013-315
L100000405203,CA444-345
L100000405206,way/398227543-240
L100000405207,CA343-765
L100000400860,way/402099433-240
L100000405208,relation/11490625-240
L100000408869,way/269999294-345
L100000400862,way/273447830-240
L100000407668,way/504803035-240
L100000405209,way/398623087-240
L100000405210,way/359240603-240
L100000405211,way/401679870-240
L100000405212,way/401679870-240
L100000408868,way/136145755-345
L100000405213,way/401774037-240
L100000407667,CA444-345
L100000405214,way/398417796-240
L100000405217,way/911609411-500
L100000405218,way/334287872-240
L100000407666,way/504803033-240
L100000100163,way/1116652015-500
L100000405219,way/1335860683-500
L100000405220,way/399079326-240
L100000405221,way/117955755-345
L100000405222,CA444-345
L100000100164,way/399079326-240
L100000405223,way/33297515-500
L100000405225,way/359143123-240
L100000408867,way/269811579-345
L100000405226,way/398417866-240
L100000408866,way/269811579-345
L100000405227,way/163080106-500
L100000405228,way/156738153-500
L100000405229,way/268205078-240
L100000100165,way/268183893-500
L100000405230,way/5065566-500
L100000405231,way/163080106-500
L100000407664,way/246652207-500
L100000405232,way/401774037-240
L100000405233,way/5065566-500
L100000405235,way/398417819-240
L100000100168,way/29999719-500
L100000405236,way/911609411-500
L100000405237,way/431696974-240
L100000405238,way/401774037-240
L100000407661,way/201214685-240
L100000408872,way/581354518-345
L100000400863,way/273447830-240
L100000405239,way/378545575-240
L100000400859,way/5065566-500
L100000405240,way/401774037-240
L100000405241,way/76734082-500
L100000405242,way/398417877-240
L100000405243,way/156417764-500
L100000405244,way/401679870-240
L100000405245,way/401774037-240
L100000407717,way/911609411-500
L100000408871,way/581354518-345
L100000405247,way/117955755-345
L100000405248,way/117955755-345
L100000405249,CA33-240
L100000405250,way/243819450-500
L100000100166,way/401875185-240
L100000405251,way/398222892-240
L100000405252,way/117955755-345
L100000407670,way/67214412-500
L100000405253,way/398417877-240
L100000405254,way/33299685-500
L100000405255,way/1335860683-500
L100000405256,way/272219026-345
L100000407716,way/399079326-240
L100000408870,way/269811579-345
L100000405257,CA444-345
L100000405258,way/33728777-500
L100000405259,CA444-345
L100000405260,way/156417764-500
L100000100169,CA229-345
L100000100176,way/29999719-500
L100000100171,way/269811579-345
L100000104550,way/269811579-345
L100000100173,way/269811579-345
L100000100177,way/273447830-240
L100000100178,way/29999719-500
L100000100172,way/269999294-345
L100000906245,way/33297515-500
L100000906247,CA444-345
L100000906249,CA83-240
L100000906250,way/272219026-345
L100000906259,way/5065566-500
L100000906262,way/180763902-500
L100000906264,way/180763902-500
L100000906265,CA444-345
L100000906266,way/77418180-500
L100000906272,CA444-345
L100000906274,CA444-345
L100000906275,CA444-345
L100000906277,way/67214412-500
L100000906281,CA444-345
L100000906282,way/273447830-240
L100000906285,CA389-500
L100000906286,CA444-345
L100000906288,CA444-345
L100000906291,way/180763902-500
L100000906293,way/551522907-345
L100000906296,CA389-500
L100000906310,way/273447830-240
L100000906312,way/269811579-345
L100000906326,way/551522907-345
L100000906337,way/269811579-345
L100000906350,way/158578970-500
L100000906351,way/113343685-500
L100000906354,way/113343685-500
L100000906356,way/158578970-500
L100000906357,way/158578970-500
L100000906369,way/29999719-500
L100000906376,way/656367746-345
L100000906378,CA389-500
L100000906379,way/273895557-500
L100000906382,way/77418180-500
L100000906385,way/656367746-345
L100000906388,way/77418180-500
L100000906400,way/268537508-240
L100000906407,way/77418180-500
L100000906410,way/551522907-345
L100000906424,CA444-345
L100000906432,way/29999719-500
L100000906434,way/656367746-345
L100000906451,way/201247095-735
L100000906452,way/774866881-315
