bus_id,grid_cell
way/5065566-500,CAN_5596
way/24364552-315,CAN_5943
way/24364552-315,wof-CAN_4312
way/25154845-360,CAN_1123
way/25164969-360,CAN_1123
way/25495523-500,CAN_1064
way/25500667-500,CAN_1007
way/25500667-500,wof-CAN_926
way/26103715-500,CAN_1007
way/26103715-500,wof-CAN_926
way/26296871-315,CAN_5943
way/26296871-315,wof-CAN_4312
way/27736159-735,CAN_6145
way/27736159-735,wof-CAN_4466
way/27736159-315,CAN_6145
way/27736159-315,wof-CAN_4466
way/29999719-500,CAN_3450
way/32963410-500,CAN_5307
way/33144100-735,CAN_5943
way/33144100-735,wof-CAN_4312
way/1042251776-315,CAN_5943
way/1042251776-315,wof-CAN_4313
way/33297515-500,CAN_5235
way/33299685-500,CAN_5235
way/33728777-500,CAN_5373
way/792464552-315,CAN_5943
way/792464552-315,wof-CAN_4312
way/34040833-315,CAN_5943
way/34040833-315,wof-CAN_4312
way/34252628-735,CAN_5943
way/34252628-735,wof-CAN_4313
way/34252628-315,CAN_5943
way/34252628-315,wof-CAN_4313
way/34317219-315,CAN_5943
way/34317219-315,wof-CAN_4313
way/37949242-240,CAN_1918
way/37953618-240,CAN_1918
way/38047171-240,CAN_1918
way/38047176-500,CAN_1918
way/38047176-240,CAN_1918
way/38223686-315,CAN_5943
way/38223686-315,wof-CAN_4313
way/44138477-315,CAN_5943
way/44138477-315,wof-CAN_4313
way/44912776-315,CAN_5943
way/44912776-315,wof-CAN_4313
way/51423683-735,CAN_5466
way/67214412-500,CAN_5168
way/72838752-735,CAN_6629
way/72838752-735,wof-CAN_4796
way/72838752-315,CAN_6629
way/72838752-315,wof-CAN_4796
way/74321375-345,CAN_6564
way/74321375-345,wof-CAN_4791
way/76734082-500,CAN_5673
way/77418180-500,CAN_5236
way/79660529-500,CAN_1020
way/80575562-315,CAN_6453
way/80575562-315,wof-CAN_4634
way/80794228-735,CAN_6400
way/80794228-315,CAN_6400
way/80891128-735,CAN_6453
way/80891128-735,wof-CAN_4634
way/82304430-500,CAN_1358
way/87373194-315,CAN_5673
way/87817179-315,CAN_5742
way/89024998-500,CAN_795
way/90870078-287,CAN_556
way/90870078-287,wof-CAN_597
way/92198390-500,CAN_557
way/92198390-500,wof-CAN_597
way/92544660-315,CAN_5874
way/92544660-315,wof-CAN_4269
way/92676944-735,CAN_5875
way/92676944-735,wof-CAN_4270
way/92692708-315,CAN_5875
way/92692708-315,wof-CAN_4270
way/94212756-315,CAN_6451
way/94212756-315,wof-CAN_4632
way/96456442-735,CAN_6145
