bus0,bus1,voltage,s_nom,r,x,b,length,type
way/936521586-380,way/234983117-380,380,1698.103,0.544892,4.468113,7.87e-05,18163.06,Al/St 240/40 4-bundle 380.0
way/111162936-380,way/936521586-380,380,1698.103,2.33241,19.12576,0.00033706,77746.99,Al/St 240/40 4-bundle 380.0
way/55695765-220,way/111162936-220,220,491.556,0.776777,3.89683,5.08e-05,12946.28,Al/St 240/40 2-bundle 220.0
way/27435934-220,way/30350721-220,220,491.556,1.592243,7.987754,0.00010421,26537.39,Al/St 240/40 2-bundle 220.0
way/27435934-220,way/109037817-220,220,491.556,0.539123,2.704599,3.53e-05,8985.38,Al/St 240/40 2-bundle 220.0
way/30350721-220,way/356292116-220,220,491.556,0.935253,4.691853,6.12e-05,15587.55,Al/St 240/40 2-bundle 220.0
way/35002638-220,way/140873735-220,220,491.556,3.314833,16.62941,0.00021696,55247.21,Al/St 240/40 2-bundle 220.0
way/212722603-220,way/234983117-220,220,491.556,1.668642,8.371021,0.00010921,27810.7,Al/St 240/40 2-bundle 220.0
way/212722603-380,way/234983117-380,380,3396.205,0.417042,3.419741,0.00024107,27802.77,Al/St 240/40 4-bundle 380.0
CH13-220,CH12-220,220,491.556,0.344189,1.726683,2.25e-05,5736.49,Al/St 240/40 2-bundle 220.0
way/192677427-220,CH13-220,220,983.112,0.196749,0.987024,5.15e-05,6558.3,Al/St 240/40 2-bundle 220.0
way/1284913429-220,way/165513396-220,220,491.556,0.069941,0.350873,4.58e-06,1165.69,Al/St 240/40 2-bundle 220.0
way/969811258-380,way/35002638-380,380,1698.103,3.180779,26.082389,0.00045966,106025.97,Al/St 240/40 4-bundle 380.0
CH23-220,CH24-220,220,491.556,0.077314,0.387857,5.06e-06,1288.56,Al/St 240/40 2-bundle 220.0
way/52738225-380,CH12-380,380,1698.103,0.724982,5.944856,0.00010477,24166.08,Al/St 240/40 4-bundle 380.0
way/52738225-220,CH13-220,220,491.556,1.106673,5.55181,7.24e-05,18444.55,Al/St 240/40 2-bundle 220.0
way/356292116-380,way/35002638-380,380,1698.103,1.263596,10.36149,0.00018261,42119.88,Al/St 240/40 4-bundle 380.0
way/356292116-220,way/35002638-220,220,491.556,2.527121,12.677726,0.0001654,42118.69,Al/St 240/40 2-bundle 220.0
way/210568055-220,way/192677427-220,220,491.556,3.918939,19.660011,0.00025649,65315.65,Al/St 240/40 2-bundle 220.0
way/165254212-220,way/147557680-220,220,491.556,0.454549,2.280322,2.98e-05,7575.82,Al/St 240/40 2-bundle 220.0
way/240575085-220,CH6-220,220,983.112,0.214145,1.074295,5.61e-05,7138.17,Al/St 240/40 2-bundle 220.0
way/177392130-220,CH51-220,220,491.556,0.35693,1.790598,2.34e-05,5948.83,Al/St 240/40 2-bundle 220.0
way/35002638-380,way/52738225-380,380,1698.103,0.945541,7.753435,0.00013664,31518.03,Al/St 240/40 4-bundle 380.0
way/35002638-220,way/281799252-220,220,983.112,0.510757,2.562297,0.00013372,17025.23,Al/St 240/40 2-bundle 220.0
way/356292116-380,way/35002638-380,380,1698.103,1.297439,10.639001,0.0001875,43247.97,Al/St 240/40 4-bundle 380.0
way/356292116-220,way/146225999-220,220,491.556,1.48647,7.457124,9.73e-05,24774.5,Al/St 240/40 2-bundle 220.0
way/190819048-220,CH7-220,220,491.556,0.517694,2.597097,3.39e-05,8628.23,Al/St 240/40 2-bundle 220.0
CH7-220,way/89405664-220,220,491.556,0.601519,3.017621,3.94e-05,10025.32,Al/St 240/40 2-bundle 220.0
CH37-380,way/207991759-380,380,3396.205,0.294812,2.417459,0.00017042,19654.14,Al/St 240/40 4-bundle 380.0
way/26166640-220,way/758315582-220,220,491.556,1.01266,5.080179,6.63e-05,16877.67,Al/St 240/40 2-bundle 220.0
CH41-380,way/207993342-380,380,1698.103,1.33993,10.98743,0.00019364,44664.35,Al/St 240/40 4-bundle 380.0
CH45-220,CH29-220,220,491.556,2.304381,11.560311,0.00015082,38406.35,Al/St 240/40 2-bundle 220.0
CH32-220,way/281803398-220,220,491.556,1.459456,7.321602,9.55e-05,24324.26,Al/St 240/40 2-bundle 220.0
way/281815404-220,CH50-220,220,491.556,0.885834,4.443934,5.8e-05,14763.9,Al/St 240/40 2-bundle 220.0
way/364949845-220,way/969819301-220,220,983.112,0.270445,1.356733,7.08e-05,9014.84,Al/St 240/40 2-bundle 220.0
way/238138373-380,way/260211728-380,380,3396.205,0.106726,0.87515,6.17e-05,7115.04,Al/St 240/40 4-bundle 380.0
CH2-220,way/50319857-220,220,491.556,0.274259,1.375865,1.8e-05,4570.98,Al/St 240/40 2-bundle 220.0
way/397960460-380,way/50319857-380,380,1698.103,0.713802,5.853179,0.00010315,23793.41,Al/St 240/40 4-bundle 380.0
way/109037817-220,CH2-220,220,491.556,1.645292,8.253881,0.00010768,27421.53,Al/St 240/40 2-bundle 220.0
CH12-380,way/207993342-380,380,1698.103,2.790783,22.884418,0.00040331,93026.09,Al/St 240/40 4-bundle 380.0
CH12-220,way/207993342-220,220,491.556,5.58143,28.000173,0.0003653,93023.83,Al/St 240/40 2-bundle 220.0
CH28-220,way/431234146-220,220,491.556,0.673452,3.378484,4.41e-05,11224.2,Al/St 240/40 2-bundle 220.0
way/147714395-380,way/192677427-380,380,1698.103,1.135829,9.313801,0.00016414,37860.98,Al/St 240/40 4-bundle 380.0
way/192677427-220,way/147714395-220,220,491.556,2.270569,11.390686,0.00014861,37842.81,Al/St 240/40 2-bundle 220.0
way/127004407-380,way/1105061707-380,380,1698.103,1.360604,11.156954,0.00019663,45353.47,Al/St 240/40 4-bundle 380.0
way/210568055-380,CH16-380,380,1698.103,1.065675,8.738535,0.000154,35522.5,Al/St 240/40 4-bundle 380.0
way/210568055-220,way/365556107-220,220,491.556,0.74695,3.7472,4.89e-05,12449.17,Al/St 240/40 2-bundle 220.0
way/210568055-380,way/71500123-380,380,1698.103,0.841759,6.902425,0.00012165,28058.64,Al/St 240/40 4-bundle 380.0
way/365556107-220,way/71500123-220,220,491.556,0.977719,4.904891,6.4e-05,16295.32,Al/St 240/40 2-bundle 220.0
way/211907009-220,way/455120191-220,220,983.112,1.212497,6.082692,0.00031743,40416.56,Al/St 240/40 2-bundle 220.0
way/192677427-220,way/240575085-220,220,983.112,0.647492,3.248252,0.00016951,21583.07,Al/St 240/40 2-bundle 220.0
CH13-220,way/52738225-220,220,491.556,1.097007,5.503318,7.18e-05,18283.45,Al/St 240/40 2-bundle 220.0
way/92798668-220,way/192677427-220,220,983.112,1.097391,5.505243,0.0002873,36579.69,Al/St 240/40 2-bundle 220.0
way/146225999-220,way/35002638-220,220,491.556,1.156861,5.803587,7.57e-05,19281.02,Al/St 240/40 2-bundle 220.0
way/55698557-220,way/194258388-220,220,983.112,1.311205,6.577876,0.00034327,43706.82,Al/St 240/40 2-bundle 220.0
CH53-225,CH49-225,225,1005.455,0.333064,1.670872,8.72e-05,11102.14,Al/St 240/40 2-bundle 220.0
way/109037817-380,way/397960460-380,380,1698.103,0.247942,2.033128,3.58e-05,8264.75,Al/St 240/40 4-bundle 380.0
way/140873735-220,way/130198336-220,220,491.556,0.842486,4.226473,5.51e-05,14041.44,Al/St 240/40 2-bundle 220.0
way/89977424-220,CH5-220,220,491.556,0.135896,0.681747,8.89e-06,2264.94,Al/St 240/40 2-bundle 220.0
CH5-220,way/89977424-220,220,491.556,0.135494,0.67973,8.87e-06,2258.24,Al/St 240/40 2-bundle 220.0
way/147714395-380,CH17-380,380,3396.205,1.426003,11.693226,0.00082431,95066.88,Al/St 240/40 4-bundle 380.0
way/232662311-220,way/111162936-220,220,983.112,0.762779,3.826607,0.0001997,25425.96,Al/St 240/40 2-bundle 220.0
way/92798668-220,way/455120191-220,220,491.556,1.357555,6.810399,8.89e-05,22625.91,Al/St 240/40 2-bundle 220.0
way/140873735-220,way/35002638-220,220,983.112,1.622582,8.139954,0.00042479,54086.07,Al/St 240/40 2-bundle 220.0
way/98648381-380,way/165513396-380,380,1698.103,0.571733,4.688211,8.26e-05,19057.77,Al/St 240/40 4-bundle 380.0
way/98648381-220,way/165513396-220,220,491.556,1.140908,5.723554,7.47e-05,19015.13,Al/St 240/40 2-bundle 220.0
way/260211728-380,way/936521586-380,380,3396.205,0.192965,1.582314,0.00011154,12864.34,Al/St 240/40 4-bundle 380.0
CH34-220,CH35-220,220,983.112,0.411726,2.065492,0.00010779,13724.2,Al/St 240/40 2-bundle 220.0
way/1327084723-220,CH42-220,220,491.556,0.691029,3.466662,4.52e-05,11517.15,Al/St 240/40 2-bundle 220.0
CH42-220,way/969811258-220,220,491.556,1.152187,5.780139,7.54e-05,19203.12,Al/St 240/40 2-bundle 220.0
way/89405664-220,way/165513396-220,220,491.556,0.654079,3.281294,4.28e-05,10901.31,Al/St 240/40 2-bundle 220.0
way/147557680-220,CH14-220,220,491.556,1.020572,5.119869,6.68e-05,17009.53,Al/St 240/40 2-bundle 220.0
way/100662075-220,way/210568055-220,220,491.556,1.421026,7.128812,9.3e-05,23683.76,Al/St 240/40 2-bundle 220.0
