GEM location ID,bus_id
L100000500207,way/98648381-220
L100000500106,way/356292116-220
L100000500051,way/35840165-380
L100001018384,way/1284913429-220
L100001023496,way/161853746-220
L100000407725,way/55698557-220
L100000908695,way/431234146-220
L100000909683,way/127004407-380
L100000909785,way/232662311-220
L100000909853,CH31-220
L100000909954,way/127004407-380
L100000911981,CH3-220
L100000912568,way/232662311-220
L100000912885,way/232662311-220
L100000913025,way/111162936-400
L100000913915,way/159527493-220
L100000920823,way/232662311-220
L100000920824,way/127004407-380
L100000920825,way/127004407-380
L100000920826,way/281809991-220
L100001010642,way/33271433-220
L100001010629,way/35487135-220
L100001010615,CH60-225
L100001010625,way/936521586-380
L100001010614,way/26843160-220
L100001010636,way/397960460-400
L100001010596,CH31-220
L100001010600,way/1105061707-380
L100001010645,way/232662311-220
L100001010598,way/190819048-220
L100001010646,way/127004407-400
L100001010638,way/211907009-220
L100001010624,way/122720993-220
L100001010641,way/281809991-220
L100001010637,way/1105061707-380
L100001010632,way/127004407-400
L100001010620,way/281809991-220
L100001010635,CH53-225
L100001010606,way/802058337-220
L100001010617,way/192677427-380
L100001010616,way/192677427-380
L100001010599,way/194258388-220
L100001010608,way/234983117-380
L100001010601,way/108257952-220
L100001010602,way/55695765-220
L100001010628,CH15-220
L100001010604,way/89977424-220
L100001010627,CH15-220
L100001010613,CH17-380
L100001010610,CH11-220
L100001010612,way/234983117-380
L100001010630,way/1105061707-380
L100001010603,way/89977424-220
L100001010609,way/97941869-220
L100001010619,way/232662311-220
L100001010626,way/31308888-220
L100001010639,way/281809991-220
L100001010640,way/232662311-220
L100001010634,way/83861269-220
L100001010631,CH51-225
L100001010597,way/802058337-220
L100001010643,CH52-220
L100001010607,way/97941869-220
L100001010633,way/27435934-220
L100001010622,way/122720993-220
L100001010623,way/26843160-220
L100001010644,way/165254212-220
L100001010621,way/1105061707-380
L100001010618,CH11-220
L100001010611,way/242269161-220
L100001010605,way/1105061707-380
L100001044851,way/127004407-380
L100001046118,way/236819191-220
L100000603474,way/140873735-220
L100001023264,way/234983117-380
L100000603475,way/1208713169-220
L100000603476,way/1092884227-220
L100000603477,way/281803398-220
L100000603478,way/234983117-220
L100000603479,way/109037817-380
L100000603480,CH46-220
L100001023265,way/207991759-380
L100000603481,CH45-220
L100000603482,way/1327084723-220
L100001023266,CH57-220
L100001023267,way/212722603-220
L100001023268,way/27107779-220
L100000603484,CH13-220
L100000603485,way/212498548-220
L100001023269,way/364949845-380
L100001023270,way/208780268-380
L100000603486,way/758943072-220
L100000603487,way/758943072-220
L100001023271,way/391576135-220
L100000603488,CH56-220
L100000603489,way/130198336-220
L100000603490,way/1086214433-220
L100000603491,way/1086214433-220
L100000603492,CH27-220
L100000603493,CH27-220
L100000603494,CH27-220
L100001023272,CH27-220
L100000603495,way/240959264-220
L100001023273,way/365556107-220
L100001023274,way/240959264-220
L100000603496,way/240959264-220
L100000603497,way/240959264-220
L100000603498,way/936521586-380
L100000604261,way/207991759-380
L100000603499,CH53-225
L100000603500,way/260211728-380
L100000603501,CH18-220
L100000603502,CH45-220
L100000603503,CH16-380
L100000603504,CH47-220
L100001023263,way/431234146-220
L100000603505,CH17-380
L100000603506,CH22-220
L100000604290,way/212722603-380
L100001046119,way/1105061707-220
L100000603507,way/238138373-380
L100001046121,way/212722603-220
L100000603508,way/234983117-220
L100000603509,CH18-220
L100000603510,way/281803398-220
L100000603511,CH32-220
L100001023275,CH42-220
L100001023276,way/969811258-380
L100000603512,relation/7933294-380
L100001023277,CH13-220
L100000603513,way/802058337-220
L100000603514,way/431234146-220
L100000603515,way/1092884227-220
L100000603516,way/36348118-220
L100000603517,way/207993342-220
L100000603518,way/211907009-220
L100000603519,way/100662075-220
L100001023278,CH13-220
L100000603520,way/207993342-220
L100000603521,way/281804158-220
L100000603522,way/236819191-220
L100000603523,way/210568055-380
L100000603524,CH18-220
L100001023279,CH29-380
L100000603525,CH25-220
L100001023280,way/159527493-220
L100000603526,CH59-220
L100000603527,way/177392130-400
L100000603528,CH60-225
L100000603529,way/55698557-225
L100000603530,way/55698557-225
L100001023281,way/212722603-220
L100001046139,way/130198336-220
L100001046142,way/1284913429-220
L100001023282,way/228003081-220
