bus_id,grid_cell
CH1-220,CHE_14
CH11-220,CHE_10
CH12-220,CHE_17
CH12-380,CHE_17
CH13-220,CHE_17
CH14-220,CHE_9
CH14-380,CHE_9
CH15-220,CHE_13
CH16-380,CHE_17
CH17-380,CHE_21
CH18-220,CHE_17
CH18-380,CHE_17
CH19-220,CHE_12
CH2-220,CHE_14
CH20-220,CHE_12
CH21-220,CHE_20
CH22-220,CHE_20
CH22-380,CHE_20
CH23-220,CHE_16
CH24-220,CHE_16
CH25-220,CHE_12
CH26-220,CHE_16
CH27-220,CHE_12
CH28-220,CHE_16
CH29-220,CHE_20
CH29-380,CHE_20
CH3-220,CHE_18
CH30-380,CHE_24
CH31-220,CHE_1
CH32-220,CHE_16
CH33-380,CHE_24
CH34-220,CHE_12
CH34-380,CHE_12
CH35-220,CHE_12
CH36-220,CHE_12
CH37-380,CHE_24
CH38-220,CHE_12
CH39-220,CHE_12
CH4-220,CHE_22
CH40-220,CHE_12
CH41-380,CHE_20
CH42-220,CHE_16
CH43-220,CHE_8
CH44-220,CHE_7
CH45-220,CHE_19
CH46-220,CHE_11
CH47-220,CHE_11
CH48-225,CHE_3
CH49-225,CHE_3
CH5-220,CHE_14
CH50-220,CHE_15
CH51-220,CHE_0
CH51-225,CHE_0
CH51-400,CHE_0
CH52-220,CHE_0
CH53-225,CHE_3
CH56-220,CHE_15
CH57-220,CHE_0
CH57-225,CHE_0
CH58-220,CHE_15
CH59-220,CHE_15
CH6-220,CHE_18
CH60-225,CHE_3
CH7-220,CHE_14
CH9-220,CHE_22
relation/5378910-220,CHE_5
relation/7933294-380,CHE_24
relation/9310861-220,CHE_18
way/100662075-220,CHE_16
way/108257952-220,CHE_14
way/1086214433-220,CHE_12
way/109037817-220,CHE_10
way/109037817-380,CHE_10
way/1092884227-220,CHE_12
way/1105061707-220,CHE_9
way/1105061707-380,CHE_9
way/111162936-220,CHE_4
way/111162936-380,CHE_4
way/111162936-400,CHE_4
way/11282314-220,CHE_18
way/1208713169-220,CHE_20
way/122720993-220,CHE_4
way/127004407-380,CHE_10
way/127004407-400,CHE_10
way/1284913429-220,CHE_14
way/130198336-220,CHE_16
way/132373704-220,CHE_1
way/1327084723-220,CHE_15
way/140873735-220,CHE_16
way/146225999-220,CHE_13
way/147557680-220,CHE_9
way/147714395-220,CHE_18
way/147714395-380,CHE_18
way/148015471-220,CHE_18
way/159527493-220,CHE_13
way/161853746-220,CHE_5
way/165254212-220,CHE_9
way/165513396-220,CHE_14
way/165513396-380,CHE_14
way/177392130-220,CHE_0
way/177392130-400,CHE_0
way/190819048-220,CHE_14
way/192677427-220,CHE_17
way/192677427-380,CHE_17
way/194258388-220,CHE_4
way/207991759-380,CHE_23
way/207993342-220,CHE_20
way/207993342-380,CHE_20
way/208780268-380,CHE_20
way/209324991-220,CHE_8
way/210568055-220,CHE_16
way/210568055-380,CHE_16
way/211907009-220,CHE_21
way/212498548-220,CHE_20
way/212722603-220,CHE_7
way/212722603-380,CHE_7
way/228003081-220,CHE_11
way/22899676-220,CHE_18
way/232662311-220,CHE_1
way/234983117-220,CHE_3
way/234983117-380,CHE_3
way/236819191-220,CHE_7
way/238138373-380,CHE_3
way/239937062-220,CHE_0
way/240575085-220,CHE_18
way/240959264-220,CHE_12
way/242269161-220,CHE_13
way/260211728-225,CHE_3
way/260211728-380,CHE_3
way/26166640-220,CHE_8
way/26843160-220,CHE_18
way/27107779-220,CHE_14
way/27435934-220,CHE_10
way/281799252-220,CHE_13
way/281800404-220,CHE_15
way/281803398-220,CHE_15
way/281804158-220,CHE_19
way/281804158-380,CHE_19
way/281809991-220,CHE_18
way/281815404-220,CHE_15
way/281822905-220,CHE_16
way/30350721-220,CHE_10
way/31308888-220,CHE_14
way/33271433-220,CHE_14
way/35002638-220,CHE_13
way/35002638-380,CHE_13
way/35487135-220,CHE_15
way/356292116-220,CHE_14
way/356292116-380,CHE_14
way/35840165-380,CHE_14
way/36348118-220,CHE_20
way/364949845-220,CHE_12
way/364949845-380,CHE_12
way/365556107-220,CHE_20
way/391576135-220,CHE_11
way/391577741-220,CHE_11
way/397960460-380,CHE_10
way/397960460-400,CHE_10
way/402053379-220,CHE_9
way/402055336-220,CHE_8
way/431234146-220,CHE_16
way/44496892-220,CHE_1
way/455120191-220,CHE_22
way/50319857-220,CHE_14
way/50319857-380,CHE_14
way/50319857-400,CHE_14
way/50561341-220,CHE_18
way/52738225-220,CHE_17
way/52738225-380,CHE_17
way/55695765-220,CHE_1
way/55698557-220,CHE_3
way/55698557-225,CHE_3
way/71500123-220,CHE_20
way/71500123-380,CHE_20
way/758315582-220,CHE_8
way/758943072-220,CHE_7
way/802058337-220,CHE_3
way/802058337-225,CHE_3
way/83861269-220,CHE_22
way/87281514-220,CHE_18
way/88901626-380,CHE_10
way/89405664-220,CHE_14
way/89977424-220,CHE_14
way/92798668-220,CHE_22
way/92873516-220,CHE_22
way/936521586-380,CHE_3
way/969811258-220,CHE_16
way/969811258-380,CHE_16
way/969819301-220,CHE_11
way/969819301-380,CHE_11
way/97941869-220,CHE_13
way/98648381-220,CHE_14
way/98648381-380,CHE_14
relation/7933294-380,CHE_25
way/232662311-220,CHE_2
way/127004407-400,CHE_6
