line_id,bus0,bus1,type,voltage,s_nom,length,geometry
CH_line_21,way/147714395-220,way/192677427-220,way/147714395-220;way/192677427-220,380.0,7820.21,27795.59163122474,
CH_line_26,way/50319857-380,way/35002638-220,way/35002638-220;way/50319857-380,380.0,5362.43,37990.61537898863,
CH_line_25,way/50319857-380,way/147714395-220,way/147714395-220;way/50319857-380,380.0,4379.317,32556.96984760637,
CH_line_12,relation/7933294-380,way/207991759-380,relation/7933294-380;way/207991759-380,380.0,3396.205,48680.53,
CH_line_22,way/147714395-220,way/207993342-380,way/147714395-220;way/207993342-380,380.0,3396.205,95066.88,
CH_line_30,way/207991759-380,way/207993342-380,way/207991759-380;way/207993342-380,380.0,3396.205,24855.09,
CH_line_37,way/969811258-380,way/35002638-220,way/35002638-220;way/969811258-380,380.0,3172.771,82064.78808067458,
CH_line_3,CH14-220,way/50319857-380,CH14-220;way/50319857-380,220.0,2949.336,21021.603333333333,
CH_line_23,way/35002638-220,way/147714395-220,way/147714395-220;way/35002638-220,380.0,2681.215,25313.95771844108,
CH_line_27,way/192677427-220,way/207993342-380,way/192677427-220;way/207993342-380,380.0,2189.659,93025.58265316657,
CH_line_29,way/969811258-380,way/192677427-220,way/192677427-220;way/969811258-380,380.0,2189.659,42210.75677486768,
CH_line_33,way/969811258-380,way/207993342-380,way/207993342-380;way/969811258-380,380.0,2189.659,24554.47399272672,
CH_line_28,way/455120191-220,way/192677427-220,way/192677427-220;way/455120191-220,220.0,1966.224,31908.45,
CH_line_4,way/240959264-220,CH14-220,CH14-220;way/240959264-220,220.0,1966.224,35916.035,
CH_line_18,CH57-225,way/111162936-400,CH57-225;way/111162936-400,400.0,1787.476,59249.24,
CH_line_31,way/281804158-380,way/207993342-380,way/207993342-380;way/281804158-380,380.0,1698.103,44664.35,
CH_line_17,way/111162936-400,way/802058337-220,way/111162936-400;way/802058337-220,380.0,1698.103,77746.99,
CH_line_40,way/281815404-220,way/969811258-380,way/281815404-220;way/969811258-380,380.0,1698.103,59487.3,
CH_line_20,way/127004407-380,way/50319857-380,way/127004407-380;way/50319857-380,380.0,1698.103,76126.11,
CH_line_8,way/391576135-220,way/969811258-380,way/391576135-220;way/969811258-380,380.0,1698.103,19132.89,
CH_line_2,way/127004407-380,CH14-220,CH14-220;way/127004407-380,380.0,1698.103,54100.33,
CH_line_14,way/127004407-380,way/1105061707-220,way/1105061707-220;way/127004407-380,380.0,1698.103,45353.47,
CH_line_1,way/1105061707-220,CH14-220,CH14-220;way/1105061707-220,220.0,1474.668,32278.01666666667,
CH_line_39,way/802058337-220,way/391576135-220,way/391576135-220;way/802058337-220,220.0,1474.668,27614.77666666667,
CH_line_34,way/35002638-220,way/240959264-220,way/240959264-220;way/35002638-220,220.0,983.112,34268.22,
CH_line_15,way/1105061707-220,way/802058337-220,way/1105061707-220;way/802058337-220,220.0,983.112,56338.35,
CH_line_32,way/207993342-380,way/455120191-220,way/207993342-380;way/455120191-220,220.0,983.112,40416.56,
CH_line_6,CH14-220,way/802058337-220,CH14-220;way/802058337-220,220.0,983.112,106466.6,
CH_line_16,way/111162936-220,CH57-225,CH57-225;way/111162936-220,220.0,983.112,36352.31,
CH_line_7,way/969811258-380,way/240959264-220,way/240959264-220;way/969811258-380,220.0,983.112,17495.31,
CH_line_35,way/281815404-220,way/281804158-380,way/281804158-380;way/281815404-220,220.0,491.556,22015.66,
CH_line_10,way/111162936-220,way/802058337-220,way/111162936-220;way/802058337-220,220.0,491.556,50665.48,
