GEM location ID,bus_id
L100000407725,way/802058337-220
L100000500051,way/50319857-380
L100000500106,way/50319857-380
L100000500207,way/136015463-225
L100000603474,way/969811258-380
L100000603475,way/207993342-380
L100000603476,way/969811258-380
L100000603477,way/969811258-380
L100000603478,way/802058337-220
L100000603479,way/50319857-380
L100000603480,way/391576135-220
L100000603481,way/281804158-380
L100000603482,way/969811258-380
L100000603484,way/207993342-380
L100000603485,way/207993342-380
L100000603486,way/802058337-220
L100000603487,way/802058337-220
L100000603488,way/281815404-220
L100000603489,way/969811258-380
L100000603490,way/240959264-220
L100000603492,way/969811258-380
L100000603493,way/969811258-380
L100000603494,way/969811258-380
L100000603495,way/240959264-220
L100000603496,way/240959264-220
L100000603497,way/240959264-220
L100000603498,way/802058337-220
L100000603499,way/802058337-220
L100000603500,way/802058337-220
L100000603501,way/192677427-220
L100000603502,way/281804158-380
L100000603503,way/192677427-220
L100000603504,CH57-225
L100000603505,way/207993342-380
L100000603506,way/207993342-380
L100000603507,way/802058337-220
L100000603508,way/802058337-220
L100000603509,way/192677427-220
L100000603510,way/969811258-380
L100000603511,way/74677138-380
L100000603512,relation/7933294-380
L100000603513,IT60-400
L100000603514,way/969811258-380
L100000603515,way/969811258-380
L100000603516,way/207993342-380
L100000603517,way/207993342-380
L100000603518,way/207993342-380
L100000603519,way/969811258-380
L100000603520,way/207993342-380
L100000603521,way/281804158-380
L100000603522,way/391576135-220
L100000603523,way/969811258-380
L100000603524,way/192677427-220
L100000603525,way/240959264-220
L100000603526,way/281815404-220
L100000603527,CH57-225
L100000603528,way/802058337-220
L100000603529,way/802058337-220
L100000603530,way/802058337-220
L100000604229,way/969811258-380
L100000603491,way/240959264-220
L100000604261,way/74677138-380
L100000604283,IT60-400
L100000604290,way/802058337-220
L100000908695,way/969811258-380
L100000909683,way/81638061-220
L100000909785,way/111162936-220
L100000909853,way/969811258-380
L100000909954,way/81638061-220
L100000911981,way/455120191-220
L100000912568,way/111162936-220
L100000912885,way/111162936-220
L100000913025,way/111162936-400
L100000913915,way/240959264-220
L100000920823,way/111162936-220
L100000920824,way/81638061-220
L100000920825,way/81638061-220
L100000920826,way/192677427-220
L100001000757,way/207993342-380
L100001000759,way/1105061707-220
L100001000762,relation/7933294-380
L100001010596,way/969811258-380
L100001010597,IT60-400
L100001010598,way/50319857-380
L100001010599,way/1105061707-220
L100001010600,way/1105061707-220
L100001010601,way/35002638-220
L100001010602,way/111162936-220
L100001010603,way/50319857-380
L100001010604,way/50319857-380
L100001010605,way/1105061707-220
L100001010606,IT60-400
L100001010607,way/35002638-220
L100001010608,way/802058337-220
L100001010609,way/35002638-220
L100001010610,way/240959264-220
L100001010611,way/50319857-380
L100001010612,way/802058337-220
L100001010613,way/207993342-380
L100001010614,way/192677427-220
L100001010615,way/802058337-220
L100001010616,way/192677427-220
L100001010617,way/192677427-220
L100001010618,way/240959264-220
L100001010619,way/111162936-220
L100001010620,way/192677427-220
L100001010621,way/1105061707-220
L100001010622,way/1105061707-220
L100001010623,way/192677427-220
L100001010624,way/1105061707-220
L100001010625,way/802058337-220
L100001010626,way/147714395-220
L100001010627,way/969811258-380
L100001010628,way/969811258-380
L100001010629,way/281815404-220
L100001010630,way/1105061707-220
L100001010631,CH57-225
L100001010632,way/39389229-400
L100001010633,way/50319857-380
L100001010634,way/455120191-220
L100001010635,way/802058337-220
L100001010636,way/81638061-220
L100001010637,way/1105061707-220
L100001010638,way/207993342-380
L100001010639,way/192677427-220
L100001010640,way/111162936-220
L100001010641,way/192677427-220
L100001010642,way/50319857-380
L100001010643,CH57-225
L100001010644,CH14-220
L100001010645,way/111162936-220
L100001010646,way/39389229-400
L100001018384,way/50319857-380
L100001023263,way/969811258-380
L100001023264,way/802058337-220
L100001023265,way/74677138-380
L100001023266,CH57-225
L100001023267,way/802058337-220
L100001023268,way/147714395-220
L100001023269,way/391576135-220
L100001023270,way/207993342-380
L100001023271,way/74677138-380
L100001023272,way/969811258-380
L100001023273,way/207993342-380
L100001023274,way/240959264-220
L100001023275,way/281815404-220
L100001023276,way/74677138-380
L100001023277,way/207993342-380
L100001023278,way/207993342-380
L100001023279,way/207991759-380
L100001023280,way/240959264-220
L100001023281,way/802058337-220
L100001023282,way/391576135-220
L100001023496,way/1105061707-220
L100001044851,way/81638061-220
L100001046118,way/391576135-220
L100001046119,way/1105061707-220
L100001046121,way/802058337-220
L100001046139,way/969811258-380
L100001046142,way/50319857-380
L100001046307,way/111162936-400
L100001046309,way/147714395-220
L100001046311,way/1105061707-220
L100001046312,CH57-225
L100001046313,way/1105061707-220
L100001046315,way/50319857-380
L100001046340,way/147714395-220
L100001046346,way/207993342-380
L100001046349,way/35002638-220
L100001046351,CH57-225
L100001046355,CH14-220
L100001046358,way/147714395-220
L100001046359,way/50319857-380
L100001046360,way/50319857-380
L100001046361,way/147714395-220
