bus_id,grid_cell
way/147714395-220,CHE_18
way/147714395-220,CHE_18
way/1105061707-220,CHE_8
way/192677427-220,CHE_18
way/147714395-220,CHE_14
way/50319857-380,CHE_10
way/50319857-380,CHE_10
way/147714395-220,CHE_14
way/50319857-380,CHE_14
way/35002638-220,CHE_13
way/35002638-220,CHE_13
way/281815404-220,CHE_15
way/50319857-380,CHE_14
way/207993342-380,CHE_20
CH14-220,CHE_8
way/50319857-380,CHE_14
way/111162936-220,CHE_1
way/136015463-225,CHE_14
way/136015463-225,CHE_14
way/147714395-220,CHE_18
way/147714395-220,CHE_17
way/111162936-220,CHE_1
way/802058337-220,CHE_3
way/207993342-380,CHE_20
way/207993342-380,CHE_20
way/455120191-220,CHE_22
way/147714395-220,CHE_18
way/50319857-380,CHE_14
way/50319857-380,CHE_14
way/455120191-220,CHE_22
way/455120191-220,CHE_22
way/35002638-220,CHE_13
way/136015463-225,CHE_14
way/136015463-225,CHE_14
way/35002638-220,CHE_14
way/50319857-380,CHE_10
way/111162936-400,CHE_4
way/111162936-220,CHE_4
way/1105061707-220,CHE_4
way/81638061-220,CHE_10
way/969811258-380,CHE_16
CH57-225,CHE_1
way/969811258-380,CHE_16
way/50319857-380,CHE_13
CH14-220,CHE_9
way/147714395-220,CHE_18
way/147714395-220,CHE_18
way/147714395-220,CHE_18
way/240959264-220,CHE_13
way/1105061707-220,CHE_5
CH14-220,CHE_9
way/50319857-380,CHE_14
CH57-225,CHE_0
way/50319857-380,CHE_14
way/192677427-220,CHE_17
way/1105061707-220,CHE_4
way/74677138-380,CHE_23
way/207993342-380,CHE_20
way/207993342-380,CHE_20
way/207993342-380,CHE_20
way/240959264-220,CHE_8
way/969811258-380,CHE_16
way/969811258-380,CHE_16
way/207993342-380,CHE_21
way/207993342-380,CHE_20
way/802058337-220,CHE_7
way/802058337-220,CHE_7
way/802058337-220,CHE_7
way/391576135-220,CHE_11
way/111162936-220,CHE_1
way/802058337-220,CHE_3
way/802058337-220,CHE_3
way/391576135-220,CHE_7
way/802058337-220,CHE_3
CH57-225,CHE_0
way/147714395-220,CHE_18
way/240959264-220,CHE_12
way/50319857-380,CHE_13
way/35002638-220,CHE_13
way/281815404-220,CHE_15
way/969811258-380,CHE_15
way/74677138-380,CHE_19
way/281804158-380,CHE_19
way/192677427-220,CHE_18
way/281815404-220,CHE_15
way/969811258-380,CHE_16
way/50319857-380,CHE_14
way/207993342-380,CHE_20
way/192677427-220,CHE_17
way/192677427-220,CHE_17
way/74677138-380,CHE_11
way/391576135-220,CHE_11
way/136015463-225,CHE_10
CH14-220,CHE_9
way/802058337-220,CHE_8
way/969811258-380,CHE_16
way/455120191-220,CHE_22
way/802058337-220,CHE_7
way/207993342-380,CHE_20
way/50319857-380,CHE_14
IT60-400,CHE_3
way/802058337-220,CHE_3
way/802058337-220,CHE_3
way/802058337-220,CHE_3
way/391576135-220,CHE_11
way/240959264-220,CHE_12
way/969811258-380,CHE_12
way/1105061707-220,CHE_9
way/50319857-380,CHE_14
way/969811258-380,CHE_15
way/192677427-220,CHE_17
way/1105061707-220,CHE_5
relation/7933294-380,CHE_24
way/147714395-220,CHE_18
way/192677427-220,CHE_18
way/455120191-220,CHE_18
way/455120191-220,CHE_22
way/35002638-220,CHE_10
way/192677427-220,CHE_17
way/50319857-380,CHE_14
way/50319857-400,CHE_14
way/455120191-220,CHE_14
CH57-225,CHE_0
way/240959264-220,CHE_12
way/50319857-400,CHE_14
way/147714395-220,CHE_14
way/207993342-380,CHE_20
way/969811258-380,CHE_12
way/240959264-220,CHE_12
way/74677138-380,CHE_16
way/969811258-380,CHE_16
way/111162936-220,CHE_16
way/147714395-220,CHE_17
CH57-225,CHE_0
way/192677427-220,CHE_17
way/192677427-220,CHE_17
CH57-225,CHE_0
CH57-225,CHE_0
CH14-220,CHE_14
way/969811258-380,CHE_13
CH57-225,CHE_8
way/207991759-380,CHE_24
way/969811258-380,CHE_9
way/802058337-220,CHE_7
way/391576135-220,CHE_11
way/207993342-380,CHE_21
way/281804158-380,CHE_20
way/281804158-380,CHE_19
way/281815404-220,CHE_15
way/281815404-220,CHE_15
way/74677138-380,CHE_16
way/969811258-380,CHE_12
way/391576135-220,CHE_12
way/207991759-380,CHE_20
way/802058337-220,CHE_12
way/391576135-220,CHE_12
way/391576135-220,CHE_12
way/240959264-220,CHE_12
way/802058337-220,CHE_3
way/50319857-380,CHE_14
way/240959264-220,CHE_10
way/969811258-380,CHE_16
way/969811258-380,CHE_16
CH57-225,CHE_11
way/281804158-380,CHE_19
way/281804158-380,CHE_15
way/207993342-380,CHE_20
way/455120191-220,CHE_22
way/969811258-380,CHE_1
way/802058337-220,CHE_3
way/802058337-220,CHE_3
way/802058337-220,CHE_3
way/207993342-380,CHE_17
way/1105061707-220,CHE_9
way/50319857-380,CHE_14
way/50319857-380,CHE_14
way/802058337-220,CHE_12
CH14-220,CHE_9
way/969811258-380,CHE_16
way/969811258-380,CHE_12
way/207993342-380,CHE_17
way/281804158-380,CHE_24
way/207991759-380,CHE_24
way/281815404-220,CHE_16
way/127004407-400,CHE_10
way/50319857-400,CHE_14
way/969811258-380,CHE_16
way/802058337-220,
way/281815404-220,CHE_15
way/281815404-220,CHE_15
way/281815404-220,CHE_15
way/127004407-380,CHE_6
way/802058337-220,CHE_3
CH57-225,CHE_0
way/802058337-220,CHE_3
way/50319857-380,CHE_14
CH14-220,CHE_10
way/207993342-380,CHE_20
CH57-225,CHE_12
way/192677427-220,CHE_22
CH57-225,CHE_0
CH57-225,
way/281815404-220,CHE_15
way/207991759-380,CHE_20
way/802058337-220,CHE_3
way/391576135-220,CHE_11
way/50319857-380,CHE_10
CH57-225,CHE_0
way/50319857-380,CHE_14
way/207991759-380,CHE_23
way/81638061-220,CHE_10
way/147714395-220,CHE_14
way/50319857-400,CHE_14
way/147714395-220,
relation/7933294-380,
way/81638061-220,CHE_14
way/127004407-400,CHE_10
way/802058337-220,
way/207991759-380,
way/281815404-220,CHE_15
way/39389229-400,CHE_10
way/111162936-220,CHE_0
way/111162936-400,CHE_4
relation/7933294-380,CHE_25
way/111162936-220,CHE_2
