line_id,bus0,bus1,type,voltage,s_nom,length,geometry
CN_line_10,CN7501-500,way/1347514254-500,CN7501-500;way/1347514254-500,1000.0,34519.772594847724,170061.81036628198,
CN_line_2,way/178865921-500,CN7501-500,CN7501-500;way/178865921-500,500.0,35749.528668221625,96022.605625,
CN_line_18,CN7501-500,way/462823764-500,CN7501-500;way/462823764-500,500.0,6703.036625291556,93026.28,
CN_line_3,CN7501-500,way/858207240-500,CN7501-500;way/858207240-500,750.0,21615.994078459586,221535.75749999995,
CN_line_4,CN7501-500,way/899674815-750,CN7501-500;way/899674815-750,750.0,32423.991117689377,86061.01500000001,
CN_line_19,way/966809494-500,CN7501-500,CN7501-500;way/966809494-500,1000.0,34519.772594847724,127559.65174109384,
CN_line_5,way/1347514254-500,way/127871762-500,way/127871762-500;way/1347514254-500,1000.0,64068.55937197278,162101.95549337662,
CN_line_6,way/127871762-500,way/148727570-500,way/127871762-500;way/148727570-500,1000.0,108028.00886807089,80616.09668109668,
CN_line_7,way/858207240-500,way/127871762-500,way/127871762-500;way/858207240-500,1000.0,55633.471939112336,189704.717998132,
CN_line_9,way/1347514254-500,way/148727570-500,way/1347514254-500;way/148727570-500,1000.0,25582.39042779232,56410.3484901828,
CN_line_11,way/1347514254-500,way/966809494-500,way/1347514254-500;way/966809494-500,1000.0,113726.4560249725,54380.949052695694,
CN_line_12,way/251393861-500,way/148727570-500,way/148727570-500;way/251393861-500,500.0,24577.80095940237,101119.98272727273,
CN_line_13,way/858207240-500,way/148727570-500,way/148727570-500;way/858207240-500,500.0,37983.874209985486,193252.9005882353,
CN_line_16,way/178865921-500,way/462823764-500,way/178865921-500;way/462823764-500,500.0,33515.18312645777,126916.10933333336,
CN_line_17,way/899674815-750,way/178865921-500,way/178865921-500;way/899674815-750,500.0,24577.80095940237,77356.48363636363,
CN_line_20,way/966809494-500,way/462823764-500,way/462823764-500;way/966809494-500,500.0,40218.21975174933,60737.77555555556,
CN_line_21,way/899674815-750,way/568247904-750,way/568247904-750;way/899674815-750,750.0,36892.68220121708,277138.3953239436,
CN_line_22,way/899674815-750,way/858207240-500,way/858207240-500;way/899674815-750,750.0,36892.68220121708,94464.07661971833,
