GEM location ID,bus_id
L100000500387,way/148727570-500
L100000500348,way/462823764-500
L100000500352,way/966809494-500
L100000500314,way/462823764-500
L100000500257,way/148727570-500
L100000500119,way/462823764-500
L100000500313,way/462823764-500
L100000500366,way/966809494-500
L100000500356,way/966809494-500
L100000500390,way/899674815-750
L100000500329,way/148727570-500
L100000500320,way/148727570-500
L100000500304,way/251393861-500
L100000500397,way/966809494-500
L100000500341,way/462823764-500
L100000500317,way/462823764-500
L100000500319,way/462823764-500
L100000500355,way/462823764-500
L100000500398,way/462823764-500
L100000500358,way/966809494-500
L100000500303,way/966809494-500
L100000500354,way/966809494-500
L100000500309,way/251393861-500
L100000500357,way/462823764-500
L100000500298,way/462823764-500
L100000500302,way/1347514254-500
L100000500351,way/966809494-500
L100000500363,way/148727570-500
L100000500353,way/148727570-500
L100000500359,way/462823764-500
L100000500350,way/966809494-500
L100000500408,way/148727570-500
L100000500410,way/251393861-500
L100000201764,way/1347514254-500
L100000201683,way/1347514254-500
L100000201501,way/1347514254-500
L100000201690,way/1347514254-500
L100000201767,way/1347514254-500
L100000201671,way/1347514254-500
L100000200171,way/1347514254-500
L100000200166,way/1347514254-500
L100000201572,way/1347514254-500
L100000200125,way/1347514254-500
L100000201728,way/1347514254-500
L100000201708,way/1347514254-500
L100000201656,way/1347514254-500
L100000200159,way/1347514254-500
L100000201745,way/1347514254-500
L100000200169,way/1347514254-500
L100000201754,way/1347514254-500
L100000201757,way/1347514254-500
L100000200113,way/1347514254-500
L100000201720,way/966809494-500
L100000201530,way/1347514254-500
L100000200126,way/1347514254-500
L100000201517,way/1347514254-500
L100000201472,way/1347514254-500
L100000201735,way/1347514254-500
L100000200109,way/1347514254-500
L100000201485,way/966809494-500
L100000201734,way/1347514254-500
L100000201660,way/1347514254-500
L100000200115,way/966809494-500
L100000200127,way/1347514254-500
L100000201696,way/966809494-500
L100000201899,way/966809494-500
L100000200160,way/1347514254-500
L100000201628,way/1347514254-500
L100000201595,way/1347514254-500
L100000200149,way/1347514254-500
L100000201428,way/1347514254-500
L100000201604,way/1347514254-500
L100000201907,way/1347514254-500
L100000201691,way/1347514254-500
L100000200137,way/1347514254-500
L100000200128,way/1347514254-500
L100000200153,way/1347514254-500
L100000201657,way/1347514254-500
L100000200158,way/1347514254-500
L100000104890,way/148727570-500
L100000100431,way/462823764-500
L100000201432,way/148727570-500
L100000201670,way/148727570-500
L100000201789,way/148727570-500
L100000201900,way/148727570-500
L100000201747,way/148727570-500
L100000201847,way/148727570-500
L100000104653,way/148727570-500
L100000201692,way/178865921-500
L100000200145,way/178865921-500
L100000201525,way/178865921-500
L100000201625,way/966809494-500
L100000201701,way/966809494-500
L100000201557,way/966809494-500
L100000201861,way/966809494-500
