bus_id,grid_cell
way/148727570-500,CHN_3717
way/148727570-500,CHN_3550
way/966809494-500,CHN_4194
way/966809494-500,wof-CHN_571
way/966809494-500,CHN_4193
way/966809494-500,wof-CHN_571
way/966809494-500,CHN_4143
way/966809494-500,wof-CHN_539
way/899674815-750,CHN_2067
way/899674815-750,CHN_2203
way/966809494-500,CHN_4142
way/966809494-500,wof-CHN_571
way/966809494-500,CHN_4142
way/966809494-500,wof-CHN_571
way/462823764-500,CHN_3350
way/462823764-500,wof-CHN_311
way/462823764-500,CHN_3350
way/462823764-500,wof-CHN_311
way/966809494-500,CHN_4035
way/127871762-500,CHN_3385
way/966809494-500,CHN_4193
way/966809494-500,wof-CHN_571
way/178865921-500,CHN_2132
way/966809494-500,CHN_4193
way/966809494-500,wof-CHN_571
way/966809494-500,CHN_4239
way/966809494-500,wof-CHN_604
way/966809494-500,CHN_4239
way/966809494-500,wof-CHN_604
way/966809494-500,CHN_4193
way/966809494-500,wof-CHN_571
way/148727570-500,CHN_3716
way/148727570-500,CHN_3717
way/1347514254-500,CHN_3706
way/148727570-500,CHN_3716
way/1347514254-500,CHN_3870
way/1347514254-500,wof-CHN_434
way/858207240-500,CHN_3285
way/251393861-500,CHN_4245
way/251393861-500,wof-CHN_623
way/251393861-500,CHN_4324
way/251393861-500,CHN_4324
CN7501-500,CHN_3368
way/966809494-500,CHN_4236
way/966809494-500,wof-CHN_602
way/148727570-500,CHN_3660
way/966809494-500,CHN_4141
way/966809494-500,wof-CHN_538
way/178865921-500,CHN_2442
way/966809494-500,CHN_4036
way/1347514254-500,CHN_3926
way/1347514254-500,wof-CHN_445
way/462823764-500,CHN_3246
way/462823764-500,wof-CHN_252
way/462823764-500,CHN_3246
way/462823764-500,wof-CHN_219
way/858207240-500,CHN_3022
way/251393861-500,CHN_4544
way/462823764-500,CHN_3297
way/462823764-500,wof-CHN_282
way/462823764-500,CHN_3350
way/462823764-500,wof-CHN_282
way/462823764-500,CHN_3298
way/462823764-500,wof-CHN_283
way/462823764-500,CHN_3298
way/462823764-500,wof-CHN_282
way/462823764-500,CHN_3349
way/462823764-500,wof-CHN_282
way/462823764-500,CHN_3298
way/462823764-500,wof-CHN_283
way/127871762-500,CHN_3539
way/966809494-500,CHN_4090
way/966809494-500,CHN_4037
way/966809494-500,CHN_4037
way/966809494-500,CHN_4037
way/966809494-500,CHN_4090
way/858207240-500,CHN_2856
CN7501-500,CHN_3367
CN7501-500,CHN_3205
way/178865921-500,CHN_2280
way/966809494-500,CHN_4089
way/899674815-750,CHN_1563
way/178865921-500,CHN_2369
way/966809494-500,CHN_4192
way/966809494-500,wof-CHN_570
way/966809494-500,CHN_3975
CN7501-500,CHN_3159
way/127871762-500,CHN_3225
way/148727570-500,CHN_4047
way/148727570-500,wof-CHN_520
way/178865921-500,CHN_2442
way/178865921-500,CHN_2227
way/966809494-500,CHN_4032
way/1347514254-500,CHN_3871
way/1347514254-500,wof-CHN_434
way/858207240-500,CHN_2917
way/251393861-500,CHN_4401
way/251393861-500,CHN_4202
way/251393861-500,wof-CHN_622
way/251393861-500,CHN_4324
way/462823764-500,CHN_3350
way/462823764-500,wof-CHN_283
way/462823764-500,CHN_3350
way/462823764-500,wof-CHN_283
way/251393861-500,CHN_4324
way/462823764-500,CHN_3299
way/462823764-500,wof-CHN_284
way/462823764-500,CHN_3350
way/462823764-500,wof-CHN_283
way/462823764-500,CHN_3351
way/462823764-500,wof-CHN_284
way/462823764-500,CHN_3299
way/462823764-500,wof-CHN_284
way/462823764-500,CHN_3352
way/462823764-500,wof-CHN_284
way/462823764-500,CHN_3247
way/462823764-500,wof-CHN_253
way/462823764-500,CHN_3299
way/462823764-500,wof-CHN_253
way/462823764-500,CHN_3352
way/462823764-500,wof-CHN_284
way/462823764-500,CHN_3195
way/462823764-500,CHN_3299
way/462823764-500,wof-CHN_253
way/462823764-500,CHN_3247
way/462823764-500,wof-CHN_253
way/462823764-500,CHN_3301
way/462823764-500,CHN_3298
way/462823764-500,wof-CHN_283
way/462823764-500,CHN_3246
way/462823764-500,wof-CHN_252
way/462823764-500,CHN_3298
way/462823764-500,wof-CHN_283
way/148727570-500,CHN_3888
way/148727570-500,CHN_3774
way/148727570-500,wof-CHN_413
way/1347514254-500,CHN_3218
way/178865921-500,CHN_1891
way/178865921-500,CHN_2092
way/1347514254-500,CHN_3930
way/899674815-750,CHN_2468
CN7501-500,CHN_3153
CN7501-500,CHN_3153
CN7501-500,CHN_3099
way/251393861-500,CHN_4461
way/178865921-500,CHN_2397
way/178865921-500,CHN_2324
way/148727570-500,CHN_3442
way/899674815-750,CHN_2205
