from_cluster_id,from_cluster_type,to_cluster_id,to_cluster_type,s_nom,num_lines,voltage,length,bus0,bus1,type,line_id,from_bus,to_bus,connection_type,length,water_distance_km,water_share,crosses_water,water_types
0,generation,1,demand,6703.0366252915555,2.0,500.0,702.1894221332496,gen0,dem1,Generation cluster 0 to Demand cluster 1,,,,,702.1894221332496,0.0,0.0,False,[]
0,generation,2,demand,587009.3391931683,164.0,542.6829268292682,371.53174593445004,gen0,dem2,Generation cluster 0 to Demand cluster 2,,,,,371.53174593445004,0.0,0.0,False,[]
0,generation,8,demand,22343.45541763852,6.0,500.0,690.2480593774366,gen0,dem8,Generation cluster 0 to Demand cluster 8,,,,,690.2480593774366,0.0,0.0,False,[]
0,generation,9,demand,660552.2164825428,195.0,516.6666666666666,419.230728762289,gen0,dem9,Generation cluster 0 to Demand cluster 9,,,,,419.230728762289,0.0,0.0,False,[]
1,generation,4,demand,13406.073250583111,4.0,500.0,1751.5610834862996,gen1,dem4,Generation cluster 1 to Demand cluster 4,,,,,1751.5610834862996,0.0,0.0,False,[]
1,generation,7,demand,216159.94078459585,36.0,750.0,898.9400415567816,gen1,dem7,Generation cluster 1 to Demand cluster 7,,,,,898.9400415567816,0.0,0.0,False,[]
2,generation,0,demand,413734.9764039778,111.0,572.072072072072,371.9271358503475,gen2,dem0,Generation cluster 2 to Demand cluster 0,,,,,371.9271358503475,0.0,0.0,False,[]
2,generation,9,demand,1023499.9991069859,260.0,569.4230769230769,447.16543734953945,gen2,dem9,Generation cluster 2 to Demand cluster 9,,,,,447.16543734953945,0.0,0.0,False,[]
3,generation,1,demand,4468.691083527704,2.0,500.0,973.378257285551,gen3,dem1,Generation cluster 3 to Demand cluster 1,,,,,973.378257285551,0.0,0.0,False,[]
3,generation,2,demand,49155.60191880474,19.0,500.0,622.9983962079717,gen3,dem2,Generation cluster 3 to Demand cluster 2,,,,,622.9983962079717,0.0,0.0,False,[]
3,generation,3,demand,180981.988882872,57.0,500.0,299.7415394675023,gen3,dem3,Generation cluster 3 to Demand cluster 3,,,,,299.7415394675023,0.0,0.0,False,[]
3,generation,6,demand,908484.8972811822,259.0,495.75289575289577,213.12706296823131,gen3,dem6,Generation cluster 3 to Demand cluster 6,,,,,213.12706296823131,0.0,0.0,False,[]
