GEM location ID,bus_id
L100000500387,gen4
L100000500348,gen2
L100000500352,gen0
L100000500314,gen2
L100000500257,gen4
L100000500119,gen2
L100000500313,gen2
L100000500366,gen0
L100000500356,gen0
L100000500390,gen3
L100000500329,gen4
L100000500320,gen4
L100000500304,gen4
L100000500397,gen0
L100000500341,gen2
L100000500317,gen2
L100000500319,gen2
L100000500355,gen0
L100000500398,gen2
L100000500358,gen0
L100000500303,gen0
L100000500354,gen0
L100000500309,gen4
L100000500357,gen2
L100000500298,gen2
L100000500302,gen0
L100000500351,gen0
L100000500363,gen4
L100000500353,gen4
L100000500359,gen2
L100000500350,gen0
L100000500408,gen4
L100000500410,gen4
L100000201764,gen0
L100000201683,gen0
L100000201501,gen0
L100000201690,gen0
L100000201767,gen0
L100000201671,gen0
L100000200171,gen0
L100000200166,gen0
L100000201572,gen0
L100000200125,gen0
L100000201728,gen0
L100000201708,gen0
L100000201656,gen0
L100000200159,gen0
L100000201745,gen0
L100000200169,gen0
L100000201754,gen0
L100000201757,gen0
L100000200113,gen0
L100000201720,gen0
L100000201530,gen0
L100000200126,gen0
L100000201517,gen0
L100000201472,gen0
L100000201735,gen0
L100000200109,gen0
L100000201485,gen0
L100000201734,gen0
L100000201660,gen0
L100000200115,gen0
L100000200127,gen0
L100000201696,gen0
L100000201899,gen0
L100000200160,gen0
L100000201628,gen0
L100000201595,gen0
L100000200149,gen0
L100000201428,gen0
L100000201604,gen0
L100000201907,gen0
L100000201691,gen0
L100000200137,gen0
L100000200128,gen0
L100000200153,gen0
L100000201657,gen0
L100000200158,gen0
L100000104890,gen0
L100000100431,gen2
L100000201432,gen4
L100000201670,gen4
L100000201789,gen4
L100000201900,gen4
L100000201747,gen4
L100000201847,gen4
L100000104653,gen4
L100000201692,gen2
L100000200145,gen2
L100000201525,gen2
L100000201625,gen0
L100000201701,gen0
L100000201557,gen0
L100000201861,gen0
L100000201748,gen0
L100000201860,gen0
L100000201444,gen0
L100000201884,gen3
L100000201824,gen3
L100000200114,gen3
L100000201791,gen3
L100000201591,gen0
L100000201460,gen2
L100000201526,gen2
L100001018805,gen2
L100000201568,gen2
L100000201890,gen2
L100000201443,gen2
L100000201886,gen2
L100000201505,gen2
L100000201863,gen2
L100000201508,gen2
L100000201840,gen2
L100000201885,gen0
L100000200120,gen2
L100000201506,gen2
L100000201662,gen0
L100000201439,gen0
L100000201752,gen2
L100000200135,gen2
L100000200152,gen2
L100000201781,gen2
L100000201421,gen2
L100000201841,gen2
L100000200117,gen2
L100000201575,gen2
L100000201576,gen2
L100001018710,gen2
L100000200173,gen2
L100000200138,gen2
L100000200143,gen2
L100000201584,gen2
L100000201521,gen2
L100000201422,gen2
L100000201802,gen2
L100000201487,gen2
L100000201479,gen2
L100000200110,gen2
L100000201640,gen2
L100000201689,gen2
L100000200105,gen2
L100000201687,gen2
L100000201859,gen2
L100000201733,gen2
L100000201699,gen2
L100000201484,gen2
L100000201908,gen2
L100000201495,gen2
L100000201680,gen2
L100000201494,gen2
L100000201740,gen2
L100000201806,gen2
L100000201688,gen2
L100000200108,gen2
L100000201427,gen2
L100000201638,gen2
L100000201566,gen2
L100000201686,gen2
L100000201898,gen2
L100000201450,gen2
L100000201608,gen2
L100000201639,gen2
L100000201477,gen2
L100000201732,gen2
L100000200129,gen2
L100000201491,gen2
L100000201844,gen2
L100000201636,gen2
L100000201780,gen2
L100000201703,gen4
L100000201616,gen4
L100000200121,gen3
L100000201721,gen4
L100000201556,gen4
L100000201711,gen4
L100000201598,gen4
L100000201627,gen4
L100000201600,gen4
L100000201870,gen4
L100000200134,gen4
L100000201829,gen4
L100000201706,gen4
L100000201831,gen4
L100000201554,gen4
L100000201876,gen4
L100000201599,gen4
L100000201776,gen4
L100000201784,gen4
L100000201873,gen4
L100000201768,gen4
L100000201633,gen4
L100000201651,gen4
L100000201875,gen4
L100000201563,gen4
L100000200139,gen4
L100000201712,gen4
L100000200161,gen4
L100000201836,gen4
L100000201652,gen4
L100000201700,gen4
L100000201864,gen4
L100000201465,gen4
L100000201456,gen4
L100000201838,gen4
L100000201882,gen4
L100000201425,gen4
L100000201675,gen4
L100000200103,gen4
L100000200130,gen4
L100000201894,gen4
L100000201533,gen4
L100000201713,gen4
L100000201429,gen4
L100000201573,gen4
L100000201678,gen4
L100000201827,gen4
L100000201587,gen4
L100000201619,gen4
L100000201880,gen4
L100000201545,gen4
L100000201794,gen4
L100000201531,gen4
L100000201571,gen4
L100000201518,gen4
L100000201624,gen4
L100000201889,gen4
