bus0,bus1,voltage,s_nom,r,x,b,length,type
way/23380800-380,way/24478889-380,380,1698.103,0.281152,2.30545,4.06e-05,9371.75,Al/St 240/40 4-bundle 380.0
way/25306752-380,way/31131325-380,380,1698.103,1.233376,10.113687,0.00017824,41112.55,Al/St 240/40 4-bundle 380.0
way/24839976-380,way/23084554-380,380,1698.103,0.293281,2.404903,4.24e-05,9776.03,Al/St 240/40 4-bundle 380.0
way/42097854-380,way/54359256-380,380,1698.103,1.462798,11.994943,0.00021139,48759.93,Al/St 240/40 4-bundle 380.0
way/66764943-220,way/395847307-220,220,491.556,4.467786,22.413393,0.00029242,74463.1,Al/St 240/40 2-bundle 220.0
way/151967290-220,way/66764943-220,220,491.556,2.401903,12.049545,0.0001572,40031.71,Al/St 240/40 2-bundle 220.0
way/1327333163-380,way/41334805-380,380,1698.103,0.37325,3.060651,5.39e-05,12441.67,Al/St 240/40 4-bundle 380.0
way/41334805-380,way/147878692-380,380,1698.103,0.110517,0.906242,1.6e-05,3683.91,Al/St 240/40 4-bundle 380.0
way/31131325-380,way/31131320-380,380,1698.103,0.551479,4.522129,7.97e-05,18382.64,Al/St 240/40 4-bundle 380.0
way/43688805-380,way/25786404-380,380,3396.205,0.191266,1.568383,0.00011056,12751.08,Al/St 240/40 4-bundle 380.0
way/1191459479-220,way/1102237380-220,220,491.556,0.571147,2.865252,3.74e-05,9519.11,Al/St 240/40 2-bundle 220.0
way/18629425-380,way/26245195-380,380,1698.103,1.322611,10.845409,0.00019113,44087.03,Al/St 240/40 4-bundle 380.0
way/62061952-380,DE159-380,380,3396.205,0.080541,0.660436,4.66e-05,5369.4,Al/St 240/40 4-bundle 380.0
way/23067006-380,DE80-380,380,1698.103,0.122606,1.00537,1.77e-05,4086.87,Al/St 240/40 4-bundle 380.0
DE87-220,DE80-220,220,491.556,0.359852,1.80526,2.36e-05,5997.54,Al/St 240/40 2-bundle 220.0
DE166-220,DE171-220,220,491.556,0.562196,2.820352,3.68e-05,9369.94,Al/St 240/40 2-bundle 220.0
DE80-220,way/29077623-220,220,983.112,0.548057,2.74942,0.00014348,18268.57,Al/St 240/40 2-bundle 220.0
DE80-220,DE87-220,220,983.112,0.177867,0.892301,4.66e-05,5928.91,Al/St 240/40 2-bundle 220.0
way/38661452-380,DE159-380,380,1698.103,0.282452,2.316105,4.08e-05,9415.06,Al/St 240/40 4-bundle 380.0
DE77-380,way/24479003-380,380,3396.205,0.039057,0.320264,2.26e-05,2603.77,Al/St 240/40 4-bundle 380.0
DE77-220,way/24479003-220,220,983.112,0.078701,0.394817,2.06e-05,2623.37,Al/St 240/40 2-bundle 220.0
way/151967291-380,DE170-380,380,1698.103,0.236584,1.939988,3.42e-05,7886.13,Al/St 240/40 4-bundle 380.0
way/1071504343-380,way/946969736-380,380,3396.205,0.582437,4.775985,0.00033668,38829.15,Al/St 240/40 4-bundle 380.0
DE81-220,DE82-220,220,491.556,0.180412,0.905065,1.18e-05,3006.86,Al/St 240/40 2-bundle 220.0
way/24462426-220,DE79-220,220,491.556,0.659613,3.309059,4.32e-05,10993.55,Al/St 240/40 2-bundle 220.0
