GEM location ID,bus_id
L100000200214,way/53378027-380
L100000200215,DE130-380
L100000200235,way/22765517-220
L100000201171,way/52983550-380
L100000200202,way/24413992-380
L100000200242,DE20-380
L100000408778,way/23140544-220
L100000200245,DE159-380
L100000200247,DE108-220
L100000200252,way/942448206-380
L100000201173,DE183-220
L100000200269,way/229565743-220
L100000200270,way/59925390-380
L100000200271,DE52-220
L100000200272,DE44-380
L100000201174,way/29309786-380
L100000200280,way/943939310-380
L100000201175,way/1086825107-220
L100000201176,way/152924508-220
L100000201177,way/33169401-380
L100000200208,way/28956649-380
L100000408771,way/42050342-220
L100000407526,DE24-220
L100000400110,way/55069713-380
L100000101873,way/37721677-380
L100000408770,way/1081302145-220
L100000400111,way/1040551074-220
L100000400112,way/24685992-380
L100000400113,way/881636329-380
L100000408769,way/35176751-380
L100000407631,way/53378027-380
L100000400114,way/92165128-380
L100000400115,way/32148946-220
L100000400116,way/24759324-220
L100000101925,way/157628351-380
L100000400117,way/30954714-380
L100000101886,way/22973052-220
L100000401427,way/30303506-380
L100000101889,way/43163132-380
L100000400119,way/943939310-380
L100001023473,way/24268944-380
L100000406367,way/1223405794-220
L100000400120,way/946025110-380
L100000400121,way/1068350839-380
L100000101910,way/24272541-220
L100000400124,way/24272541-220
L100000407944,way/259561755-380
L100000400125,way/91080806-220
L100000400126,way/46615737-380
L100000101928,way/29077623-380
L100000101980,way/1081302145-220
L100000101929,way/1118059105-220
L100000101891,DE58-380
L100000104721,way/698870101-220
L100000400133,DE165-380
L100000101981,way/946025110-380
L100000408768,way/89215122-220
L100000407940,way/92024105-220
L100000400134,way/49577401-220
L100000408767,way/942771541-380
L100000408804,way/942771541-380
L100000400135,way/55069713-380
L100000400136,way/92024105-220
L100000400138,way/23192640-220
L100000408780,way/52983550-380
L100000400139,way/24758329-380
L100000400140,way/672738029-220
L100000408779,way/142487746-380
L100000400141,way/61918154-380
L100000400146,way/61918154-380
L100000400147,way/26383042-380
L100000400148,way/143882655-220
L100000400150,way/28613721-380
L100000400153,way/23816140-220
L100000101993,way/449010725-380
L100000400156,way/24705761-380
L100000101907,way/52983550-380
L100000400158,way/87653464-380
L100000400159,way/5404079-380
L100000400161,way/24765111-220
L100000408777,way/22960899-380
L100000400167,way/91080806-220
L100000408776,way/156673637-380
L100000400265,way/156673637-380
L100000101968,way/42507488-380
L100000400173,way/23682013-220
L100000400174,way/1091984573-220
L100000400175,way/202865176-220
L100000407775,way/24768051-220
L100000407629,way/24667346-220
L100000400176,DE103-380
L100000408775,way/35818137-220
L100000101898,way/229565743-220
L100000400179,way/29309786-380
L100000408783,way/75865676-220
L100000408782,way/603661085-380
L100000101875,way/1104947187-380
L100000408781,way/35818134-220
L100000101942,way/1076001174-380
L100000400180,DE52-220
L100000400181,way/66038431-220
L100000408786,DE106-220
L100000400182,way/27646106-220
L100000400183,way/42872354-220
L100000408785,way/442199284-380
L100000407530,DE129-220
L100000400185,way/23380800-380
L100000400186,DE160-220
L100000400188,way/137602559-380
L100000101894,DE58-380
L100000400190,way/148446247-380
L100000400191,way/148211527-380
L100001023474,way/870598507
L100000407943,way/152107815-380
L100000400192,DE144-380
L100000400193,way/156960655-380
L100000408784,way/24759324-220
L100000101994,DE4-220
L100000407628,way/24230738-380
L100000400194,way/40621568-220
L100000400195,DE47-220
L100000400196,way/22765517-220
L100000101949,way/24479984-220
L100000101950,DE117-380
L100000401433,DE200-380
L100000400202,way/23161029-220
L100000405886,way/23161029-220
L100000400203,way/941805476-380
L100000400204,DE103-380
L100000408802,DE103-380
L100000400207,way/30303506-380
L100000407942,way/61918154-380
L100000101983,way/714098678-380
L100000408815,way/152924508-220
L100000400209,relation/17591073-220
L100000400211,way/152924508-220
L100000400278,way/62061952-380
L100000101972,way/24685992-380
L100000408814,way/152924508-220
L100000408813,way/97825259-220
L100000400214,DE5-380
L100000408818,DE183-220
L100000408817,way/27871140-220
L100000101955,DE130-380
L100000408789,DE183-220
L100000400216,way/44717036-380
L100000101884,way/5404079-380
L100000400217,way/5404079-380
L100000400223,way/111973179-220
L100000400224,way/947118608-380
L100000400225,way/62061952-380
L100000400226,way/27871140-220
L100000400230,way/942771541-380
L100000400231,DE92-220
L100000400234,way/883928229-380
L100000408788,way/22960899-380
L100000101879,way/32966636-220
L100000400237,way/78441561-380
L100000400238,way/29331499-380
L100000101880,way/152261133-220
L100000408787,way/32148946-220
L100000400241,way/27739871-380
L100000101975,way/207756597-220
L100000408820,way/151507370-220
L100000400243,way/28613721-380
L100000400245,DE52-220
L100000101959,way/1303270458-220
L100000400246,way/152219167-220
L100000101895,way/58429825-380
L100000400247,way/1068350839-380
L100000408892,way/170123812-220
L100000400249,way/30040568-380
L100000400250,DE196-380
L100000407529,way/24462228-220
L100000400166,way/152018146-380
L100000400251,way/881636329-380
L100000400252,way/53378027-380
L100000400280,way/32731290-220
L100000400254,way/943939310-380
L100000101908,way/42410916-380
L100000101881,way/22960899-380
L100000400165,way/207756597-220
L100000408819,way/44717036-380
L100000400259,way/29331499-220
L100000101900,way/23583867-380
L100000400266,way/112695048-380
L100001023454,DE202-380
L100000101882,way/87653464-380
L100000400269,way/29309786-380
L100000400270,way/77038371-380
L100001023453,way/57727004-220
L100000101976,way/82773910-380
L100000400272,way/156960655-380
L100000101883,way/147878692-380
L100000101996,DE8-380
L100000400273,way/395847307-220
L100000101966,DE141-380
L100000400276,way/25044557-380
L100000400277,way/23161029-220
L100000400281,way/24685992-380
L100000400283,way/29309786-380
L100000400284,way/946025110-380
L100000101922,way/24258096-380
L100000101923,way/24258096-380
L100000400288,DE183-220
L100001023475,way/26472665-380
L100000101887,way/46615737-380
L100000101973,way/152018146-220
L100000101978,DE99-380
L100000101932,way/275138524-380
L100000101934,way/24478889-220
L100000101912,way/23682013-220
L100000101874,relation/17591073-220
L100000101938,way/22765517-220
L100000101946,way/22765517-220
L100000101953,way/425100082-380
L100000101939,DE128-380
L100000101957,way/188276460-380
L100000101904,way/4826893-220
L100000101924,DE5-380
L100000101988,DE103-380
L100000101989,way/442199284-380
L100000101977,way/207756597-220
L100000101920,way/1134105414-380
L100000101885,way/133342285-220
L100000907706,way/1094015892-380
L100000907719,DE44-380
L100000907720,way/50643382-220
L100000907725,way/449010725-380
L100000907729,way/32904794-380
L100000907733,way/32690742-380
L100000907735,DE142-380
L100000907737,way/373967500-380
L100000907738,way/156673636-380
L100000907740,way/24705761-220
L100000907742,way/23161029-220
L100000907743,way/109917397-380
