bus0,bus1,voltage,s_nom,length,type,geometry
DE210-380,DE206-380,380.0,3396.205223481055,21511.89,Al/St 240/40 4-bundle 380.0,"LINESTRING (9.3025725 48.88318119319853, 9.306364970976686 48.87944685913246, 9.3108967 48.8767241, 9.3151174 48.8741773, 9.3196078 48.8714937, 9.3246957 48.8684011, 9.3289736 48.8658211, 9.3335966 48.8630432, 9.3352692 48.8588189, 9.3368635 48.8547179, 9.3376347 48.8528988, 9.3382164 48.8513779, 9.3399354 48.8470742, 9.3411779 48.8438605, 9.344633 48.841482, 9.3492912 48.8382654, 9.3536555 48.8352837, 9.3577516 48.8324659, 9.3619759 48.8295145, 9.3663419 48.8264917, 9.3710724 48.8232332, 9.375559 48.8201176, 9.3771454 48.8174333, 9.3794748 48.8138089, 9.3812683 48.8109472, 9.3803807 48.8080577, 9.3796693 48.8057837, 9.381883 48.8035333, 9.3840462 48.8013544, 9.3865435 48.7987564, 9.3890323 48.7962093, 9.3914798 48.7936676, 9.3946717 48.7904082, 9.3976551 48.7873332, 9.3998435 48.7850778, 9.402928 48.7819656, 9.4030723 48.777673, 9.4031579 48.7743135, 9.4033068 48.7695012, 9.4034028 48.7673025, 9.4034543 48.7650173, 9.4035798 48.7616336, 9.4037137 48.7579123, 9.4038972 48.7520726, 9.4039446 48.7488431, 9.3997469 48.7467058, 9.3960559 48.7448402, 9.3932096 48.7433679, 9.3921917 48.7428414, 9.3911993 48.7405457, 9.3901418 48.7379178, 9.3893641 48.7360394, 9.3883137 48.7334367, 9.3891931 48.7308407, 9.3899836 48.728533, 9.3911508 48.7252229, 9.392062295204806 48.722469874540565, 9.394077899999992 48.71817519310462)"
way/157628351-380,DE72-380,380.0,1698.1026117405274,6867.39,Al/St 240/40 4-bundle 380.0,"LINESTRING (7.6098655000000015 51.68884639459952, 7.6065763481879465 51.68484770283918, 7.6066544 51.6834415, 7.6051797 51.6800162, 7.6039495 51.6771142, 7.6025979 51.6740821, 7.5994376 51.6722607, 7.5962027 51.6704733, 7.5930424 51.6687131, 7.5942288 51.6660286, 7.5954035 51.6633713, 7.5967359 51.6603832, 7.5981871 51.6572004, 7.599594 51.653945, 7.6009736 51.651077, 7.6021986 51.6481305, 7.6037032 51.6447067, 7.6052994 51.6412408, 7.6087586 51.6386617, 7.611066620523708 51.638318276040906, 7.618669072479621 51.63768206147348)"
way/49577401-380,DE124-380,380.0,3396.205223481055,9989.82,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.8020717370623025 51.124986661844105, 6.808464756514866 51.11909754050445, 6.8104891 51.1172859, 6.8143544 51.1140108, 6.8190227 51.1122674, 6.8239586 51.1104723, 6.8283491 51.1088358, 6.8329633 51.107159, 6.8384051 51.1078093, 6.844029 51.1084682, 6.8501073 51.1091723, 6.8566625 51.1099348, 6.8624587 51.1105674, 6.8624817 51.1105681, 6.8683486 51.111278, 6.8715195 51.1142551, 6.8765594 51.1187984, 6.8803852 51.1223079, 6.8837718 51.1253497, 6.8889223 51.1270712, 6.8940721 51.1287997, 6.8961406 51.126369, 6.8980233 51.124141, 6.9018934 51.1221302, 6.905260365175541 51.120336089685765, 6.910996700000009 51.117662294343354)"
DE112-380,way/91854336-380,380.0,5094.307835221583,1726.71,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.7095150123574925 51.3617275083476, 6.7155140255808705 51.363950383491826, 6.7173388 51.3646477, 6.717456476295027 51.36461200006784, 6.723918172473357 51.355757023674954)"
way/274603394-380,DE26-380,380.0,3396.205223481055,21285.79,Al/St 240/40 4-bundle 380.0,"LINESTRING (12.012304925422185 53.070000365192335, 12.017289767170725 53.074923873294644, 12.018689 53.076633, 12.02165 53.080262, 12.024322 53.08358, 12.027068 53.086996, 12.029901 53.090488, 12.030405 53.093819, 12.031059 53.097865, 12.03166 53.10191, 12.03225 53.105601, 12.032872 53.109659, 12.033505 53.113517, 12.03402 53.117071, 12.034611 53.12058, 12.035254 53.124637, 12.035801 53.128306, 12.036467 53.13229, 12.03711 53.136436, 12.037529 53.1406, 12.038054 53.144727, 12.0384835 53.1487745, 12.0389166 53.1529159, 12.039213 53.157222, 12.039771 53.161429, 12.040179 53.16561, 12.040651 53.169469, 12.041059 53.173713, 12.041509 53.177752, 12.04196 53.182047, 12.04241 53.186264, 12.042882 53.190469, 12.043355 53.19466, 12.043784 53.198465, 12.04565 53.201074, 12.047904 53.204197, 12.050221 53.207346, 12.052753 53.210764, 12.055542 53.214619, 12.058439 53.218577, 12.061293 53.222534, 12.064061 53.226503, 12.066958 53.230382, 12.069812 53.234326, 12.072666 53.238281, 12.075562 53.24224, 12.078073 53.245703, 12.08033243492601 53.24883069329213, 12.087779430283224 53.25095076596475)"
way/24604789-380,DE39-380,380.0,3396.205223481055,16783.1,Al/St 240/40 4-bundle 380.0,"LINESTRING (8.93969257409092 52.40303325117011, 8.933083252033974 52.40743544997039, 8.9316471 52.4097025, 8.933945 52.412074, 8.9375775 52.4157165, 8.9408554 52.4190566, 8.944427 52.422766, 8.948139 52.426515, 8.9502684 52.4288498, 8.9530051 52.4319226, 8.9559395 52.4352793, 8.9586469 52.4382974, 8.9617813 52.4418521, 8.9646541 52.4450665, 8.9676421 52.4484434, 8.9710536 52.4522575, 8.973491 52.45505, 8.971646 52.459011, 8.969682 52.462986, 8.967676 52.467209, 8.965611 52.471446, 8.963658 52.475518, 8.961893 52.47909, 8.9601647 52.4827202, 8.958428 52.486493, 8.961561 52.489838, 8.964468 52.492803, 8.967376 52.495749, 8.970616 52.499107, 8.974146 52.502699, 8.977203 52.505866, 8.980336 52.509131, 8.983823 52.512703, 8.987305 52.516267, 8.99085 52.51992, 8.994187 52.523325, 8.995861 52.527372, 8.997374 52.531316, 8.997398909187524 52.53137337123941, 9.000275407695447 52.53761399922545)"
DE176-380,way/24685992-380,380.0,3396.205223481055,19368.2,Al/St 240/40 4-bundle 380.0,"LINESTRING (8.389618633233413 49.98247934342442, 8.397486972045499 49.975019370475124, 8.4000967 49.9734237, 8.40398 49.9710641, 8.4076793 49.9688559, 8.405608 49.9659534, 8.4034918 49.9628686, 8.4054567 49.9600824, 8.4074351 49.9572407, 8.4093407 49.9545217, 8.4112737 49.9517143, 8.4133715 49.9486727, 8.4169151 49.9458841, 8.4207603 49.9427081, 8.4242966 49.9398909, 8.4281418 49.936836, 8.4319012 49.9338031, 8.435652 49.9307036, 8.4397976 49.9271841, 8.4436733 49.9239562, 8.4470417 49.9209952, 8.4506294 49.9176517, 8.4539081 49.9146507, 8.4572555 49.9114229, 8.4604111 49.9084646, 8.4636928 49.9053813, 8.4666969 49.9025785, 8.469289 49.9001626, 8.4697006 49.8964425, 8.4701872 49.8922875, 8.4706966 49.8880646, 8.4711601 49.8838783, 8.4715537 49.8809168, 8.472027 49.8766971, 8.4724647 49.8728716, 8.472974 49.8689837, 8.4750553 49.8654299, 8.4806467 49.8646196, 8.4862395 49.8638106, 8.4926125 49.8628665, 8.4991257 49.8619076, 8.5031466 49.8609859, 8.5065921 49.8601692, 8.5109641 49.8591819, 8.5151403 49.8582152, 8.519370369834634 49.85724046682512, 8.530958454372138 49.853147768513466)"
way/24839976-380,way/188276460-380,380.0,3396.205223481055,2882.75,Al/St 240/40 4-bundle 380.0,"LINESTRING (6.672472769831363 50.99157016017998, 6.679807299971572 50.9975816033641, 6.6813296 50.9994642, 6.6857617 51.0009405, 6.686762174838574 51.00127054828878, 6.702134713436612 51.00890109020765)"
way/42488850-380,DE68-380,380.0,3396.205223481055,14526.6,Al/St 240/40 4-bundle 380.0,"LINESTRING (7.8338877609145 51.75348916138916, 7.840018567388765 51.7494582135581, 7.8426052 51.7486139, 7.8470459 51.7471473, 7.8517137 51.7455892, 7.8563196 51.744056, 7.8608029 51.7425658, 7.8652605 51.7410945, 7.8700271 51.7395238, 7.8746673 51.7379739, 7.8798241 51.7362532, 7.8837924 51.733993, 7.8872809 51.7320202, 7.891379 51.7296912, 7.8954195 51.7273675, 7.8993267 51.7251402, 7.9033927 51.7228166, 7.9025743 51.7196092, 7.9018228 51.7163918, 7.9011356 51.7131911, 7.9051519 51.7115374, 7.9086573 51.7101122, 7.9125387 51.7085216, 7.9168843 51.7067441, 7.921434 51.704889, 7.9254543 51.7032613, 7.9295791 51.7015766, 7.9346214 51.7009042, 7.9402702 51.7001501, 7.944864 51.6995309, 7.9503632 51.6988302, 7.9543511 51.6983018, 7.9589809 51.6976895, 7.9643721 51.6970448, 7.9665925 51.6940389, 7.9687138 51.691022, 7.9707617 51.688246, 7.9766374 51.686613, 7.9815697 51.6855869, 7.982372953000944 51.685418288143175, 7.992887365544153 51.683707709523446)"
way/23022100-380,way/29077623-380,380.0,6792.41044696211,8692.12,Al/St 240/40 4-bundle 380.0,"LINESTRING (7.023366051180695 51.62577130132413, 7.033530245061775 51.63282623338058, 7.034085 51.6334938, 7.0365811 51.6364585, 7.039117 51.6395042, 7.0415586 51.6424375, 7.0438587 51.645112, 7.0457719 51.6474202, 7.0479585 51.6499854, 7.0492231 51.6530233, 7.0504058 51.65588, 7.0537295 51.6577662, 7.0570608 51.660097, 7.0608398 51.6628516, 7.0609038 51.6654859, 7.0609372 51.6679052, 7.0609275 51.6710932, 7.0609491 51.6734592, 7.0609865 51.6759984, 7.0609622 51.6786212, 7.06099452203297 51.68009909378646, 7.06036867676797 51.6964967206602)"
