GEM location ID,bus_id
L100000500028,way/952346322-380
L100000500016,way/76246159-380
L100000500029,way/42410916-380
L100000200214,way/76246159-380
L100000200215,way/24839976-380
L100000200235,way/24839976-380
L100000201171,way/157328339-380
L100000200202,way/29309786-380
L100000200242,way/952346322-380
L100000408778,way/24839976-380
L100000200245,way/42410916-380
L100000200247,way/29309786-380
L100000200252,way/157328339-380
L100000201173,way/42410916-380
L100000200269,way/1128250704-380
L100000200270,way/952346322-380
L100000200271,way/42488850-380
L100000200272,way/26472665-380
L100000201174,way/29309786-380
L100000200280,way/26472665-380
L100000201175,way/24757392-380
L100000201176,way/42410916-380
L100000201177,way/26472665-380
L100000200208,way/24757392-380
L100000408771,way/76246159-380
L100000407526,way/157328339-380
L100000400110,way/42410916-380
L100000101873,way/42410916-380
L100000408770,way/157328339-380
L100000400111,way/24839976-380
L100000400112,way/42410916-380
L100000400113,way/525964617
L100000408769,way/525964617
L100000407631,way/76246159-380
L100000400114,way/24839976-380
L100000400115,way/24839976-380
L100000400116,way/76246159-380
L100000101925,way/42488850-380
L100000400117,way/157328339-380
L100000101886,way/157328339-380
L100000401427,way/157328339-380
L100000101889,way/157328339-380
L100000400119,way/26472665-380
L100000101973,way/24839976-380
L100001023473,way/24839976-380
L100000406367,way/42410916-380
L100000400120,way/24757392-380
L100000400121,way/157328339-380
L100000101910,way/26472665-380
L100000400124,way/26472665-380
L100000407944,way/42410916-380
L100000400125,way/157328339-380
L100000400126,way/157328339-380
L100000101928,way/952346322-380
L100000101980,way/157328339-380
L100000101929,way/24839976-380
L100000101891,way/157328339-380
L100000104721,way/42488850-380
L100000400133,way/42410916-380
L100000101981,way/24757392-380
L100000408768,way/24839976-380
L100000407940,way/24839976-380
L100000400134,way/24839976-380
L100000407941,way/42488850-380
L100000408767,way/157328339-380
L100000408804,way/157328339-380
L100000400135,way/42410916-380
L100000400136,way/24839976-380
L100000400138,way/24839976-380
L100000408780,way/157328339-380
L100000400139,way/24757392-380
L100000400140,way/1128250704-380
L100000408779,way/952346322-380
L100000400141,way/952346322-380
L100000400146,way/952346322-380
L100000400147,way/42488850-380
L100000400148,way/24757392-380
L100000400150,way/24757392-380
L100000400153,way/525964617
L100000101993,way/525964617
L100000400156,way/76246159-380
L100000101907,way/157328339-380
L100000400158,way/88916034-380
L100000400159,way/76246159-380
L100000400161,way/24757392-380
L100000408777,way/42410916-380
L100000400167,way/76246159-380
L100000408776,way/24757392-380
L100000400265,way/24757392-380
L100000101968,way/42488850-380
L100000400173,way/525964617
L100000400174,way/170123812-400
L100000400175,way/88916034-380
L100000407775,way/76246159-380
L100000407629,way/42488850-380
L100000400176,way/24757392-380
L100000408775,way/952346322-380
L100000101898,way/1128250704-380
L100000400179,way/29309786-380
L100000408783,way/76246159-380
L100000408782,way/525964617
L100000101875,way/42410916-380
L100000408781,way/952346322-380
L100000101942,way/952346322-380
L100000400180,way/42488850-380
L100000400181,way/952346322-380
L100000408786,way/24839976-380
L100000400182,way/525964617
L100000400183,way/1128250704-380
L100000408785,way/24757392-380
L100000407530,way/24839976-380
L100000400185,way/24839976-380
L100000400186,way/42410916-380
L100000400188,way/76246159-380
L100000101894,way/157328339-380
L100000400190,way/29309786-380
L100000400191,way/24757392-380
L100001023474,way/24839976-380
L100000407943,way/42410916-380
L100000400192,way/24839976-380
L100000400193,way/29309786-380
L100000408784,way/76246159-380
L100000101994,way/525964617
L100000407628,way/42488850-380
L100000400194,way/157328339-380
L100000400195,way/26472665-380
L100000400196,way/24839976-380
L100000101949,way/24839976-380
L100000101950,way/24839976-380
L100000401433,way/76246159-380
L100000400202,way/24757392-380
L100000405886,way/24757392-380
L100000400203,way/157328339-380
L100000400204,way/24757392-380
L100000408802,way/24757392-380
L100000400207,way/157328339-380
L100000407942,way/952346322-380
L100000101983,way/24757392-380
L100000408815,way/42410916-380
L100000400209,way/42410916-380
L100000400211,way/42410916-380
L100000400278,way/42410916-380
L100000101972,way/42410916-380
L100000408814,way/42410916-380
L100000408813,way/42410916-380
L100000400214,way/1094015892-380
L100000408818,way/42410916-380
L100000408817,way/24839976-380
L100000101955,way/24839976-380
L100000408789,way/42410916-380
L100000400216,way/1128250704-380
L100000101884,way/76246159-380
L100000400217,way/76246159-380
L100000400223,way/42488850-380
L100000400224,way/1094015892-380
L100000400225,way/42410916-380
L100000400226,way/24839976-380
L100000400230,way/157328339-380
L100000400231,way/952346322-380
L100000400234,way/1128250704-380
L100000408788,way/42410916-380
L100000101879,way/42410916-380
L100000400237,way/76246159-380
L100000400238,way/157328339-380
L100000101880,way/42410916-380
L100000408787,way/24839976-380
L100000400241,way/525964617
L100000101975,way/24839976-380
L100000408820,way/26472665-380
L100000400243,way/24757392-380
L100000400245,way/42488850-380
L100000101959,way/952346322-380
L100000400246,way/24757392-380
L100000101895,way/157328339-380
L100000400247,way/157328339-380
L100000408892,way/170123812-400
L100000400249,way/1094015892-380
L100000400250,way/88916034-380
L100000407529,way/952346322-380
L100000400166,way/24839976-380
L100000400251,way/525964617
L100000400252,way/76246159-380
L100000400280,way/42410916-380
L100000400254,way/26472665-380
L100000101908,way/42410916-380
L100000101881,way/42410916-380
L100000400165,way/24839976-380
L100000408819,way/1128250704-380
L100000400259,way/157328339-380
L100000101900,way/525964617
L100000400266,way/42488850-380
L100001023454,way/76246159-380
L100000101882,way/88916034-380
L100000400269,way/29309786-380
L100000400270,way/76246159-380
L100001023453,way/76246159-380
L100000101976,way/24839976-380
L100000400272,way/29309786-380
L100000101883,way/42410916-380
L100000101996,way/525964617
L100000400273,way/24839976-380
L100000101977,way/24839976-380
L100000101966,way/24839976-380
L100000400276,way/24839976-380
L100000400277,way/157328339-380
L100000400281,way/42410916-380
L100000400283,way/29309786-380
L100000400284,way/24757392-380
L100000101922,way/26472665-380
L100000101923,way/26472665-380
L100000400288,way/42410916-380
L100001023475,way/26472665-380
L100000101887,way/157328339-380
