bus_id,grid_cell
way/68532663-220,DEU_122
way/525964617,DEU_84
way/525964617,wof-DEU_84
way/170123812-400,DEU_163
way/68532663-220,DEU_106
way/525964617,DEU_85
way/870598507,DEU_14
way/870598507,DEU_13
way/870598507,DEU_13
way/870598507,DEU_13
way/108797675-380,DEU_57
way/952346322-380,DEU_15
way/170123812-400,DEU_175
way/952346322-380,DEU_15
way/952346322-380,DEU_15
way/870598507,DEU_4
way/157328339-380,DEU_159
way/108797675-380,DEU_42
way/870598507,DEU_5
way/275466323,DEU_101
way/26472665-380,DEU_81
way/68532663-220,DEU_105
way/108797675-380,DEU_60
way/1128250707-380,DEU_47
way/26472665-380,DEU_99
way/26472665-380,DEU_98
way/870598507,DEU_3
way/26472665-380,DEU_99
way/952346322-380,DEU_15
way/1128250707-380,DEU_64
way/952346322-380,DEU_5
way/1128250707-380,DEU_49
way/525964617,DEU_84
way/525964617,wof-DEU_84
way/1128250707-380,DEU_65
way/68532663-220,DEU_106
way/108797675-380,DEU_42
way/108797675-380,DEU_108
way/108797675-380,DEU_93
way/143882655-380,DEU_110
way/108797675-380,DEU_109
way/108797675-380,DEU_109
way/108797675-380,DEU_93
way/870598507,DEU_4
way/952346322-380,DEU_15
DE206-220,DEU_155
way/870598507,DEU_14
way/870598507,DEU_14
way/68532663-220,DEU_55
way/525964617,DEU_85
way/525964617,wof-DEU_85
way/870598507,DEU_3
way/952346322-380,DEU_31
way/143882655-380,DEU_111
way/108797675-380,DEU_57
way/1128250707-380,DEU_46
way/870598507,DEU_3
way/68532663-220,DEU_122
way/108797675-380,DEU_56
way/870598507,DEU_15
way/952346322-380,DEU_47
way/108797675-380,DEU_74
way/108797675-380,DEU_73
way/26472665-380,DEU_131
way/26472665-380,DEU_114
way/870598507,DEU_3
way/870598507,DEU_3
way/870598507,DEU_13
way/108797675-380,DEU_39
way/870598507,DEU_4
way/157328339-380,DEU_163
way/1128250707-380,DEU_65
way/275466323,DEU_101
way/275466323,DEU_100
way/108797675-380,DEU_108
way/157328339-380,DEU_161
way/29084374-380,DEU_125
way/952346322-380,DEU_15
way/29084374-380,DEU_142
way/952346322-380,DEU_15
way/108797675-380,DEU_78
way/952346322-380,DEU_31
way/143882655-380,DEU_130
way/170123812-400,DEU_177
way/275466323,DEU_117
way/275466323,wof-DEU_133
way/170123812-400,DEU_163
way/157328339-380,DEU_183
way/170123812-400,DEU_163
way/68532663-220,DEU_105
way/525964617,DEU_68
way/525964617,wof-DEU_69
way/108797675-380,DEU_56
way/170123812-400,DEU_175
way/68532663-220,DEU_73
way/68532663-220,DEU_90
way/1128250707-380,DEU_34
way/1128250707-380,wof-DEU_52
way/108797675-380,DEU_90
way/68532663-220,DEU_71
way/68532663-220,DEU_71
DE173-220,DEU_37
way/108797675-380,DEU_75
way/952346322-380,DEU_18
way/940919943,DEU_151
way/940919943,DEU_152
way/940919943,wof-DEU_149
way/1128250707-380,DEU_50
way/1128250707-380,wof-DEU_52
way/952346322-380,DEU_15
way/26472665-380,DEU_130
way/1128250707-380,DEU_48
way/26472665-380,DEU_132
way/1128250707-380,DEU_48
way/870598507,DEU_14
way/525964617,DEU_86
way/525964617,wof-DEU_86
way/952346322-380,DEU_15
way/108797675-380,DEU_38
way/157328339-380,DEU_159
way/108797675-380,DEU_57
way/1128250707-380,DEU_31
way/108797675-380,DEU_91
way/108797675-380,DEU_43
way/952346322-380,DEU_47
way/108797675-380,DEU_62
way/108797675-380,DEU_62
way/108797675-380,DEU_57
way/68532663-220,DEU_73
DE173-220,DEU_38
way/108797675-380,DEU_74
DE173-220,DEU_11
way/108797675-380,DEU_60
way/108797675-380,DEU_60
way/870598507,DEU_13
way/952346322-380,DEU_30
way/952346322-380,DEU_30
way/1128250707-380,DEU_63
way/108797675-380,DEU_56
way/952346322-380,DEU_46
way/952346322-380,DEU_45
way/952346322-380,DEU_30
way/170123812-400,DEU_163
way/108797675-380,DEU_57
way/1128250707-380,DEU_49
way/108797675-380,DEU_41
way/170123812-400,DEU_163
way/108797675-380,DEU_41
way/108797675-380,DEU_57
way/870598507,DEU_4
DE173-220,DEU_27
way/170123812-400,DEU_184
way/68532663-220,DEU_106
DE173-220,DEU_10
way/108797675-380,DEU_59
way/108797675-380,DEU_43
way/68532663-220,DEU_88
way/157328339-380,DEU_183
way/157328339-380,
way/26472665-380,DEU_133
way/952346322-380,DEU_15
way/952346322-380,DEU_17
way/108797675-380,DEU_43
way/952346322-380,DEU_15
way/275466323,DEU_118
way/275466323,wof-DEU_118
way/68532663-220,DEU_89
way/870598507,DEU_4
DE206-220,DEU_139
DE206-220,DEU_156
DE173-220,DEU_0
way/525964617,DEU_68
way/525964617,wof-DEU_85
way/870598507,DEU_14
DE173-220,DEU_21
DE173-220,DEU_21
DE173-220,DEU_10
way/870598507,DEU_14
way/29084374-380,DEU_127
way/870598507,DEU_4
way/870598507,DEU_14
way/870598507,DEU_5
way/108797675-380,DEU_93
way/157328339-380,DEU_159
way/952346322-380,DEU_30
way/952346322-380,DEU_15
way/952346322-380,DEU_31
way/952346322-380,DEU_15
way/143882655-380,DEU_128
way/525964617,DEU_68
way/525964617,wof-DEU_69
way/170123812-400,DEU_175
way/29084374-380,DEU_124
way/952346322-380,DEU_18
way/108797675-380,DEU_75
way/143882655-380,DEU_112
way/108797675-380,DEU_58
way/108797675-380,DEU_59
way/108797675-380,DEU_42
way/108797675-380,DEU_57
way/143882655-380,DEU_128
way/108797675-380,DEU_78
way/143882655-380,DEU_111
way/108797675-380,DEU_42
DE173-220,DEU_1
DE173-220,DEU_25
DE173-220,DEU_40
way/870598507,DEU_28
way/108797675-380,DEU_41
way/108797675-380,DEU_62
way/108797675-380,DEU_79
way/157328339-380,DEU_160
way/952346322-380,DEU_30
way/157328339-380,DEU_183
DE173-220,DEU_27
way/157328339-380,DEU_159
way/170123812-400,DEU_186
way/1128250707-380,DEU_18
way/1128250707-380,wof-DEU_20
way/870598507,DEU_4
DE173-220,DEU_26
way/1128250707-380,DEU_65
way/108797675-380,DEU_44
DE173-220,DEU_21
way/952346322-380,DEU_18
way/108797675-380,DEU_41
way/940919943,DEU_134
way/940919943,wof-DEU_133
DE173-220,DEU_22
way/108797675-380,DEU_40
DE173-220,DEU_41
way/1128250707-380,DEU_50
way/1128250707-380,wof-DEU_52
way/940919943,DEU_134
way/108797675-380,DEU_42
way/108797675-380,DEU_63
way/952346322-380,DEU_15
way/525964617,DEU_68
way/525964617,wof-DEU_69
way/449010725-380,DEU_70
way/952346322-380,DEU_15
way/952346322-380,DEU_5
way/1128250707-380,DEU_48
DE173-220,DEU_26
DE173-220,DEU_12
way/157328339-380,DEU_161
way/170123812-400,DEU_185
way/952346322-380,DEU_15
way/157328339-380,DEU_145
way/449010725-380,DEU_70
way/108797675-380,DEU_79
way/170123812-400,DEU_179
way/170123812-400,wof-DEU_172
way/170123812-400,DEU_166
way/170123812-400,DEU_164
way/525964617,DEU_68
way/525964617,wof-DEU_85
way/1128250707-380,DEU_19
way/1128250707-380,wof-DEU_20
DE173-220,DEU_41
way/525964617,DEU_69
way/68532663-220,DEU_89
way/275466323,DEU_101
way/157328339-380,DEU_145
way/952346322-380,DEU_17
way/952346322-380,DEU_18
way/952346322-380,DEU_15
way/143882655-380,DEU_81
way/1128250707-380,DEU_50
way/1128250707-380,wof-DEU_52
way/952346322-380,DEU_16
way/940919943,DEU_134
way/1128250707-380,DEU_49
way/525964617,DEU_84
way/525964617,wof-DEU_85
way/1128250707-380,DEU_34
way/1128250707-380,wof-DEU_52
way/1128250707-380,DEU_34
way/1128250707-380,wof-DEU_52
way/1128250707-380,DEU_34
way/1128250707-380,wof-DEU_52
way/1128250707-380,DEU_34
way/1128250707-380,wof-DEU_52
way/449010725-380,DEU_69
way/449010725-380,wof-DEU_87
way/157328339-380,DEU_162
way/170123812-400,DEU_175
way/157328339-380,DEU_174
way/157328339-380,DEU_184
way/940919943,DEU_166
way/157328339-380,DEU_182
way/157328339-380,DEU_172
way/26472665-380,DEU_131
way/143882655-380,DEU_128
way/26472665-380,DEU_146
way/157328339-380,DEU_145
way/449010725-380,DEU_70
way/940919943,DEU_165
way/143882655-380,DEU_96
way/1128250707-380,DEU_49
way/143882655-380,DEU_80
way/952346322-380,DEU_16
way/952346322-380,DEU_30
way/1128250707-380,DEU_65
way/143882655-380,DEU_98
way/26472665-380,DEU_98
way/525964617,DEU_66
way/1128250707-380,DEU_47
way/952346322-380,DEU_16
DE173-220,DEU_2
way/108797675-380,DEU_43
way/157328339-380,DEU_173
way/449010725-380,DEU_69
way/525964617,DEU_67
way/68532663-220,DEU_90
way/275466323,DEU_102
way/275466323,wof-DEU_118
way/108797675-380,DEU_58
way/525964617,DEU_85
way/525964617,wof-DEU_85
way/1128250707-380,DEU_34
way/1128250707-380,wof-DEU_52
way/1128250707-380,DEU_50
way/1128250707-380,wof-DEU_53
way/170123812-400,DEU_177
way/170123812-400,wof-DEU_178
way/108797675-380,DEU_44
way/870598507,DEU_44
way/952346322-380,DEU_15
way/108797675-380,DEU_58
way/952346322-380,DEU_30
way/108797675-380,DEU_42
way/170123812-400,DEU_175
way/108797675-380,DEU_57
way/870598507,DEU_13
DE173-220,DEU_43
way/108797675-380,DEU_56
way/870598507,DEU_4
way/108797675-380,DEU_57
way/525964617,DEU_150
way/1128250707-380,DEU_65
way/952346322-380,DEU_30
way/870598507,DEU_15
way/870598507,DEU_4
way/952346322-380,DEU_15
way/870598507,DEU_15
way/870598507,DEU_3
way/108797675-380,DEU_56
way/108797675-380,DEU_57
way/136015463-225,DEU_56
way/870598507,
way/952346322-380,DEU_31
way/170123812-400,DEU_133
way/952346322-380,DEU_15
way/952346322-380,DEU_175
way/525964617,DEU_68
way/525964617,wof-DEU_85
way/525964617,DEU_84
way/525964617,wof-DEU_84
way/870598507,DEU_4
way/29084374-380,DEU_13
way/1128250707-380,DEU_17
way/952346322-380,DEU_15
DE173-220,DEU_41
way/870598507,DEU_4
way/108797675-380,DEU_57
way/870598507,DEU_4
way/136015463-225,DEU_57
way/108797675-380,DEU_38
way/108797675-380,DEU_38
way/108797675-380,DEU_38
way/952346322-380,DEU_30
way/170123812-400,DEU_49
way/952346322-380,DEU_30
way/952346322-380,DEU_31
way/952346322-380,DEU_31
way/952346322-380,DEU_15
way/108797675-380,DEU_57
way/108797675-380,DEU_57
way/68532663-220,
DE173-220,DEU_21
way/870598507,DEU_14
way/952346322-380,DEU_17
way/952346322-380,DEU_15
way/870598507,DEU_14
way/870598507,DEU_4
way/870598507,DEU_4
way/952346322-380,DEU_30
way/952346322-380,DEU_30
way/143882655-380,DEU_4
way/952346322-380,DEU_5
DE173-220,DEU_1
way/68532663-220,DEU_73
way/108797675-380,DEU_62
DE173-220,DEU_43
way/952346322-380,DEU_5
way/952346322-380,DEU_5
way/952346322-380,DEU_5
way/952346322-380,DEU_5
way/68532663-220,DEU_73
way/952346322-380,DEU_15
way/870598507,DEU_4
way/952346322-380,DEU_16
way/870598507,DEU_14
way/143882655-380,DEU_111
DE173-220,DEU_1
way/157328339-380,DEU_16
way/870598507,DEU_4
way/108797675-380,DEU_56
way/136015463-225,DEU_41
DE173-220,DEU_27
way/143882655-380,DEU_64
way/108797675-380,DEU_63
way/870598507,DEU_46
way/136015463-225,DEU_1
way/952346322-380,DEU_184
way/870598507,DEU_159
way/870598507,DEU_15
way/108797675-380,DEU_183
DE173-220,DEU_1
way/136015463-225,DEU_13
way/952346322-380,DEU_5
way/157328339-380,DEU_13
way/26472665-380,DEU_133
DE173-220,DEU_42
way/136015463-225,DEU_41
way/1128250707-380,DEU_84
way/1128250707-380,wof-DEU_84
way/525964617,DEU_84
way/525964617,wof-DEU_84
way/29084374-380,DEU_44
way/870598507,DEU_44
way/1128250707-380,DEU_163
way/952346322-380,DEU_46
way/108797675-380,DEU_56
way/952346322-380,DEU_81
way/525964617,DEU_85
way/525964617,wof-DEU_85
way/1128250707-380,DEU_175
way/952346322-380,DEU_16
way/275466323,DEU_16
way/136015463-225,DEU_27
way/952346322-380,DEU_6
way/870598507,DEU_3
way/449010725-380,DEU_70
way/449010725-380,wof-DEU_87
way/952346322-380,DEU_5
way/870598507,DEU_28
way/26472665-380,DEU_32
way/952346322-380,DEU_183
way/136015463-225,DEU_57
way/108797675-380,DEU_43
way/870598507,DEU_28
way/870598507,DEU_28
way/952346322-380,DEU_48
way/449010725-380,DEU_70
way/26472665-380,DEU_67
way/26472665-380,wof-DEU_84
way/29084374-380,DEU_127
way/136015463-225,DEU_127
way/940919943,DEU_134
way/157328339-380,DEU_28
way/136015463-225,DEU_57
way/157328339-380,DEU_4
DE173-220,DEU_21
way/136015463-225,DEU_125
way/136015463-225,DEU_141
way/870598507,DEU_144
way/1128250707-380,DEU_65
way/1128250707-380,DEU_65
way/157328339-380,DEU_98
way/870598507,DEU_144
way/68532663-220,DEU_90
way/170123812-400,DEU_175
way/1128250707-380,DEU_175
way/170123812-400,DEU_186
way/525964617,DEU_152
way/525964617,wof-DEU_149
way/136015463-225,DEU_57
DE173-220,DEU_21
DE173-220,DEU_22
way/449010725-380,DEU_70
way/449010725-380,
way/136015463-225,DEU_0
way/26472665-380,DEU_114
way/1128250707-380,DEU_67
way/1128250707-380,wof-DEU_84
DE173-220,DEU_0
way/870598507,DEU_15
way/136015463-225,DEU_57
way/952346322-380,DEU_15
way/68532663-220,
way/952346322-380,DEU_15
DE173-220,DEU_37
way/108797675-380,DEU_41
way/157328339-380,DEU_159
DE62-380,DEU_16
way/449010725-380,DEU_70
way/449010725-380,wof-DEU_87
way/870598507,DEU_28
way/870598507,DEU_144
way/136015463-225,DEU_128
way/870598507,DEU_144
way/136015463-225,DEU_41
way/26472665-380,DEU_98
way/870598507,DEU_144
way/870598507,DEU_14
way/136015463-225,DEU_158
way/29084374-380,DEU_157
way/170123812-400,DEU_187
way/170123812-400,wof-DEU_178
way/170123812-400,DEU_18
way/170123812-400,wof-DEU_20
DE173-220,DEU_21
DE173-220,DEU_22
way/870598507,
DE173-220,DEU_21
DE173-220,DEU_21
DE173-220,DEU_0
way/143882655-380,DEU_130
way/1128250707-380,DEU_18
way/275466323,DEU_118
way/275466323,wof-DEU_118
