bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country
way/43843800-220,way/43843800,220.0,f,Substation,f,way/43843800,2.8946611503924364,33.75022936603712,DZ
way/93235592-220,way/93235592,220.0,f,Substation,f,way/93235592,-1.8627064763680885,35.08654090236481,DZ
way/107574175-220,way/107574175,220.0,f,Substation,f,way/107574175,3.384622541253824,36.727049418938726,DZ
way/107614291-220,way/107614291,220.0,f,Substation,f,way/107614291,2.9674757923335107,36.73100536732483,DZ
way/107649691-220,way/107649691,220.0,f,Substation,f,way/107649691,2.849009265508319,36.53381502496576,DZ
way/107655510-220,way/107655510,220.0,f,Substation,f,way/107655510,3.07818309740576,36.72393511459493,DZ
way/172698243-220,way/172698243,220.0,f,Substation,f,way/172698243,2.5701311830610187,36.50588168836616,DZ
way/173534563-220,way/173534563,220.0,f,Substation,f,way/173534563,7.736214412704721,36.78961323581094,DZ
way/173670736-220,way/173670736,220.0,f,Substation,f,way/173670736,2.240822243891253,36.25996324705939,DZ
way/173670759-400,way/173670759,400.0,f,Substation,f,way/173670759,2.6016661393887417,36.45043368748151,DZ
way/173670759-220,way/173670759,220.0,f,Substation,f,way/173670759,2.601452303302999,36.45022329123408,DZ
way/173677993-400,way/173677993,400.0,f,Substation,f,way/173677993,-0.4722177349115499,35.72085865534521,DZ
way/173677993-220,way/173677993,220.0,f,Substation,f,way/173677993,-0.4724208012660544,35.720641427328886,DZ
way/173682343-400,way/173682343,400.0,f,Substation,f,way/173682343,-0.9008403722448672,35.089317390444094,DZ
way/173682343-220,way/173682343,220.0,f,Substation,f,way/173682343,-0.9010407233734576,35.08909911639407,DZ
way/173805804-220,way/173805804,220.0,f,Substation,f,way/173805804,-0.5707782108060194,35.20234257662964,DZ
way/173808767-220,way/173808767,220.0,f,Substation,f,way/173808767,-1.3253322107310976,34.89939165635155,DZ
way/173985842-220,way/173985842,220.0,f,Substation,f,way/173985842,-0.1923266935686089,35.76875051679011,DZ
way/174171686-220,way/174171686,220.0,f,Substation,f,way/174171686,0.1285688996108246,36.013032735377195,DZ
way/174171691-220,way/174171691,220.0,f,Substation,f,way/174171691,0.1395080298804799,35.87864963894338,DZ
way/174338940-220,way/174338940,220.0,f,Substation,f,way/174338940,0.1738276789604482,35.38502909306954,DZ
way/174342293-220,way/174342293,220.0,f,Substation,f,way/174342293,-0.278618366714227,35.53148329329986,DZ
way/174342295-220,way/174342295,220.0,f,Substation,f,way/174342295,0.5563257541463835,35.75402862501842,DZ
way/174347010-220,way/174347010,220.0,f,Substation,f,way/174347010,1.1988303328027,36.08680190123687,DZ
way/174419698-220,way/174419698,220.0,f,Substation,f,way/174419698,5.4663830799830935,36.18090029537651,DZ
way/174512286-400,way/174512286,400.0,f,Substation,f,way/174512286,6.336699596686865,36.247170830771545,DZ
way/174512286-220,way/174512286,220.0,f,Substation,f,way/174512286,6.33647575531544,36.24696897430357,DZ
way/175176155-220,way/175176155,220.0,f,Substation,f,way/175176155,6.671480942678959,36.26028728183437,DZ
way/175299043-220,way/175299043,220.0,f,Substation,f,way/175299043,6.311027707287394,36.49288984763059,DZ
way/175343993-220,way/175343993,220.0,f,Substation,f,way/175343993,6.520748479034248,36.05083661742941,DZ
way/176684982-220,way/176684982,220.0,f,Substation,f,way/176684982,5.941319808176182,36.78366924037833,DZ
way/176932212-400,way/176932212,400.0,f,Substation,f,way/176932212,6.950770991251031,36.71735436439694,DZ
way/176932220-400,way/176932220,400.0,f,Substation,f,way/176932220,6.93600386055968,36.8793655376473,DZ
