GEM location ID,bus_id
L100000406038,DZ71-400
L100000406039,way/385608518-220
L100000400814,way/694011253-400
L100000406062,DZ73-220
L100000406042,way/611220827-220
L100000406043,DZ107-220
L100001020025,way/226922540-220
L100000406044,way/226912498-400
L100000406046,way/377716686-400
L100000406047,way/107655510-220
L100000408943,way/751040071-400
L100000406048,way/637288557-220
L100000406049,way/217930454-220
L100000406045,way/383754584-400
L100000406050,way/383755661-220
L100000409313,way/380271836-220
L100000406052,DZ5-220
L100000406968,DZ88-220
L100000400818,way/1377912118-400
L100000406053,DZ1-400
L100000406054,way/533163474-220
L100000406055,way/384575278-220
L100000406056,way/381355305-220
L100000406057,DZ90-220
L100000400820,way/174171686-220
L100000406058,way/833562295-400
L100001016538,DZ128-400
L100000406059,way/569616485-400
L100000400822,DZ2-400
L100000406060,DZ102-220
L100000406061,DZ95-220
L100000406063,way/176932220-400
L100000406064,way/176932220-220
L100000408948,way/226922540-220
L100000406065,DZ113-400
L100000406066,DZ118-220
L100000406067,way/380271836-220
L100000406068,way/380271836-400
L100000406069,way/380271836-400
L100000900124,way/227962923-220
L100000800008,way/226918874-220
L100000800012,DZ133-220
L100000800013,DZ125-220
L100000800014,DZ126-220
L100000800018,way/226918874-220
L100000800100,DZ138-220
L100000800101,way/293467436-220
L100000800135,DZ149-220
L100000406051,way/380271836-220
L100001016667,way/1031851533-220
L100000800284,way/293467436-220
L100001020046,way/292110924-220
L100001020035,way/174171691-220
L100000800058,way/262778513-220
L100001020037,way/292110924-220
L100001020049,way/569616494-220
L100001020048,way/226922540-220
L100001020042,way/637266751-220
L100001020044,way/637266751-220
L100001020045,DZ150-220
L100001020040,way/637266751-220
L100001020043,way/226922540-220
L100001020039,way/833562295-400
L100000800258,way/380645355-225
L100001020047,way/1167367928-220
L100000800319,way/226922540-220
L100001020036,DZ145-220
L100000800324,DZ131-220
L100001020050,way/569616494-220
L100000800329,way/310510674-220
L100000827605,way/310510674-220
L100001020038,way/292110924-220
L100001020041,way/227962923-220
L100001020051,way/1167367928-220
L100001046011,DZ36-220
L100000604277,DZ34-220
