bus_id,grid_cell
way/173670759-400,DZA_522
way/173677993-400,DZA_304
way/173677993-400,wof-DZA_14
way/173682343-400,DZA_270
way/174512286-400,DZA_841
way/176932212-400,DZA_880
way/176932212-400,wof-DZA_77
way/176932220-400,DZA_880
way/176932220-400,wof-DZA_77
way/177004931-400,DZA_987
way/177004931-400,wof-DZA_90
way/221085150-400,DZA_602
way/226392269-400,DZA_761
way/226912498-400,DZA_915
way/359380463-400,DZA_371
way/377716686-400,DZA_485
way/377716686-400,wof-DZA_33
way/380271836-400,DZA_595
way/383754584-400,DZA_792
way/569616471-400,DZA_798
way/569616485-400,DZA_798
way/574859222-400,DZA_446
way/610844609-400,DZA_560
way/635672953-400,DZA_304
way/635672953-400,wof-DZA_14
way/694000747-400,DZA_839
way/694011250-400,DZA_842
way/694011250-400,wof-DZA_72
way/694011253-400,DZA_842
way/694011253-400,wof-DZA_72
way/751040071-400,DZA_304
way/751040071-400,wof-DZA_14
way/833562295-400,DZA_299
way/1377912118-400,DZA_877
DZ45-400,
DZ50-400,DZA_522
DZ1-400,DZA_953
DZ1-400,wof-DZA_86
DZ109-400,DZA_914
DZ72-400,DZA_562
DZ71-400,DZA_722
DZ2-400,DZA_603
DZ2-400,wof-DZA_44
DZ66-400,DZA_446
DZ65-400,DZA_446
DZ12-400,DZA_842
DZ12-400,wof-DZA_72
DZ13-400,DZA_603
DZ13-400,wof-DZA_44
DZ67-400,DZA_522
DZ108-400,DZA_914
DZ139-400,DZA_873
DZ134-400,
DZ113-400,DZA_240
DZ113-400,wof-DZA_7
DZ18-400,DZA_603
DZ18-400,wof-DZA_44
DZ99-400,DZA_304
DZ99-400,wof-DZA_14
DZ96-400,DZA_304
DZ96-400,wof-DZA_14
DZ63-400,DZA_762
DZ87-400,DZA_337
DZ87-400,wof-DZA_18
DZ128-400,DZA_949
DZ135-400,DZA_798
DZ134-400,DZA_0
DZ134-400,DZA_1
DZ134-400,DZA_2
DZ134-400,DZA_3
DZ134-400,DZA_4
DZ134-400,DZA_5
DZ134-400,DZA_6
DZ134-400,DZA_7
DZ134-400,DZA_8
DZ134-400,DZA_9
DZ134-400,DZA_10
DZ134-400,DZA_11
DZ134-400,DZA_12
DZ134-400,DZA_13
DZ134-400,DZA_14
DZ134-400,DZA_15
DZ134-400,DZA_16
DZ134-400,DZA_17
DZ134-400,DZA_18
DZ134-400,DZA_19
DZ134-400,DZA_20
DZ134-400,DZA_21
DZ134-400,DZA_22
DZ134-400,DZA_23
DZ134-400,DZA_24
DZ134-400,DZA_25
DZ134-400,DZA_26
DZ134-400,DZA_27
DZ134-400,DZA_28
DZ134-400,DZA_29
DZ134-400,DZA_30
DZ134-400,DZA_31
DZ134-400,DZA_32
DZ134-400,DZA_33
DZ134-400,DZA_34
DZ134-400,DZA_35
DZ134-400,DZA_36
DZ134-400,DZA_37
way/833562295-400,DZA_38
DZ134-400,DZA_39
DZ134-400,DZA_40
DZ134-400,DZA_41
DZ134-400,DZA_42
DZ134-400,DZA_43
DZ134-400,DZA_44
DZ134-400,DZA_45
DZ134-400,DZA_46
DZ134-400,DZA_47
way/833562295-400,DZA_48
way/833562295-400,DZA_49
way/833562295-400,DZA_50
way/833562295-400,DZA_51
DZ134-400,DZA_52
DZ134-400,DZA_53
DZ134-400,DZA_54
DZ134-400,DZA_55
DZ134-400,DZA_56
DZ134-400,DZA_57
DZ134-400,DZA_58
DZ134-400,DZA_59
way/833562295-400,DZA_60
way/833562295-400,DZA_61
way/833562295-400,DZA_62
way/833562295-400,DZA_63
way/833562295-400,DZA_64
way/833562295-400,DZA_65
