bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num
way/97721460-500,way/97721460,500.0,f,Substation,f,way/97721460,34.84219659363339,29.611438154876,EG,500.0
way/98663495-500,way/98663495,500.0,f,Substation,f,way/98663495,30.59722802295948,28.30907986611656,EG,500.0
way/99788079-220,way/99788079,220.0,f,Substation,f,way/99788079,33.92126647291401,26.766541592530075,EG,220.0
way/103998472-220,way/103998472,220.0,f,Substation,f,way/103998472,25.220446416587816,31.49673712668782,EG,220.0
way/115491527-220,way/115491527,220.0,f,Substation,f,way/115491527,32.30484446771727,26.00051538596574,EG,220.0
way/117393191-500,way/117393191,500.0,f,Substation,f,way/117393191,31.01677168530204,27.206030358361648,EG,500.0
way/120516782-220,way/120516782,220.0,f,Substation,f,way/120516782,32.31423287089044,31.09012462748613,EG,220.0
way/127261542-220,way/127261542,220.0,f,Substation,f,way/127261542,30.652818691029307,30.881699293871428,EG,220.0
way/130435119-220,way/130435119,220.0,f,Substation,f,way/130435119,33.06688890381294,24.45959212121124,EG,220.0
way/216224349-220,way/216224349,220.0,f,Substation,f,way/216224349,32.628456539528095,29.18186938788728,EG,220.0
way/218893323-220,way/218893323,220.0,f,Substation,f,way/218893323,31.060140124060265,30.10128753276105,EG,220.0
way/219295621-220,way/219295621,220.0,f,Substation,f,way/219295621,35.543314342781194,23.09168440005273,EG,220.0
way/263290997-220,way/263290997,220.0,f,Substation,f,way/263290997,31.467898886617007,22.812080513881043,EG,220.0
way/263365083-220,way/263365083,220.0,f,Substation,f,way/263365083,28.704795231110896,22.398305839350897,EG,220.0
way/1219565424-220,way/1219565424,220.0,f,Substation,f,way/1219565424,28.424524956834546,31.046614246626785,EG,220.0
