line_id,bus0,bus1,type,voltage,s_nom,length,geometry
EG_line_7,way/103998472-220,way/1219565424-220,way/103998472-220;way/1219565424-220,220.0,983.1120383760948,201535.78,
EG_line_8,way/117393191-500,way/115491527-220,way/115491527-220;way/117393191-500,500.0,10903.606243807595,187185.3349180328,
EG_line_9,way/115491527-220,way/130435119-220,way/115491527-220;way/130435119-220,500.0,5451.803121903799,159436.4424590164,
EG_line_10,way/115491527-220,way/99788079-220,way/115491527-220;way/99788079-220,220.0,983.1120383760948,156506.07,
EG_line_1,way/218893323-220,way/117393191-500,way/117393191-500;way/218893323-220,500.0,4468.691083527704,188747.73,
EG_line_11,way/263365083-220,way/117393191-500,way/117393191-500;way/263365083-220,220.0,983.1120383760948,377992.07,
EG_line_12,way/98663495-500,way/117393191-500,way/117393191-500;way/98663495-500,500.0,5451.803121903799,130778.25655737706,
EG_line_14,way/127261542-220,way/120516782-220,way/120516782-220;way/127261542-220,500.0,2234.345541763852,230438.93,
EG_line_4,way/218893323-220,way/120516782-220,way/120516782-220;way/218893323-220,500.0,7418.027198655988,48618.01192771084,
EG_line_17,way/127261542-220,way/1219565424-220,way/1219565424-220;way/127261542-220,220.0,1966.2240767521896,71389.31,
EG_line_6,way/127261542-220,way/218893323-220,way/127261542-220;way/218893323-220,500.0,6434.915160279893,64274.61513888889,
EG_line_20,way/130435119-220,way/219295621-220,way/130435119-220;way/219295621-220,220.0,983.1120383760948,326694.12,
EG_line_21,way/263290997-220,way/130435119-220,way/130435119-220;way/263290997-220,500.0,5451.803121903799,229377.03393442623,
EG_line_23,way/216224349-220,way/218893323-220,way/216224349-220;way/218893323-220,220.0,1966.2240767521896,31248.745,
EG_line_24,way/98663495-500,way/216224349-220,way/216224349-220;way/98663495-500,500.0,4468.691083527704,257880.93,
EG_line_25,way/216224349-220,way/99788079-220,way/216224349-220;way/99788079-220,220.0,1966.2240767521896,115081.76,
EG_line_31,way/218893323-220,way/97721460-500,way/218893323-220;way/97721460-500,500.0,2234.345541763852,244292.86,
EG_line_3,way/98663495-500,way/218893323-220,way/218893323-220;way/98663495-500,500.0,9920.494205431503,91786.4245045045,
EG_line_29,way/219295621-220,way/99788079-220,way/219295621-220;way/99788079-220,220.0,983.1120383760948,286875.08,
EG_line_30,way/263365083-220,way/263290997-220,way/263290997-220;way/263365083-220,220.0,983.1120383760948,343167.28,
EG_line_32,way/99788079-220,way/97721460-500,way/97721460-500;way/99788079-220,220.0,983.1120383760948,146520.3,
