GEM location ID,bus_id
L100000400867,way/115491527-220
L100000400870,way/218893323-220
L100000406913,way/127261542-220
L100000406914,way/127261542-220
L100000406915,way/127261542-220
L100000406104,way/218893323-220
L100000406102,way/218893323-220
L100000406101,way/127261542-220
L100000406100,way/218893323-220
L100000406099,way/120516782-220
L100000406098,way/218893323-220
L100000406097,way/127261542-220
L100000406096,way/218893323-220
L100000406105,way/127261542-220
L100000408274,way/127261542-220
L100000406091,way/218893323-220
L100000408272,way/127261542-220
L100000406090,way/127261542-220
L100000406088,way/218893323-220
L100000406087,way/218893323-220
L100000406086,way/127261542-220
L100000406083,way/127261542-220
L100000406082,way/218893323-220
L100000408273,way/120516782-220
L100000406041,way/120516782-220
L100000408281,way/120516782-220
L100000406109,way/120516782-220
L100000406040,way/127261542-220
L100000406108,way/218893323-220
L100000406837,way/218893323-220
L100000406080,way/218893323-220
L100000406079,way/127261542-220
L100000406078,way/218893323-220
L100000406077,way/218893323-220
L100000406076,way/218893323-220
L100000408275,way/218893323-220
L100000406917,way/117393191-500
L100000406075,way/117393191-500
L100000406074,way/218893323-220
L100000406073,way/218893323-220
L100000406072,way/218893323-220
L100000408285,way/127261542-220
L100000406071,way/127261542-220
L100000406918,way/218893323-220
L100000407982,way/120516782-220
L100000408284,way/127261542-220
L100000409001,way/218893323-220
L100000500092,way/1219565424-220
L100000601561,way/130435119-220
L100000601562,way/130435119-220
L100000601563,way/130435119-220
L100000601564,way/115491527-220
L100000601565,way/218893323-220
L100000800003,way/130435119-220
L100000800006,way/130435119-220
L100000800015,way/218893323-220
L100000800023,way/218893323-220
L100000800025,way/130435119-220
L100000800034,way/130435119-220
L100000800035,way/130435119-220
L100000800036,way/130435119-220
L100000800038,way/130435119-220
L100000800039,way/130435119-220
L100000800041,way/130435119-220
L100000800043,way/130435119-220
L100000800045,way/130435119-220
L100000800046,way/130435119-220
L100000800048,way/130435119-220
L100000800049,way/130435119-220
L100000800050,way/130435119-220
L100000800051,way/130435119-220
L100000800052,way/130435119-220
L100000800053,way/130435119-220
L100000800054,way/130435119-220
L100000800136,way/99788079-220
L100000800179,way/130435119-220
L100000800180,way/130435119-220
L100000800303,way/103998472-220
L100000800314,way/219295621-220
L100000800350,way/127261542-220
L100000800355,way/216224349-220
L100000811580,way/130435119-220
L100000811581,way/218893323-220
L100000811582,way/218893323-220
L100000811583,way/218893323-220
L100000811584,way/218893323-220
L100000811585,way/218893323-220
L100000811586,way/218893323-220
L100000811587,way/127261542-220
L100000811588,way/130435119-220
L100000811590,way/218893323-220
L100000811591,way/99788079-220
L100000811592,way/218893323-220
L100000811593,way/218893323-220
L100000811594,way/218893323-220
L100000811596,way/218893323-220
L100000827624,way/218893323-220
L100000827625,way/99788079-220
L100000827626,way/1219565424-220
L100000827627,way/218893323-220
L100000827628,way/130435119-220
L100000827629,way/130435119-220
L100000827630,way/219295621-220
L100000827631,way/130435119-220
L100000827632,way/99788079-220
L100000827633,way/218893323-220
L100000827634,way/263290997-220
L100000827635,way/127261542-220
L100000900003,way/216224349-220
L100000900026,way/216224349-220
L100000900035,way/216224349-220
L100000900044,way/216224349-220
L100000900045,way/99788079-220
L100000916609,way/218893323-220
L100000916610,way/218893323-220
L100000916611,way/218893323-220
L100000916613,way/218893323-220
L100000916614,way/218893323-220
L100000900062,way/117393191-500
L100000921986,way/1219565424-220
L100000921987,way/218893323-220
L100000921988,way/216224349-220
L100000921989,way/216224349-220
L100000921990,way/216224349-220
L100000921991,way/130435119-220
L100000921992,way/115491527-220
L100001016807,way/120516782-220
L100001016808,way/120516782-220
L100001016809,way/98663495-500
L100001016810,way/98663495-500
L100001016812,way/218893323-220
L100001016813,way/218893323-220
L100001017968,way/218893323-220
L100001017973,way/218893323-220
L100001019987,way/120516782-220
L100001020850,way/117393191-500
L100001020851,way/117393191-500
L100001020852,way/218893323-220
L100001020853,way/98663495-500
L100001020854,way/120516782-220
L100001020855,way/218893323-220
L100001020856,way/99788079-220
L100001020857,way/219295621-220
L100001020858,way/219295621-220
L100001020859,way/130435119-220
L100001020860,way/98663495-500
L100001020861,way/127261542-220
L100001020862,way/127261542-220
L100001020863,way/218893323-220
L100001020864,way/99788079-220
L100001020865,way/127261542-220
L100001020866,way/219295621-220
L100001020867,way/117393191-500
L100001020868,way/127261542-220
L100001020869,way/127261542-220
L100001020870,way/99788079-220
L100001023023,way/115491527-220
L100001046013,way/115491527-220
L100001047164,way/115491527-220
L100001047171,way/218893323-220
