bus_id,grid_cell
way/218893323-220,EGY_301
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_85
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_85
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_84
way/120516782-220,EGY_369
way/120516782-220,wof-EGY_96
way/120516782-220,EGY_347
way/218893323-220,EGY_302
way/218893323-220,EGY_279
way/120516782-220,EGY_348
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/97721460-500,EGY_445
way/97721460-500,wof-EGY_135
way/97721460-500,EGY_446
way/97721460-500,EGY_446
way/218893323-220,EGY_279
way/218893323-220,EGY_277
way/98663495-500,EGY_253
way/218893323-220,EGY_255
way/218893323-220,EGY_279
way/99788079-220,EGY_404
way/99788079-220,wof-EGY_111
way/99788079-220,EGY_404
way/99788079-220,wof-EGY_110
way/218893323-220,EGY_301
way/218893323-220,EGY_301
way/218893323-220,EGY_323
way/103998472-220,EGY_21
way/103998472-220,wof-EGY_0
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_84
way/218893323-220,EGY_346
way/218893323-220,wof-EGY_85
way/120516782-220,EGY_346
way/263290997-220,EGY_330
way/115491527-220,EGY_336
way/115491527-220,EGY_336
way/115491527-220,EGY_357
way/117393191-500,EGY_294
way/117393191-500,EGY_272
way/117393191-500,EGY_273
way/117393191-500,EGY_273
way/117393191-500,EGY_273
way/98663495-500,EGY_274
way/218893323-220,EGY_300
way/218893323-220,EGY_300
way/218893323-220,EGY_279
way/218893323-220,EGY_277
way/218893323-220,EGY_322
way/218893323-220,EGY_322
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/120516782-220,EGY_347
way/120516782-220,EGY_326
way/120516782-220,wof-EGY_77
way/120516782-220,EGY_325
way/120516782-220,wof-EGY_76
way/120516782-220,EGY_324
way/218893323-220,EGY_324
way/127261542-220,EGY_237
way/127261542-220,wof-EGY_46
way/127261542-220,EGY_216
way/1219565424-220,EGY_109
way/127261542-220,EGY_281
way/127261542-220,EGY_281
way/127261542-220,EGY_259
way/127261542-220,EGY_259
way/127261542-220,EGY_258
way/218893323-220,EGY_280
way/218893323-220,EGY_301
way/218893323-220,EGY_280
way/218893323-220,EGY_301
way/218893323-220,EGY_277
way/218893323-220,EGY_300
way/130435119-220,EGY_355
way/115491527-220,EGY_314
way/216224349-220,EGY_343
way/216224349-220,wof-EGY_83
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/127261542-220,EGY_237
way/127261542-220,wof-EGY_52
way/127261542-220,EGY_237
way/127261542-220,wof-EGY_52
way/127261542-220,EGY_237
way/127261542-220,wof-EGY_52
way/127261542-220,EGY_238
way/127261542-220,wof-EGY_52
way/120516782-220,EGY_348
way/99788079-220,EGY_426
way/99788079-220,wof-EGY_122
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_84
way/115491527-220,EGY_358
way/263290997-220,EGY_306
way/120516782-220,EGY_347
way/216224349-220,EGY_385
way/216224349-220,wof-EGY_103
way/216224349-220,EGY_386
way/216224349-220,wof-EGY_104
way/216224349-220,EGY_366
way/216224349-220,EGY_343
way/216224349-220,wof-EGY_83
way/218893323-220,EGY_301
way/218893323-220,EGY_279
way/218893323-220,EGY_279
way/218893323-220,EGY_412
way/127261542-220,EGY_237
way/127261542-220,EGY_237
way/127261542-220,EGY_258
way/127261542-220,EGY_258
way/127261542-220,EGY_259
way/127261542-220,EGY_259
way/127261542-220,EGY_281
way/127261542-220,EGY_282
way/219295621-220,EGY_449
way/219295621-220,wof-EGY_137
way/130435119-220,EGY_355
way/218893323-220,EGY_301
way/218893323-220,EGY_301
way/218893323-220,EGY_279
way/263290997-220,EGY_285
way/263290997-220,EGY_285
way/263365083-220,EGY_155
way/117393191-500,EGY_204
way/127261542-220,EGY_195
way/99788079-220,EGY_426
way/99788079-220,wof-EGY_122
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_84
way/117393191-500,EGY_225
way/115491527-220,EGY_315
way/216224349-220,EGY_385
way/216224349-220,wof-EGY_102
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/218893323-220,EGY_345
way/218893323-220,wof-EGY_84
way/218893323-220,EGY_323
way/218893323-220,EGY_302
way/218893323-220,EGY_303
way/120516782-220,EGY_413
way/120516782-220,wof-EGY_114
way/127261542-220,EGY_258
way/218893323-220,EGY_302
way/218893323-220,EGY_302
way/218893323-220,EGY_279
way/218893323-220,EGY_301
way/216224349-220,EGY_363
way/216224349-220,wof-EGY_92
way/216224349-220,EGY_363
way/216224349-220,wof-EGY_92
way/218893323-220,EGY_276
way/98663495-500,EGY_254
way/98663495-500,EGY_254
way/218893323-220,EGY_299
way/218893323-220,EGY_323
way/218893323-220,EGY_323
way/117393191-500,EGY_273
way/117393191-500,EGY_273
way/127261542-220,EGY_281
way/218893323-220,EGY_299
way/127261542-220,EGY_237
way/127261542-220,wof-EGY_52
way/218893323-220,EGY_301
way/130435119-220,EGY_354
way/130435119-220,EGY_354
way/130435119-220,EGY_354
way/130435119-220,EGY_355
way/130435119-220,EGY_354
way/127261542-220,EGY_282
way/127261542-220,wof-EGY_66
way/218893323-220,EGY_301
way/218893323-220,EGY_323
way/218893323-220,EGY_303
way/218893323-220,EGY_303
way/127261542-220,EGY_216
way/218893323-220,EGY_299
way/218893323-220,EGY_299
way/218893323-220,EGY_321
way/218893323-220,EGY_323
way/99788079-220,EGY_424
way/99788079-220,wof-EGY_118
way/120516782-220,EGY_346
way/216224349-220,EGY_344
way/216224349-220,wof-EGY_83
way/216224349-220,EGY_364
way/216224349-220,wof-EGY_92
way/216224349-220,EGY_363
way/216224349-220,wof-EGY_92
way/216224349-220,EGY_363
way/216224349-220,wof-EGY_92
way/115491527-220,EGY_358
way/115491527-220,EGY_358
way/115491527-220,EGY_336
way/115491527-220,EGY_336
way/218893323-220,EGY_256
way/218893323-220,EGY_257
way/218893323-220,EGY_257
way/216224349-220,EGY_363
way/127261542-220,EGY_258
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/263365083-220,EGY_133
way/218893323-220,EGY_344
way/218893323-220,wof-EGY_84
way/115491527-220,EGY_315
way/115491527-220,EGY_315
way/219295621-220,EGY_451
way/219295621-220,wof-EGY_139
way/99788079-220,EGY_405
way/99788079-220,wof-EGY_111
way/1219565424-220,EGY_174
way/1219565424-220,wof-EGY_32
