bus0,bus1,voltage,s_nom,r,x,b,length,type
way/965347086-220,ES198-220,220,491.556,0.614842,3.084458,4.02e-05,10247.37,Al/St 240/40 2-bundle 220.0
ES195-220,way/1027086227-220,220,491.556,0.431472,2.164551,2.82e-05,7191.2,Al/St 240/40 2-bundle 220.0
way/1038373182-220,way/43797051-220,220,983.112,0.246218,1.235193,6.45e-05,8207.26,Al/St 240/40 2-bundle 220.0
way/140781473-220,way/103511952-220,220,491.556,5.815835,29.176108,0.00038065,96930.59,Al/St 240/40 2-bundle 220.0
way/75606778-220,ES163-220,220,491.556,0.87616,4.395401,5.73e-05,14602.66,Al/St 240/40 2-bundle 220.0
way/84526032-400,way/1054312727-400,400,1787.476,0.231329,1.896901,3.34e-05,7710.98,Al/St 240/40 4-bundle 380.0
way/1255236015-220,ES135-220,220,491.556,2.81126,14.103156,0.000184,46854.34,Al/St 240/40 2-bundle 220.0
ES116-220,way/181906370-220,220,491.556,0.528244,2.650025,3.46e-05,8804.07,Al/St 240/40 2-bundle 220.0
ES127-220,way/48310486-220,220,491.556,1.776743,8.913329,0.00011629,29612.39,Al/St 240/40 2-bundle 220.0
way/74384031-220,ES127-220,220,491.556,2.996729,15.033592,0.00019614,49945.49,Al/St 240/40 2-bundle 220.0
ES165-220,way/586348408-220,220,983.112,0.093805,0.470586,2.46e-05,3126.82,Al/St 240/40 2-bundle 220.0
ES18-220,way/43842955-220,220,491.556,0.093051,0.466806,6.09e-06,1550.85,Al/St 240/40 2-bundle 220.0
way/73511619-400,way/701397734-400,400,1787.476,0.881233,7.226112,0.00012735,29374.44,Al/St 240/40 4-bundle 380.0
way/73511619-220,way/701397734-220,220,491.556,1.762397,8.841357,0.00011535,29373.28,Al/St 240/40 2-bundle 220.0
ES73-400,way/47842260-400,400,1787.476,5.693512,46.686802,0.00082279,189783.75,Al/St 240/40 4-bundle 380.0
way/283348372-400,ES203-400,400,1787.476,0.968113,7.938526,0.00013991,32270.43,Al/St 240/40 4-bundle 380.0
ES288-220,ES285-220,220,491.556,0.489098,2.453641,3.2e-05,8151.63,Al/St 240/40 2-bundle 220.0
way/60351390-220,way/33771314-220,220,491.556,1.32229,6.633486,8.65e-05,22038.16,Al/St 240/40 2-bundle 220.0
