GEM location ID,bus_id
L100000500113,relation/17148268-220
L100000500115,way/145302700-220
L100000500081,ES302-400
L100000500105,way/226363063-220
L100000500114,ES199-400
L100000200229,way/191485195-400
L100000200230,way/108312093-220
L100000201204,way/170433617-220
L100000200239,way/189184555-400
L100000201205,way/145466009-220
L100000103500,way/1243143644-220
L100000201207,ES293-400
L100000201208,way/109788663-220
L100000201209,way/173190939-220
L100000200300,way/81409681-220
L100000201211,way/196478732-220
L100000103499,ES3-220
L100000400644,way/170671537-220
L100000400645,way/170671537-220
L100000400646,way/260018670-400
L100000103515,ES268-220
L100000400648,way/1240967180-400
L100000400649,way/144487932-400
L100001007567,way/403150976-220
L100000400652,way/88760627-400
L100000103513,way/187645709-400
L100000103493,way/1262722037-220
L100000400655,way/223207745-400
L100000400656,ES168-220
L100000408759,way/1002151700-220
L100000400657,way/38674256-220
L100000400658,way/38674256-220
L100000400659,way/38674256-220
L100000407782,way/108312093-220
L100000401420,way/143044526-220
L100000400660,way/1262722037-220
L100000408758,way/403150976-220
L100000400662,way/144915438-400
L100000400665,ES340-220
L100000400666,way/90829734-400
L100000400670,ES257-400
L100000407939,ES257-400
L100000400672,way/127787669-400
L100000400673,ES202-220
L100000408757,ES384-400
L100000407614,way/403150976-220
L100000400674,way/170433606-220
L100000400675,way/144116982-220
L100000407783,way/144915438-400
L100000400676,way/144915438-400
L100000408756,way/264348139-220
L100000400679,way/196526411-220
L100000400680,way/169867109-400
L100001025628,way/169867119-400
L100000400682,way/144915428-400
L100000400683,way/172872714-220
L100000400684,ES242-220
L100000408755,way/44716497-220
L100000407785,way/338683860-220
L100000400685,way/181621073-220
L100000408754,way/403150976-220
L100001007570,way/403150976-220
L100000407613,way/196207063-220
L100000408753,way/1002151700-220
L100000408752,way/158904215-220
L100000408751,way/1002151700-220
L100000408750,way/403150976-220
L100000400686,ES250-400
L100000400687,way/528721624-220
L100000408749,ES268-220
L100000400688,ES368-220
L100000400689,way/75619319-220
L100000408890,way/766063119-220
L100000400690,way/364748213-220
L100000400691,ES146-220
L100000400692,way/215806463-220
L100000400693,way/189184555-400
L100000400694,way/145337070-220
L100000400695,way/170424455-220
L100000407786,ES242-220
L100000400698,ES199-400
L100000400700,way/190249507-220
L100000400701,way/76353093-220
L100000408747,ES317-220
L100000400703,way/1002151700-220
L100000400705,way/338683860-220
L100000407781,way/144915438-400
L100000400706,way/169703139-220
L100000400707,way/172454609-220
L100000400708,way/77654729-400
L100000407787,way/143207686-220
L100000400711,ES383-220
L100000400712,ES383-220
L100000407784,way/1262722037-220
L100000401440,way/169729505-400
L100000400713,ES12-400
L100000400714,ES328-220
L100000400715,way/291666290-220
L100000401419,way/81409681-220
L100000103503,way/43842955-400
L100000400718,way/169722563-220
L100000408746,way/264348139-220
L100000400719,ES199-220
L100000407780,way/131323212
L100000407619,ES140-220
L100000103495,way/1262722032-400
L100000907766,way/46619201-220
L100000907767,way/1002151700-220
L100000907771,way/1020710695-220
L100000907776,ES272-220
L100000907798,way/144312481-220
L100000907826,way/223207745-400
L100000907827,way/145618131-220
L100000907828,way/775256181-220
L100000907841,way/1002151700-220
L100000907855,way/48467553-220
L100000907874,way/403150976-220
L100000907967,ES146-220
L100000908006,ES379-220
L100000908007,way/191210664-220
L100000908014,way/1002151700-220
L100000908039,way/144312477-220
L100000908046,way/86512030-220
L100000908081,way/187645709-400
L100000908090,way/98127909-220
L100000908093,ES103-220
L100000908115,way/220179629-220
L100000908140,ES126-400
L100000908147,way/169883205-400
L100000908165,way/340101879-220
L100000908215,way/191095881-220
L100000908224,way/144942113-400
L100000908463,way/215806463-220
L100000908472,way/48310486-220
L100000908473,way/98603324-400
L100000908476,way/46619201-220
L100000908484,way/187645709-400
L100000908485,way/144297426-220
L100000908487,way/1153834517-400
L100000908500,way/403150976-220
L100000908507,way/187645709-400
L100000908517,way/181912569-220
L100000908526,way/190236352-400
L100000908539,way/52516392-400
L100000908540,way/52516392-400
L100000908543,way/403150976-220
L100000908559,way/144297377-220
L100000908707,way/144941889-400
L100000908708,ES157-220
L100000908714,way/170014037-400
L100000908735,way/283348372-400
L100000908797,ES71-220
L100000908805,way/1312242525-220
L100000908819,way/73683435-220
L100000908861,way/73683435-220
L100000908862,way/187830917-220
L100000908863,way/144931782-400
L100000908872,way/147559314-220
L100000908880,way/181912569-400
L100000909023,relation/17444204-400
L100000909025,way/144941889-400
L100000909026,way/98603324-400
L100000909028,way/98127909-220
L100000909037,way/340101878-220
L100000909050,way/210411778-220
L100000909060,way/98603324-400
L100000909064,way/145618131-220
L100000909078,ES196-400
L100000909156,way/140781473-220
L100000909192,way/98127909-220
L100000909193,way/170424446-400
L100000909195,way/172872714-220
L100000909240,ES140-220
L100000909255,ES197-400
L100000909256,way/103158873-220
L100000909260,ES96-220
L100000909279,way/1266061513-220
L100000909370,way/528721624-220
L100000909444,ES140-220
L100000909498,way/181912569-400
L100000909506,way/403150976-220
L100000909508,way/170138597-220
L100000909519,ES199-220
L100000909522,way/170138597-220
L100000909523,ES199-220
L100000909527,way/187830917-220
L100000909529,way/46106589-220
L100000909554,way/190236352-400
L100000909572,way/170156684-220
L100000909575,way/187830917-220
L100000909578,ES381-220
L100000909585,way/108312093-220
L100000909586,way/169883205-400
L100000909587,way/144941889-400
L100000909588,way/217979941-220
L100000909599,ES63-220
L100000909615,way/98127909-220
L100000909620,way/187645709-400
L100000909622,way/74384031-220
L100000909630,way/75902880-220
L100000909633,way/187645709-400
L100000909646,ES121-220
L100000909652,ES97-400
L100000909653,way/144306676-220
L100000909806,ES62-220
L100000909811,way/171433651-220
L100000909829,way/126881765-400
L100000909831,ES23-400
L100000909832,way/513869641-220
L100000909837,way/215806463-220
L100000909838,way/108312093-220
L100000909839,way/782365013-220
L100000909849,way/51247251-400
L100000909850,way/144941889-400
L100000909890,way/73683435-220
L100000909894,way/98603324-400
L100000909920,way/144940509-400
L100000909922,way/48467553-220
L100000909931,way/169883205-400
L100000909955,way/207915691-220
L100000909956,way/187645709-400
L100000909957,way/60063660-400
L100000909970,way/144312479-220
L100000909971,way/140743482-220
L100000909973,ES180-400
L100000909985,way/222885175-220
L100000909996,ES96-220
L100000910003,way/772400244-400
L100000910011,way/108312093-220
L100000910013,way/965918883-220
L100000910014,way/46172375-220
L100000910015,way/170138196-220
L100000910016,way/965918883-220
L100000910053,way/143207685-400
L100000910145,way/187645709-400
L100000910150,way/283348372-400
L100000910156,way/181912569-220
L100000910184,way/327135068-220
L100000910186,way/51247251-400
L100000910187,ES315-400
L100000910206,way/1266061515-220
L100000910217,way/170479580-400
L100000910218,way/170156684-220
L100000910219,ES359-220
L100000910220,way/1266061513-220
L100000910230,way/126881765-400
L100000910235,way/675714143-400
L100000910276,ES177-220
L100000910277,ES53-220
L100000910278,way/283348372-400
L100000910279,way/1266081844-400
L100000910280,way/170156684-220
L100000910281,way/181917947-220
L100000910283,way/158904215-220
L100000910287,way/215806463-220
L100000910294,way/1266081844-400
L100000910300,way/169883205-400
L100000910312,way/626886449-400
L100000910330,way/283348372-400
L100000910340,way/98603324-400
L100000910341,way/49252090-220
L100000910346,ES54-400
L100000910359,way/172872714-220
L100000910369,ES121-220
L100000910370,relation/6329325-220
L100000910373,ES140-220
L100000910375,way/145326592-220
L100000910389,ES356-220
L100000910390,way/109788663-220
L100000910421,way/283348372-400
L100000910497,way/170138597-220
L100000910524,way/51247251-400
L100000910525,way/49252090-220
L100000910526,way/98603324-400
L100000910529,way/52516392-400
L100000910537,way/145823172-220
L100000910553,way/403150976-220
L100000910569,way/98603324-400
L100000910570,way/384888518-220
L100000910582,ES379-220
L100000910584,ES360-400
L100000910592,way/808388334-220
L100000910603,way/170140947-220
L100000910617,way/217745445-400
L100000910618,ES180-400
L100000910622,way/1002151700-220
L100000910642,way/419408372-220
L100000910644,way/145330286-220
L100000910655,ES175-220
L100000910663,way/403150976-220
L100000910672,way/187830917-220
L100000910673,way/283348372-400
L100000910676,way/108259909-220
L100000910687,way/98603324-400
L100000910785,way/403150976-220
L100000910797,way/173190939-220
L100000910803,way/108312093-220
L100000910806,way/144312477-220
L100000910811,way/170138196-220
L100000910813,way/403150976-220
L100000910819,way/832323313-220
L100000910845,way/1266081844-400
L100000910846,way/170424446-400
L100000910847,way/46619201-220
L100000910852,way/340101878-220
L100000910854,way/172454609-220
L100000910858,way/1153834517-400
L100000910874,way/169883205-400
L100000910875,way/108312093-220
L100000910896,way/144312477-220
L100000910901,way/1002151700-220
L100000910904,way/49252090-220
L100000910973,way/60340351-220
L100000910977,ES137-220
L100000910982,way/403150976-220
L100000910994,way/190236352-400
L100000911004,way/144297421-220
L100000911006,ES178-220
L100000911008,way/170272140-400
L100000911009,way/144297438-220
L100000911017,way/403150976-220
L100000911020,way/144312477-220
L100000911022,way/1218840771-400
L100000911038,ES40-400
L100000911039,way/27668869-220
L100000911040,relation/17444204-400
L100000911041,way/170138196-220
L100000911061,way/513869641-220
L100000911119,ES364-220
L100000911120,ES14-400
L100000911121,way/403150976-220
L100000911127,way/108259909-220
L100000911143,way/48467553-220
L100000911148,way/98603324-400
L100000911155,ES196-400
L100000911170,way/158904215-220
L100000911172,way/1002151700-220
L100000911180,ES97-400
L100000911186,way/73511619-400
L100000911187,way/187830917-220
L100000911188,relation/17444204-400
L100000911190,way/1237353930-220
L100000911220,ES122-220
L100000911221,way/207915691-220
L100000911229,way/169883205-400
L100000911231,way/189184531-400
L100000911232,way/1027086226-220
L100000911233,way/109788663-220
L100000911239,way/187645709-400
L100000911264,way/147559314-220
L100000911265,ES97-400
L100000911272,way/108259909-220
L100000911273,ES302-400
L100000911354,way/169883205-400
L100000911360,way/51824074-220
L100000911363,way/181917947-220
L100000911367,way/145823171-220
L100000911376,ES123-220
L100000911377,way/169883205-400
L100000911378,ES37-400
L100000911380,ES178-220
L100000911381,way/187830917-220
L100000911386,way/187645709-400
L100000911387,way/169883205-400
L100000911390,way/144312479-220
L100000911394,way/109788663-220
L100000911396,ES170-400
L100000911397,way/109788663-220
L100000911403,way/144312479-220
L100000911471,way/675714143-400
L100000911472,ES53-220
L100000911473,way/683693772-400
L100000911480,way/144941889-400
L100000911491,ES5-400
L100000911502,way/169883205-400
L100000911505,way/187645709-400
L100000911519,way/256334221
L100000911521,ES360-400
L100000911533,way/190236352-400
L100000911534,ES141-220
L100000911535,way/1266081844-220
L100000911536,ES178-220
L100000911538,way/98603324-400
L100000911539,ES232-220
L100000911540,ES69-220
L100000911541,way/118641117-220
L100000911542,way/170138196-220
L100000911549,way/169883205-400
L100000911559,way/144306676-220
L100000911572,ES195-220
L100000911577,way/144297423-220
L100000911603,way/73683435-220
L100000911604,way/98603324-400
L100000911611,way/143207685-400
L100000911612,way/98127909-220
L100000911618,way/1002151700-220
L100000911619,way/1002151700-220
L100000911620,way/340101879-220
L100000911623,way/513869641-220
L100000911624,way/194101137-220
L100000911628,way/1266081844-400
L100000911646,way/169883205-400
L100000911660,way/219408050-220
L100000911663,way/98603324-400
L100000911667,way/965347086-220
L100000911692,way/140781473-220
L100000911694,way/675714143-400
L100000911695,way/219408050-220
L100000911696,way/190236352-400
L100000911699,way/1172185252-400
L100000911722,way/453378204-220
L100000911724,way/144233436-220
L100000911726,ES69-220
L100000911739,way/219408050-220
L100000911802,way/158904215-220
L100000911805,way/98603324-400
L100000911807,way/1153834517-400
L100000911832,way/775256181-220
L100000911836,way/1316657449-220
L100000911845,way/98603324-400
L100000911848,way/108312093-220
L100000911849,ES109-220
L100000911851,way/108312093-220
L100000911865,way/403150976-220
L100000911886,way/260018670-400
L100000911887,way/1153834517-400
L100000911889,way/187645709-400
L100000911894,way/89084456-220
L100000911895,way/965351154-220
L100000911898,ES294-220
L100000911903,way/187645709-400
L100000911917,way/189184555-400
L100000911918,ES139-220
L100000911919,ES103-220
L100000911930,way/169883205-400
L100000911931,way/169883205-400
L100000911942,way/190236352-400
L100000911948,way/1266081844-220
L100000911957,way/1153834517-400
L100000912014,way/144312479-220
L100000912018,ES85-220
L100000912032,ES302-400
L100000912033,way/170138597-220
L100000912034,way/60340351-220
L100000912038,way/169883205-400
L100000912039,way/145316518-220
L100000912046,way/61046626-220
L100000912047,way/219408050-220
L100000912050,way/144312477-220
L100000912076,way/340101879-220
L100000912079,way/182260861-220
L100000912081,ES63-220
L100000912082,way/222885175-220
L100000912083,way/1266109989-400
L100000912095,way/1031589976-220
L100000912096,way/191095881-220
L100000912099,way/144312477-220
L100000912105,way/140743482-220
L100000912106,way/169883205-400
L100000912107,ES97-400
L100000912124,way/487381592-400
L100000912125,way/675714143-400
L100000912196,way/170142091-220
L100000912200,way/170138597-220
L100000912202,way/187645709-400
L100000912203,way/187645709-400
L100000912208,way/1316657449-220
L100000912209,way/196533207-220
L100000912210,way/1266081844-220
L100000912211,way/85817084-400
L100000912234,relation/17444204-400
L100000912236,ES378-220
L100000912242,way/187645709-400
L100000912250,way/965347086-220
L100000912257,way/169883205-400
L100000912260,way/51247251-400
L100000912262,way/283348372-400
L100000912269,way/398913918-220
L100000912273,way/144942113-400
L100000912289,way/187645709-400
L100000912290,way/144942113-400
L100000912327,way/49252090-220
L100000912328,way/182260861-220
L100000912332,way/158959475-220
L100000912352,way/190236352-400
L100000912353,ES142-220
L100000912355,way/144941889-400
L100000912356,way/828193563-220
L100000912358,way/187645709-400
L100000912361,way/144942113-400
L100000912365,way/169883205-400
L100000912367,way/108312093-220
L100000912375,way/181912569-400
L100000912376,way/98603324-400
L100000912377,way/97851756-220
L100000912378,way/108259909-220
L100000912379,ES89-220
L100000912380,way/666476490-220
L100000912382,way/115680075-400
L100000912386,way/187645709-400
L100000912387,way/169883205-400
L100000912388,way/187645709-400
L100000912390,way/1266081844-220
L100000912435,way/495050398-220
L100000912436,way/1266081844-220
L100000912437,way/60063660-400
L100000912439,way/1266061515-220
L100000912442,ES305-220
L100000912453,way/1263526773-220
L100000912454,way/1316657449-220
L100000912455,way/1002151700-220
L100000912456,way/60340351-220
L100000912457,way/144931782-400
L100000912463,way/126881765-400
L100000912469,way/144312477-220
L100000912473,ES140-220
L100000912475,way/187645709-400
L100000912479,way/187645709-400
L100000912481,way/340101879-220
L100000912484,way/144306676-220
L100000912489,way/187645709-400
L100000912492,way/189184531-400
L100000912493,way/457010443-220
L100000912494,way/60340351-220
L100000912495,way/60340351-220
L100000912496,way/60340351-220
L100000912499,ES40-400
L100000912500,way/144942113-400
L100000912501,ES202-220
L100000912503,way/190236352-400
L100000912508,way/417624897-220
L100000912515,way/1266081844-220
L100000912516,relation/17444204-400
L100000912521,way/144297426-220
L100000912524,ES282-220
L100000912525,ES48-220
L100000912534,way/144941889-400
L100000912542,way/215806463-220
L100000912544,way/71531354-400
L100000912550,way/832323313-220
L100000912551,way/144312477-220
L100000912580,way/144312479-220
L100000912582,way/143207685-400
L100000912583,way/965918883-220
L100000912594,way/187645709-400
L100000912596,way/203623276-220
L100000912599,way/108312093-220
L100000912610,way/965347086-220
L100000912611,way/528721624-220
L100000912612,way/145823171-220
L100000912618,way/108312093-220
L100000912621,way/158904215-220
L100000912638,way/49252090-220
L100000912640,way/49252090-220
L100000912641,way/181912569-220
L100000912643,way/191210664-220
L100000912646,way/46172375-220
L100000912652,way/144941889-400
L100000912654,way/215806463-220
L100000912656,way/384888518-220
L100000912660,way/203623276-220
L100000912663,way/108312093-220
L100000912665,way/52516392-400
L100000912671,way/73683435-220
L100000912683,way/108312093-220
L100000912684,way/93387439-220
L100000912685,way/52516392-400
L100000912688,way/181912569-400
L100000912689,ES85-220
L100000912691,way/169883205-400
L100000912692,way/187645709-400
L100000912697,way/215806463-220
L100000912748,way/181912569-400
L100000912761,way/170395478-220
L100000912762,way/1277630152-220
L100000912763,way/364748213-220
L100000912764,way/845179231-400
L100000912769,way/153232112-400
L100000912777,way/1316657449-220
L100000912778,way/766063119-220
L100000912779,ES381-220
L100000912780,way/51824074-220
L100000912785,ES196-400
L100000912789,way/61046626-220
L100000912795,way/222885175-220
L100000912797,ES326-400
L100000912803,way/74384031-400
L100000912806,ES138-220
L100000912808,way/51824074-220
L100000912813,ES46-220
L100000912817,way/61046626-220
L100000912832,way/169882238-220
L100000912835,way/144942113-400
