bus_id,grid_cell
ES1-400,ESP_121.0
ES10-220,ESP_122.0
ES10-220,ESP_191.0
ES100-220,ESP_224.0
ES101-220,ESP_4.0
ES102-220,ESP_4.0
ES103-220,ESP_15.0
ES103-400,ESP_15.0
ES104-220,ESP_4.0
ES105-220,ESP_103.0
ES106-220,ESP_4.0
ES107-220,ESP_103.0
ES108-220,ESP_220.0
ES109-220,ESP_4.0
ES11-220,ESP_107.0
ES11-220,ESP_183.0
ES110-220,ESP_103.0
ES113-220,ESP_102.0
ES114-400,ESP_178.0
ES116-220,ESP_178.0
ES117-220,ESP_15.0
ES118-220,ESP_15.0
ES12-220,ESP_137.0
ES12-220,ESP_199.0
ES12-400,ESP_137.0
ES12-400,ESP_199.0
ES120-220,ESP_4.0
ES120-220,ESP_102.0
ES121-220,ESP_178.0
ES122-220,ESP_27.0
ES123-220,ESP_202.0
ES124-220,ESP_178.0
ES125-400,ESP_75.0
ES126-400,ESP_191.0
ES127-220,ESP_90.0
ES128-400,ESP_89.0
ES129-220,ESP_42.0
ES13-220,ESP_61.0
ES13-220,ESP_159.0
ES130-220,ESP_89.0
ES131-220,ESP_201.0
ES132-400,ESP_74.0
ES133-400,ESP_229.0
ES134-400,ESP_74.0
ES135-220,ESP_229.0
ES136-220,ESP_89.0
ES137-220,ESP_164.0
ES138-220,ESP_190.0
ES139-220,ESP_190.0
ES14-400,ESP_107.0
ES14-400,ESP_183.0
ES140-220,ESP_201.0
ES141-220,ESP_190.0
ES142-220,ESP_190.0
ES143-400,ESP_226.0
ES143-400,ESP_278.0
ES144-400,ESP_190.0
ES145-220,ESP_229.0
ES145-220,ESP_287.0
ES146-220,ESP_89.0
ES147-220,ESP_89.0
ES148-220,ESP_229.0
ES148-220,ESP_287.0
ES149-220,ESP_190.0
ES15-220,ESP_6.0
ES15-220,ESP_112.0
ES150-220,ESP_89.0
ES151-220,ESP_89.0
ES152-220,ESP_229.0
ES152-220,ESP_278.0
ES153-220,ESP_190.0
ES154-220,ESP_201.0
ES155-220,ESP_225.0
ES155-220,ESP_278.0
ES156-220,ESP_41.0
ES157-220,ESP_200.0
ES158-220,ESP_73.0
ES159-220,ESP_88.0
ES16-220,ESP_167.0
ES16-220,ESP_216.0
ES160-220,ESP_200.0
ES161-220,ESP_225.0
ES161-220,ESP_278.0
ES162-400,ESP_225.0
ES162-400,ESP_278.0
ES163-220,ESP_225.0
ES163-220,ESP_278.0
ES164-400,ESP_73.0
ES165-220,ESP_287.0
ES166-220,ESP_278.0
ES167-400,ESP_73.0
ES168-220,ESP_225.0
ES168-220,ESP_278.0
ES169-220,ESP_225.0
ES169-220,ESP_278.0
ES17-220,ESP_180.0
ES17-220,ESP_216.0
ES170-400,ESP_218.0
ES171-220,ESP_225.0
ES171-220,ESP_278.0
ES172-220,ESP_225.0
ES172-220,ESP_278.0
ES173-220,ESP_225.0
ES173-220,ESP_278.0
ES174-220,ESP_225.0
ES174-220,ESP_278.0
ES175-220,ESP_222.0
ES176-220,ESP_214.0
ES177-220,ESP_189.0
ES178-220,ESP_200.0
ES18-220,ESP_61.0
ES18-220,ESP_159.0
ES18-400,ESP_61.0
ES18-400,ESP_159.0
ES180-400,ESP_176.0
ES181-220,ESP_222.0
ES181-220,ESP_268.0
ES182-220,ESP_41.0
ES183-220,ESP_41.0
ES184-220,ESP_88.0
ES185-400,ESP_225.0
ES185-400,ESP_277.0
ES186-400,ESP_208.0
ES187-220,ESP_222.0
ES187-220,ESP_268.0
ES188-220,ESP_unknown
ES189-220,ESP_222.0
ES189-220,ESP_268.0
ES19-220,ESP_180.0
ES19-220,ESP_223.0
ES190-400,ESP_208.0
ES191-220,ESP_57.0
ES192-220,ESP_222.0
ES192-220,ESP_268.0
ES193-220,ESP_214.0
ES194-220,ESP_200.0
ES195-220,ESP_189.0
ES196-400,ESP_162.0
ES197-400,ESP_259.0
ES198-220,ESP_188.0
ES199-220,ESP_259.0
ES199-400,ESP_259.0
ES20-400,ESP_122.0
ES20-400,ESP_191.0
ES200-400,ESP_102.0
ES201-400,ESP_207.0
ES202-220,ESP_188.0
ES203-400,ESP_102.0
ES204-400,ESP_101.0
ES205-400,ESP_25.0
ES206-400,ESP_101.0
ES207-400,ESP_101.0
ES208-400,ESP_116.0
ES209-220,ESP_116.0
ES21-220,ESP_6.0
ES21-220,ESP_112.0
ES210-400,ESP_116.0
ES211-220,ESP_116.0
ES212-400,ESP_131.0
ES213-220,ESP_116.0
ES214-220,ESP_116.0
ES215-220,ESP_116.0
ES216-220,ESP_116.0
ES218-220,ESP_116.0
ES22-400,ESP_152.0
ES22-400,ESP_208.0
ES222-400,ESP_131.0
ES223-220,ESP_116.0
ES224-220,ESP_116.0
ES225-220,ESP_116.0
ES226-220,ESP_116.0
ES227-220,ESP_116.0
ES228-400,ESP_116.0
ES229-220,ESP_116.0
ES23-400,ESP_122.0
ES23-400,ESP_191.0
ES230-220,ESP_116.0
ES231-220,ESP_116.0
ES232-220,ESP_146.0
ES233-220,ESP_116.0
ES234-220,ESP_116.0
ES235-220,ESP_116.0
ES236-220,ESP_116.0
ES237-220,ESP_116.0
ES238-220,ESP_116.0
ES239-220,ESP_116.0
ES24-220,ESP_180.0
ES24-220,ESP_216.0
ES240-220,ESP_131.0
ES241-220,ESP_116.0
ES242-220,ESP_116.0
ES243-400,ESP_116.0
ES244-220,ESP_38.0
ES247-220,ESP_100.0
ES248-220,ESP_54.0
ES249-400,ESP_130.0
ES25-400,ESP_61.0
ES25-400,ESP_159.0
ES250-400,ESP_160.0
ES251-220,ESP_115.0
ES252-220,ESP_38.0
ES253-220,ESP_115.0
ES254-220,ESP_197.0
ES255-220,ESP_205.0
ES255-220,ESP_241.0
ES256-400,ESP_205.0
ES256-400,ESP_241.0
ES257-220,ESP_205.0
ES257-220,ESP_241.0
ES257-400,ESP_205.0
ES257-400,ESP_241.0
ES258-400,ESP_38.0
ES259-220,ESP_85.0
ES26-400,ESP_137.0
ES26-400,ESP_199.0
ES260-220,ESP_205.0
ES260-220,ESP_240.0
ES261-220,ESP_85.0
ES262-220,ESP_85.0
ES263-220,ESP_205.0
ES263-220,ESP_240.0
ES264-220,ESP_145.0
ES265-220,ESP_38.0
ES266-220,ESP_54.0
ES267-400,ESP_38.0
ES268-220,ESP_292.0
ES269-220,ESP_54.0
ES27-220,ESP_152.0
ES27-220,ESP_208.0
ES270-220,ESP_70.0
ES271-220,ESP_54.0
ES272-220,ESP_114.0
ES273-220,ESP_240.0
ES274-220,ESP_240.0
ES275-220,ESP_37.0
ES276-220,ESP_231.0
ES276-220,ESP_292.0
ES277-220,ESP_37.0
ES278-220,ESP_196.0
ES279-400,ESP_196.0
ES28-220,ESP_137.0
ES28-220,ESP_199.0
ES280-400,ESP_185.0
ES281-220,ESP_37.0
ES282-220,ESP_114.0
ES284-220,ESP_53.0
ES285-220,ESP_53.0
ES287-220,ESP_196.0
ES288-220,ESP_37.0
ES289-220,ESP_196.0
ES29-400,ESP_45.0
ES29-400,ESP_152.0
ES290-220,ESP_196.0
ES291-220,ESP_196.0
ES292-400,ESP_196.0
ES293-400,ESP_69.0
ES294-220,ESP_113.0
ES295-220,ESP_68.0
ES296-220,ESP_195.0
ES297-220,ESP_68.0
ES298-220,ESP_68.0
ES299-400,ESP_195.0
ES3-220,ESP_160.0
ES30-400,ESP_61.0
ES30-400,ESP_159.0
ES300-220,ESP_68.0
ES302-400,ESP_184.0
ES304-220,ESP_128.0
ES305-220,ESP_128.0
ES306-220,ESP_195.0
ES307-220,ESP_128.0
ES308-220,ESP_238.0
ES309-220,ESP_128.0
ES31-400,ESP_122.0
ES31-400,ESP_191.0
ES310-220,ESP_98.0
ES311-220,ESP_238.0
ES312-220,ESP_13.0
ES313-220,ESP_21.0
ES314-220,ESP_13.0
ES315-400,ESP_194.0
ES316-220,ESP_97.0
ES317-220,ESP_97.0
ES318-220,ESP_21.0
ES319-220,ESP_204.0
ES319-220,ESP_237.0
ES32-220,ESP_137.0
ES32-220,ESP_199.0
ES320-220,ESP_97.0
ES321-400,ESP_194.0
ES322-220,ESP_194.0
ES322-220,ESP_233.0
ES323-220,ESP_194.0
ES323-220,ESP_233.0
ES324-220,ESP_193.0
ES324-220,ESP_233.0
ES325-220,ESP_81.0
ES326-400,ESP_182.0
ES327-220,ESP_81.0
ES328-220,ESP_96.0
ES329-400,ESP_169.0
ES33-400,ESP_137.0
ES33-400,ESP_199.0
ES330-400,ESP_181.0
ES330-400,ESP_228.0
ES331-220,ESP_80.0
ES332-220,ESP_232.0
ES334-220,ESP_228.0
ES336-220,ESP_181.0
ES336-220,ESP_228.0
ES337-220,ESP_80.0
ES338-220,ESP_110.0
