bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country,station_id
relation/17148268-400,400.0,f,Substation,f,relation/17148268,-5.6930190408472,39.80740414566639,ES,400.0,ES,
way/104370242-220,220.0,f,Substation,f,way/104370242,-8.356129295185394,43.16703899439158,ES,220.0,ES,
way/124121964-220,220.0,f,Substation,f,way/124121964,2.0095473817207488,41.47322669800983,ES,220.0,ES,
way/1262731213-220,220.0,f,Substation,f,way/1262731213,-5.412339451502056,36.24792037813444,ES,220.0,ES,
way/127787669-400,400.0,f,Substation,f,way/127787669,-0.2805055592536858,41.21730760131321,ES,400.0,ES,
way/131323212,250.0,t,Substation,f,way/131323212,2.506369933096324,39.53390099135345,ES,250.0,ES,
way/156435509,250.0,t,Substation,f,way/156435509,-0.2354476169104305,39.64108480222209,ES,250.0,ES,
way/170424447-400,400.0,f,Substation,f,way/170424447,-6.097442780543074,37.63661285361392,ES,400.0,ES,
way/171251565-400,400.0,f,Substation,f,way/171251565,-0.9461439198346144,38.14724715069787,ES,400.0,ES,
way/171560239-220,220.0,f,Substation,f,way/171560239,-4.107882599863508,39.020891549432,ES,220.0,ES,
way/202891403-220,220.0,f,Substation,f,way/202891403,-3.0311169110021066,43.21872480485869,ES,220.0,ES,
way/28308003-220,220.0,f,Substation,f,way/28308003,-3.596069806389134,40.56561583089582,ES,220.0,ES,
way/48304858-220,220.0,f,Substation,f,way/48304858,-3.780772684080437,42.34104579268045,ES,220.0,ES,
way/58928252-400,400.0,f,Substation,f,way/58928252,-6.550377814537029,42.57300751073481,ES,400.0,ES,
way/85817084-400,400.0,f,Substation,f,way/85817084,-4.555921910166008,42.07186567254124,ES,400.0,ES,
ES37-400,400.0,f,Substation,f,ES37,-1.9637841999999983,43.23728188923748,ES,400.0,ES,
relation/17294958-220,220.0,f,Substation,f,relation/17294958,-6.473175769058163,41.30116198187096,ES,220.0,ES,
way/1154224087-225,225.0,f,Substation,f,way/1154224087,-0.3578446586985714,42.51645897245767,ES,225.0,ES,
way/135457230-400,400.0,f,Substation,f,way/135457230,-8.208092991766629,41.868188812881314,ES,400.0,ES,
way/144767090-400,400.0,f,Substation,f,way/144767090,-6.703038383092075,38.32050052253374,ES,400.0,ES,
way/170424446-400,400.0,f,Substation,f,way/170424446,-7.2413770690762815,37.54821856846546,ES,400.0,ES,
way/178294745-400,400.0,f,Substation,f,way/178294745,2.2823930258085707,41.95715809605537,ES,400.0,ES,
way/256334221,320.0,t,Substation,f,way/256334221,2.9442519990141243,42.230385376033,ES,320.0,ES,
way/84526032-400,400.0,f,Substation,f,way/84526032,-7.533225197722975,39.664335441918745,ES,400.0,ES,
