line_id,bus0,bus1,type,voltage,s_nom,length,network_country,geometry
ES_line_14,way/127787669-400,way/124121964-220,way/124121964-220;way/127787669-400,400.0,15774.479,99505.95469764929,ES,
ES_line_37,way/48304858-220,way/202891403-220,way/202891403-220;way/48304858-220,400.0,13852.94,49028.49325690577,ES,
ES_line_2,way/202891403-220,ES37-400,ES37-400;way/202891403-220,400.0,11395.160000000002,53097.31529239431,ES,
ES_line_45,way/85817084-400,way/48304858-220,way/48304858-220;way/85817084-400,400.0,9607.684,63824.743018479785,ES,
ES_line_13,way/1154224087-225,way/127787669-400,way/1154224087-225;way/127787669-400,400.0,9294.877,34814.56238655015,ES,
ES_line_18,way/1262731213-220,way/171560239-220,way/1262731213-220;way/171560239-220,400.0,9116.129,68700.52980658345,ES,
ES_line_31,way/171560239-220,way/171251565-400,way/171251565-400;way/171560239-220,400.0,7328.653,80801.01674309045,ES,
ES_line_26,way/28308003-220,way/156435509,way/156435509;way/28308003-220,400.0,7149.905000000001,58535.64205566507,ES,
ES_line_28,way/170424446-400,way/170424447-400,way/170424446-400;way/170424447-400,400.0,7149.905000000001,109677.78662055652,ES,
ES_line_40,way/28308003-220,way/85817084-400,way/28308003-220;way/85817084-400,400.0,7149.905000000001,99955.93518133598,ES,
ES_line_5,relation/17148268-400,way/28308003-220,relation/17148268-400;way/28308003-220,400.0,7149.905000000001,193212.8884609684,ES,
ES_line_48,way/58928252-400,way/85817084-400,way/58928252-400;way/85817084-400,400.0,7149.904,102989.65499999998,ES,
ES_line_11,way/104370242-220,way/58928252-400,way/104370242-220;way/58928252-400,400.0,6345.541,76546.59377751086,ES,
ES_line_15,way/178294745-400,way/124121964-220,way/124121964-220;way/178294745-400,400.0,6032.733,28463.96757085719,ES,
ES_line_24,way/144767090-400,way/170424447-400,way/144767090-400;way/170424447-400,400.0,5853.985000000001,107907.32291396712,ES,
ES_line_4,way/144767090-400,relation/17148268-400,relation/17148268-400;way/144767090-400,400.0,5853.985,125798.42360831298,ES,
ES_line_17,way/1262731213-220,way/170424447-400,way/1262731213-220;way/170424447-400,400.0,5541.177,64805.40581107047,ES,
ES_line_10,way/104370242-220,way/135457230-400,way/104370242-220;way/135457230-400,400.0,5541.177,47309.74328377708,ES,
ES_line_34,relation/17148268-400,way/171560239-220,relation/17148268-400;way/171560239-220,400.0,5362.429,190104.41943059384,ES,
ES_line_19,way/28308003-220,way/127787669-400,way/127787669-400;way/28308003-220,400.0,5362.429,87849.67539327234,ES,
ES_line_16,way/124121964-220,way/1154224087-225,way/1154224087-225;way/124121964-220,400.0,5049.621,123232.80972211974,ES,
ES_line_6,way/84526032-400,relation/17148268-400,relation/17148268-400;way/84526032-400,400.0,5049.620999999999,48333.97325293325,ES,
ES_line_21,way/135457230-400,way/58928252-400,way/135457230-400;way/58928252-400,400.0,4558.065,59089.03898303557,ES,
ES_line_25,way/171251565-400,way/156435509,way/156435509;way/171251565-400,400.0,4066.508,43948.15520361941,ES,
ES_line_30,way/170424447-400,relation/17148268-400,relation/17148268-400;way/170424447-400,400.0,3574.953,205389.36,ES,
ES_line_36,way/256334221,way/178294745-400,way/178294745-400;way/256334221,400.0,3574.953,31024.55,ES,
ES_line_32,way/28308003-220,way/171251565-400,way/171251565-400;way/28308003-220,400.0,3574.953,74904.01,ES,
ES_line_3,relation/17294958-220,relation/17148268-400,relation/17148268-400;relation/17294958-220,400.0,3574.953,96586.73,ES,
ES_line_7,relation/17294958-220,way/85817084-400,relation/17294958-220;way/85817084-400,400.0,3574.953,99209.17,ES,
ES_line_20,way/127787669-400,way/156435509,way/127787669-400;way/156435509,400.0,3574.952,111718.35,ES,
ES_line_1,ES37-400,way/1154224087-225,ES37-400;way/1154224087-225,400.0,3262.144,34677.53265550509,ES,
ES_line_39,way/202891403-220,way/85817084-400,way/202891403-220;way/85817084-400,400.0,1787.476,205945.53,ES,
ES_line_44,way/58928252-400,way/48304858-220,way/48304858-220;way/58928252-400,400.0,1787.476,147737.86,ES,
ES_line_33,way/28308003-220,way/171560239-220,way/171560239-220;way/28308003-220,220.0,1474.668,39280.263333333336,ES,
ES_line_38,way/58928252-400,way/202891403-220,way/202891403-220;way/58928252-400,220.0,983.112,114728.53,ES,
ES_line_22,way/58928252-400,relation/17294958-220,relation/17294958-220;way/58928252-400,220.0,491.556,24763.98,ES,
ES_line_29,way/170424447-400,way/171560239-220,way/170424447-400;way/171560239-220,220.0,491.556,13890.12,ES,
ES_line_35,way/178294745-400,way/1154224087-225,way/1154224087-225;way/178294745-400,220.0,491.556,35294.59,ES,
