GEM location ID,bus_id
L100000103499,way/58928252-400
L100000103515,way/124121964-220
L100000103513,way/104370242-220
L100000103500,way/58928252-400
L100000103495,way/1262731213-220
L100000103503,way/58928252-400
L100000200229,way/58928252-400
L100000200230,way/104370242-220
L100000200239,way/58928252-400
L100000200300,way/124121964-220
L100000201204,way/170424446-400
L100000201205,way/171560239-220
L100000201207,way/156435509
L100000201208,ES37-400
L100000201209,way/104370242-220
L100000201211,way/202891403-220
L100000400644,way/28308003-220
L100000400645,way/28308003-220
L100000400646,way/28308003-220
L100000103493,way/1262731213-220
L100000400648,way/202891403-220
L100000400649,way/1262731213-220
L100000400652,ES37-400
L100000400655,way/202891403-220
L100000400656,way/124121964-220
L100000400657,way/124121964-220
L100000400658,way/124121964-220
L100000400659,way/124121964-220
L100000400660,way/1262731213-220
L100000400662,way/171251565-400
L100000400665,way/171251565-400
L100000400666,ES37-400
L100000400670,way/156435509
L100000400672,way/127787669-400
L100000400673,way/127787669-400
L100000400674,way/170424446-400
L100000400675,way/85817084-400
L100000400676,way/171251565-400
L100000400679,way/202891403-220
L100000400680,way/127787669-400
L100000400682,way/171251565-400
L100000400683,way/127787669-400
L100000400684,way/28308003-220
L100000400685,way/202891403-220
L100000400686,relation/17148268-400
L100000400687,way/28308003-220
L100000400688,way/1262731213-220
L100000400689,way/124121964-220
L100000400690,way/48304858-220
L100000400691,way/85817084-400
L100000400692,way/171560239-220
L100000400693,way/58928252-400
L100000400694,way/202891403-220
L100000400695,way/170424446-400
L100000400698,way/28308003-220
L100000400700,way/124121964-220
L100000400701,way/124121964-220
L100000400703,way/1262731213-220
L100000400705,way/170424446-400
L100000400706,way/127787669-400
L100000400707,way/104370242-220
L100000400708,way/156435509
L100000400711,way/1262731213-220
L100000400712,way/1262731213-220
L100000400713,way/202891403-220
L100000400714,way/171560239-220
L100000400715,way/48304858-220
L100000400718,way/127787669-400
L100000400719,way/28308003-220
L100000401440,way/256334221
L100000401419,way/124121964-220
L100000401420,way/124121964-220
L100000407619,way/127787669-400
L100000407613,ES37-400
L100000407614,way/170424446-400
L100000407783,way/171251565-400
L100000407784,way/1262731213-220
L100000407785,way/170424446-400
L100000407786,way/28308003-220
L100000407787,way/127787669-400
L100000407780,way/156435509
L100000407781,way/171251565-400
L100000407782,way/104370242-220
L100000407939,way/156435509
L100000408746,way/124121964-220
L100000408747,way/171560239-220
L100000408890,way/171251565-400
L100000408749,way/124121964-220
L100000408750,way/170424446-400
L100000408751,way/1262731213-220
L100000408752,way/104370242-220
L100000408753,way/170424446-400
L100000408754,way/170424446-400
L100000408755,way/202891403-220
L100000408756,way/124121964-220
L100000408757,way/1262731213-220
L100000408758,way/170424446-400
L100000408759,way/170424446-400
L100000500081,way/156435509
L100000500105,way/28308003-220
L100000500113,relation/17148268-400
L100000500114,way/28308003-220
L100000500115,way/127787669-400
L100000603341,way/48304858-220
L100000603342,way/48304858-220
L100000603343,relation/17294958-220
L100000603344,relation/17294958-220
L100000603345,relation/17148268-400
L100000603346,way/202891403-220
L100000603347,way/104370242-220
L100000603349,way/28308003-220
L100000603350,way/1154224087-225
L100000603351,way/28308003-220
L100000603352,way/135457230-400
L100000603353,relation/17294958-220
L100000603354,way/170424446-400
L100000603355,relation/17148268-400
L100000603356,way/156435509
L100000603357,way/156435509
L100000603358,way/58928252-400
L100000603359,way/58928252-400
L100000603360,way/156435509
L100000603361,way/156435509
L100000603362,way/1154224087-225
L100000603363,way/1154224087-225
L100000603364,way/135457230-400
L100000603365,relation/17148268-400
L100000603366,way/170424447-400
L100000603367,ES37-400
L100000603368,way/1262731213-220
L100000603369,way/84526032-400
L100000603370,way/156435509
L100000603371,way/58928252-400
L100000603372,way/58928252-400
L100000603373,way/135457230-400
L100000603375,way/127787669-400
L100000603376,way/1154224087-225
L100000603377,way/1154224087-225
L100000603378,way/58928252-400
L100000603379,way/104370242-220
L100000603380,way/58928252-400
L100000603381,way/127787669-400
L100000603382,relation/17294958-220
L100000603383,relation/17294958-220
L100000603384,way/58928252-400
L100000603385,way/58928252-400
L100000603386,way/58928252-400
L100000603388,way/58928252-400
L100000603389,way/256334221
L100000603390,way/1262731213-220
L100000603391,way/104370242-220
L100000603392,way/85817084-400
L100000603393,way/1154224087-225
L100000603394,relation/17148268-400
L100000603395,relation/17148268-400
L100000603396,way/171560239-220
L100000603397,way/135457230-400
L100000603398,relation/17294958-220
L100000603399,relation/17294958-220
L100000604104,way/84526032-400
L100000604105,relation/17294958-220
L100000604106,relation/17294958-220
L100000603348,way/104370242-220
L100000604224,way/127787669-400
L100000603374,way/135457230-400
L100000604329,way/127787669-400
L100000603387,way/58928252-400
L100000805692,way/171251565-400
L100000805698,way/170424446-400
L100000805699,way/170424447-400
L100000805700,way/127787669-400
L100000805701,way/144767090-400
L100000805702,way/170424447-400
L100000805709,way/28308003-220
L100000805711,relation/17148268-400
L100000805713,relation/17148268-400
L100000805715,way/170424447-400
L100000805740,way/171251565-400
L100000805764,way/171251565-400
L100000805765,way/171251565-400
L100000805766,way/171251565-400
L100000805767,way/171251565-400
L100000805768,way/171251565-400
L100000805769,way/171251565-400
L100000805770,relation/17148268-400
L100000805771,way/171251565-400
L100000805776,way/170424447-400
L100000805777,way/127787669-400
L100000805779,relation/17148268-400
L100000805780,way/144767090-400
L100000805781,way/144767090-400
L100000805782,way/144767090-400
L100000805783,way/144767090-400
L100000805784,way/144767090-400
L100000805785,way/144767090-400
L100000805786,way/144767090-400
L100000805787,way/144767090-400
L100000805788,way/170424447-400
L100000805792,way/144767090-400
L100000805793,way/170424447-400
L100000805794,way/1262731213-220
L100000805795,way/170424447-400
L100000805796,way/170424447-400
L100000805797,way/171251565-400
L100000805815,relation/17148268-400
L100000805818,way/28308003-220
L100000805828,way/170424447-400
L100000805829,relation/17148268-400
L100000805835,relation/17148268-400
L100000805836,way/144767090-400
L100000805847,way/28308003-220
L100000805850,way/170424447-400
L100000805851,way/171560239-220
L100000805852,way/170424446-400
L100000805856,way/144767090-400
L100000805860,way/156435509
L100000805862,way/144767090-400
L100000805863,way/127787669-400
L100000805864,relation/17148268-400
L100000805865,way/84526032-400
L100000805866,relation/17294958-220
L100000805867,relation/17148268-400
L100000805868,way/171251565-400
L100000805869,way/156435509
L100000805870,way/156435509
L100000805871,way/28308003-220
L100000805872,way/85817084-400
L100000805873,relation/17294958-220
L100000805874,way/171251565-400
L100000805875,way/171560239-220
L100000805876,way/170424446-400
L100000805877,relation/17148268-400
L100000805878,way/28308003-220
L100000805879,way/28308003-220
L100000805901,relation/17148268-400
L100000805902,relation/17148268-400
L100000805905,way/28308003-220
L100000805906,way/171560239-220
L100000805907,way/171560239-220
L100000805915,way/144767090-400
L100000805916,way/127787669-400
L100000805917,way/1262731213-220
L100000805918,way/127787669-400
L100000805919,way/170424447-400
L100000805935,way/127787669-400
L100000805936,way/171560239-220
L100000805937,way/171560239-220
L100000805938,way/1262731213-220
L100000805939,way/144767090-400
L100000805940,way/171560239-220
L100000805943,way/170424446-400
L100000805944,way/171251565-400
L100000805945,way/171560239-220
L100000805954,way/144767090-400
L100000805956,way/170424447-400
L100000805957,way/170424447-400
L100000805958,way/170424447-400
L100000805959,way/170424447-400
L100000805960,relation/17148268-400
L100000805961,way/28308003-220
L100000805962,way/85817084-400
L100000805963,relation/17294958-220
L100000805964,way/85817084-400
L100000805965,relation/17148268-400
L100000805966,way/127787669-400
L100000805967,way/85817084-400
L100000805968,way/85817084-400
L100000805969,relation/17148268-400
L100000805971,way/85817084-400
L100000805977,way/85817084-400
L100000805988,relation/17148268-400
L100000805991,way/28308003-220
L100000805992,way/144767090-400
L100000805993,way/170424447-400
L100000805994,way/170424447-400
L100000805998,way/171560239-220
L100000806004,way/171560239-220
L100000806007,ES37-400
L100000806033,way/171251565-400
L100000806034,way/28308003-220
L100000806036,way/144767090-400
L100000806037,way/170424447-400
L100000806182,way/171251565-400
L100000806340,way/156435509
L100000806417,way/28308003-220
L100000806566,way/127787669-400
L100000806603,way/1262731213-220
L100000806724,way/171251565-400
L100000806930,relation/17148268-400
L100000824285,way/85817084-400
L100000824286,way/28308003-220
L100000824287,way/127787669-400
L100000824288,way/28308003-220
L100000824289,way/127787669-400
L100000824291,way/28308003-220
L100000824292,way/28308003-220
L100000824293,way/170424447-400
L100000824294,way/1262731213-220
L100000824295,way/144767090-400
L100000824296,way/1262731213-220
L100000824297,way/144767090-400
L100000824298,way/28308003-220
L100000824299,way/28308003-220
L100000824300,way/171251565-400
L100000824301,way/28308003-220
L100000824302,way/1262731213-220
L100000824303,relation/17148268-400
L100000824304,way/28308003-220
L100000824305,way/171560239-220
L100000824306,way/28308003-220
L100000824307,way/170424447-400
L100000824308,way/85817084-400
L100000824310,way/202891403-220
L100000824311,way/127787669-400
L100000824312,way/127787669-400
L100000824313,way/85817084-400
L100000824314,way/171560239-220
L100000824315,way/1262731213-220
L100000824316,way/170424447-400
L100000824317,way/170424447-400
L100000824318,way/171560239-220
L100000824319,way/171251565-400
L100000824320,relation/17148268-400
L100000824321,way/124121964-220
L100000824322,way/171251565-400
L100000824323,way/28308003-220
L100000824324,way/28308003-220
