bus_id,grid_cell
way/28308003-220,ESP_116
way/28308003-220,ESP_101
way/28308003-220,ESP_116
way/28308003-220,ESP_116
way/28308003-220,ESP_116
way/28308003-220,ESP_116
way/156435509,ESP_196
way/156435509,ESP_205
way/58928252-400,ESP_61
way/85817084-400,ESP_106
relation/17294958-220,
way/84526032-400,ESP_23
way/28308003-220,ESP_162
way/48304858-220,ESP_107
way/48304858-220,wof-ESP_183
way/58928252-400,ESP_44
way/58928252-400,ESP_28
way/48304858-220,ESP_122
way/156435509,ESP_196
way/127787669-400,ESP_208
way/58928252-400,ESP_27
way/85817084-400,ESP_89
way/124121964-220,ESP_225
way/124121964-220,wof-ESP_278
way/1262731213-220,ESP_78
way/156435509,wof-ESP_240
way/156435509,wof-ESP_240
way/58928252-400,ESP_60
way/84526032-400,
way/85817084-400,ESP_90
ES37-400,ESP_165
ES37-400,ESP_178
way/1262731213-220,ESP_62
way/1262731213-220,wof-ESP_165
way/1262731213-220,ESP_62
way/1262731213-220,wof-ESP_166
way/171560239-220,ESP_124
way/1262731213-220,wof-ESP_158
way/28308003-220,ESP_116
way/58928252-400,ESP_15
way/58928252-400,ESP_28
way/124121964-220,ESP_226
way/124121964-220,wof-ESP_278
way/104370242-220,ESP_6
way/104370242-220,wof-ESP_112
way/202891403-220,ESP_137
way/202891403-220,wof-ESP_199
way/202891403-220,ESP_151
way/85817084-400,ESP_91
way/124121964-220,ESP_225
way/124121964-220,wof-ESP_278
way/127787669-400,ESP_206
way/156435509,ESP_195
way/127787669-400,ESP_208
way/171251565-400,ESP_181
way/127787669-400,ESP_214
relation/17294958-220,ESP_26
way/127787669-400,ESP_190
way/127787669-400,wof-ESP_259
way/127787669-400,ESP_201
way/135457230-400,ESP_4
way/85817084-400,ESP_88
relation/17294958-220,
relation/17294958-220,ESP_26
way/1262731213-220,ESP_47
way/144767090-400,ESP_20
way/144767090-400,ESP_34
way/170424447-400,ESP_48
way/171251565-400,ESP_168
way/171251565-400,ESP_153
way/171251565-400,wof-ESP_215
way/171251565-400,ESP_181
way/171251565-400,wof-ESP_227
way/171251565-400,ESP_181
way/171251565-400,wof-ESP_227
way/171251565-400,ESP_181
way/171251565-400,wof-ESP_227
way/171251565-400,ESP_184
way/156435509,ESP_185
way/156435509,ESP_185
way/171251565-400,ESP_171
way/171251565-400,ESP_170
way/156435509,ESP_172
way/127787669-400,ESP_214
way/127787669-400,ESP_214
way/171560239-220,ESP_96
way/127787669-400,ESP_199
ES37-400,ESP_167
ES37-400,wof-ESP_216
way/171251565-400,ESP_158
way/156435509,ESP_159
way/202891403-220,ESP_136
relation/17148268-400,ESP_68
relation/17148268-400,ESP_54
way/124121964-220,ESP_218
way/256334221,ESP_232
way/127787669-400,ESP_208
way/127787669-400,ESP_208
way/104370242-220,ESP_10
way/104370242-220,wof-ESP_121
way/127787669-400,ESP_189
way/127787669-400,ESP_176
way/28308003-220,ESP_132
way/28308003-220,ESP_131
way/170424446-400,ESP_12
way/170424447-400,ESP_33
way/170424446-400,ESP_18
way/170424446-400,wof-ESP_140
way/28308003-220,ESP_102
way/28308003-220,ESP_116
way/85817084-400,ESP_73
way/171560239-220,ESP_109
way/1262731213-220,ESP_79
way/1262731213-220,ESP_79
way/1262731213-220,ESP_78
way/1262731213-220,wof-ESP_174
way/171251565-400,ESP_182
way/171251565-400,ESP_194
way/58928252-400,ESP_60
way/178294745-400,ESP_229
way/28308003-220,ESP_160
way/170424447-400,ESP_49
ES37-400,ESP_178
ES37-400,ESP_179
way/104370242-220,ESP_10
way/58928252-400,ESP_28
way/58928252-400,ESP_45
way/58928252-400,ESP_29
way/58928252-400,ESP_45
way/58928252-400,ESP_61
way/58928252-400,wof-ESP_160
way/28308003-220,ESP_148
way/58928252-400,ESP_28
ES37-400,ESP_167
ES37-400,ESP_167
ES37-400,wof-ESP_216
way/202891403-220,ESP_152
way/202891403-220,wof-ESP_199
way/124121964-220,ESP_225
way/124121964-220,wof-ESP_277
way/202891403-220,ESP_137
way/202891403-220,wof-ESP_199
way/58928252-400,
way/171560239-220,ESP_128
way/202891403-220,ESP_137
way/202891403-220,wof-ESP_199
way/256334221,ESP_233
way/256334221,wof-ESP_298
way/28308003-220,ESP_147
way/28308003-220,ESP_130
way/28308003-220,ESP_130
way/156435509,ESP_184
way/28308003-220,ESP_102
way/171251565-400,ESP_153
way/171251565-400,wof-ESP_215
way/202891403-220,ESP_122
way/202891403-220,wof-ESP_191
way/1262731213-220,ESP_94
way/171560239-220,ESP_97
relation/17148268-400,ESP_68
way/104370242-220,ESP_17
way/127787669-400,ESP_199
way/144767090-400,ESP_21
way/171251565-400,ESP_183
way/28308003-220,ESP_131
way/127787669-400,ESP_199
way/256334221,ESP_233
way/256334221,wof-ESP_297
way/1262731213-220,wof-ESP_158
way/58928252-400,ESP_27
way/171251565-400,ESP_181
way/171251565-400,ESP_181
way/171251565-400,wof-ESP_222
way/144767090-400,ESP_34
ES37-400,ESP_165
way/171251565-400,ESP_194
way/156435509,ESP_184
way/48304858-220,ESP_120
relation/17294958-220,ESP_25
relation/17294958-220,ESP_25
relation/17148268-400,ESP_38
relation/17148268-400,ESP_53
way/171251565-400,ESP_140
way/84526032-400,ESP_14
way/127787669-400,ESP_208
way/171251565-400,ESP_159
way/202891403-220,ESP_122
way/202891403-220,wof-ESP_191
way/28308003-220,ESP_102
relation/17148268-400,ESP_70
way/144767090-400,ESP_20
way/104370242-220,ESP_5
way/202891403-220,ESP_152
way/202891403-220,wof-ESP_208
way/28308003-220,ESP_159
relation/17148268-400,ESP_37
way/144767090-400,ESP_34
way/124121964-220,ESP_225
way/124121964-220,wof-ESP_278
way/1262731213-220,ESP_62
way/1262731213-220,wof-ESP_158
way/1154224087-225,ESP_190
way/144767090-400,ESP_36
way/48304858-220,ESP_121
way/1262731213-220,ESP_62
way/1262731213-220,wof-ESP_165
way/124121964-220,ESP_226
way/124121964-220,ESP_225
way/124121964-220,wof-ESP_278
relation/17148268-400,ESP_54
way/156435509,ESP_69
way/28308003-220,ESP_116
way/28308003-220,ESP_101
way/48304858-220,ESP_120
relation/17294958-220,ESP_25
way/85817084-400,ESP_74
way/85817084-400,ESP_74
way/85817084-400,ESP_89
way/124121964-220,ESP_226
way/124121964-220,wof-ESP_278
way/1262731213-220,wof-ESP_158
way/202891403-220,ESP_122
way/202891403-220,wof-ESP_191
way/28308003-220,wof-ESP_259
way/156435509,ESP_205
way/156435509,ESP_185
way/156435509,ESP_184
way/48304858-220,ESP_107
way/48304858-220,wof-ESP_183
way/171251565-400,ESP_169
way/202891403-220,ESP_122
way/202891403-220,wof-ESP_191
way/202891403-220,ESP_122
way/202891403-220,wof-ESP_191
way/156435509,ESP_205
way/85817084-400,ESP_73
way/28308003-220,
way/84526032-400,
way/170424446-400,
way/171251565-400,ESP_153
way/171251565-400,wof-ESP_215
way/171251565-400,ESP_181
way/156435509,ESP_196
relation/17148268-400,ESP_38
relation/17148268-400,ESP_38
way/28308003-220,ESP_101
way/202891403-220,ESP_137
way/202891403-220,wof-ESP_199
way/28308003-220,wof-ESP_259
way/124121964-220,ESP_218
way/178294745-400,ESP_229
way/127787669-400,ESP_208
