bus0,bus1,voltage,s_nom,r,x,b,length,type
way/35450930-330,way/34968224-330,330,1106.001,6.941704,45.988789,0.00071966,173542.6,Al/St 240/40 3-bundle 300.0
way/34682089-330,way/768781614-330,330,1106.001,4.603665,30.499282,0.00047727,115091.63,Al/St 240/40 3-bundle 300.0
way/34682059-330,way/34682089-330,330,1106.001,6.713392,44.476222,0.00069599,167834.8,Al/St 240/40 3-bundle 300.0
way/768781614-330,way/35450930-330,330,1106.001,1.877766,12.4402,0.00019467,46944.15,Al/St 240/40 3-bundle 300.0
way/743155118-330,way/35343343-330,330,1106.001,2.647254,17.538058,0.00027445,66181.35,Al/St 240/40 3-bundle 300.0
way/34935436-330,way/35343343-330,330,1106.001,2.809458,18.612657,0.00029126,70236.44,Al/St 240/40 3-bundle 300.0
way/35450930-330,way/743155118-330,330,1106.001,1.144813,7.584387,0.00011869,28620.33,Al/St 240/40 3-bundle 300.0
way/34935436-330,way/34920699-330,330,1106.001,4.307748,28.538828,0.0004466,107693.69,Al/St 240/40 3-bundle 300.0
way/34920699-330,way/1265528535-330,330,1106.001,2.261831,14.984632,0.00023449,56545.78,Al/St 240/40 3-bundle 300.0
way/1265528535-330,way/34682059-330,330,1106.001,2.716614,17.99757,0.00028164,67915.36,Al/St 240/40 3-bundle 300.0
way/1265528535-220,EE6-220,220,491.556,4.381286,21.979453,0.00028675,73021.44,Al/St 240/40 2-bundle 220.0
EE3-330,EE4-330,330,1106.001,0.748938,4.961717,7.76e-05,18723.46,Al/St 240/40 3-bundle 300.0
EE4-330,way/34968224-330,330,2212.002,0.323116,2.140641,0.00013399,16155.78,Al/St 240/40 3-bundle 300.0
way/34685113-330,way/1328993407-330,330,1106.001,6.35398,42.09512,0.00065873,158849.51,Al/St 240/40 3-bundle 300.0
EE3-330,way/204914596-330,330,2212.002,0.230173,1.524897,9.55e-05,11508.66,Al/St 240/40 3-bundle 300.0
EE3-330,way/34682059-330,330,1106.001,7.881579,52.215462,0.0008171,197039.48,Al/St 240/40 3-bundle 300.0
way/34935436-330,EE4-330,330,2212.002,0.047539,0.314947,1.97e-05,2376.96,Al/St 240/40 3-bundle 300.0
