GEM location ID,bus_id
L100000400075,way/204914596-330
L100001025887,way/204914596-330
L100000408763,way/34935436-330
L100001025886,way/34682059-330
L100000908112,way/1265528535-220
L100000908876,way/35450930-330
L100000910666,way/35450930-330
L100000911153,way/35450930-330
L100000911327,way/34968224-330
L100000911964,way/1265528535-220
L100000912170,way/34968224-330
L100000912331,way/1265528535-220
L100000914120,way/34968224-330
L100000914160,way/34682059-330
L100000914267,way/34682059-330
L100000915719,way/34682059-330
L100000916241,way/35450930-330
L100000916284,way/34968224-330
L100000916293,way/35450930-330
L100000916295,way/768781614-330
L100000919396,way/768781614-330
L100000919397,way/35450930-330
L100000919398,way/743155118-330
L100001001223,way/1262324052
L100001003185,way/35450930-330
L100001003192,way/35450930-330
L100001003204,way/35450930-330
L100001003216,way/35450930-330
L100001003218,way/35450930-330
L100001003219,way/35450930-330
L100000826752,way/35450930-330
L100000826753,way/1265528535-220
L100001001217,way/34968224-330
L100001001212,way/743155118-330
L100001006992,EE4-330
L100001007011,way/34968224-330
L100001007015,EE4-330
L100001007018,way/34968224-330
L100001007057,way/34935436-330
L100001007027,way/204914596-330
L100001007036,way/34968224-330
L100001007046,way/204914596-330
L100001007056,way/34968224-330
L100001007081,way/34968224-330
L100001007043,way/34968224-330
L100001007045,way/1265528535
L100001007069,way/1265528535
L100001007070,way/1265528535
L100001007071,way/1265528535
L100001007002,way/35343343-330
L100001007017,EE6-220
L100001007021,way/35343343-330
L100001007022,way/35343343-330
L100001007042,way/35343343-330
L100001007064,way/35343343-330
L100001007082,way/35343343-330
L100001006999,way/1328993407-330
L100001007066,way/1328993407-330
L100001007074,way/1328993407-330
L100001007084,way/35343343-330
L100001007085,way/1328993407-330
L100001007035,way/34935436-330
L100001007055,way/34968224-330
L100001006994,way/34920699-330
L100001006998,way/34920699-330
L100001007005,way/34920699-330
L100001007020,way/34920699-330
L100001007023,EE6-220
L100001007025,way/34920699-330
L100001007041,way/34920699-330
L100001007080,way/34920699-330
L100001007072,way/34682059-330
L100001007073,way/34682059-330
L100001007076,way/34682059-330
L100001007029,way/35450930-330
L100001007012,way/743155118-330
L100001007019,way/35450930-330
L100001007024,way/35450930-330
L100001007032,way/743155118-330
L100001007051,way/743155118-330
L100001007037,way/35450930-330
L100001007040,way/35450930-330
L100001007049,way/35450930-330
L100001007050,way/743155118-330
L100001007052,way/35450930-330
L100001007053,way/35450930-330
L100001007058,way/35450930-330
L100001007059,way/35450930-330
L100001006993,way/34682089-330
L100001007008,way/34682089-330
L100001007077,way/34682089-330
L100001007031,way/34935436-330
L100001007039,way/743155118-330
L100001007054,way/743155118-330
L100001007060,way/34935436-330
L100001007038,way/35450930-330
L100001007047,way/35450930-330
L100001007048,way/35450930-330
L100001006997,way/34682089-330
L100001007009,way/34682089-330
L100001007026,way/34682089-330
L100001007028,way/34682089-330
L100001007033,way/34682089-330
L100001007044,way/34682089-330
L100001007079,way/34682089-330
L100001007014,way/34685113-330
L100001007065,way/34685113-330
L100001007075,way/34685113-330
L100001007083,way/34685113-330
L100001006995,way/768781614-330
L100001006996,way/34682089-330
L100001007001,way/768781614-330
L100001007003,way/768781614-330
L100001007016,way/768781614-330
L100001007004,way/768781614-330
L100001007007,way/768781614-330
L100001007010,way/768781614-330
L100001007013,way/35343343-330
L100001007030,way/35343343-330
L100001007034,way/35343343-330
L100001007061,way/768781614-330
L100001007062,way/768781614-330
L100001007063,way/35343343-330
L100001007078,way/768781614-330
L100001007000,way/34685113-330
L100001007006,way/34685113-330
L100001007067,way/34685113-330
L100001007068,way/34685113-330
L100000601572,way/1265528535-330
L100000604401,way/34968224-330
