bus_id,grid_cell
EE3-330,EST_16
EE4-330,EST_16
EE4-330,wof-EST_20
EE6-220,EST_21
way/1262324052,EST_12
way/1262324052,wof-EST_20
way/1265528535,EST_27
way/1265528535-220,EST_27
way/1265528535-330,EST_27
way/1328993407-330,EST_25
way/204914596-330,EST_17
way/34682059-330,
way/34682089-330,EST_24
way/34685113-330,EST_18
way/34920699-330,EST_27
way/34935436-330,EST_16
way/34935436-330,wof-EST_20
way/34968224-330,EST_12
way/34968224-330,wof-EST_20
way/35343343-330,EST_20
way/35450930-330,EST_14
way/35450930-330,wof-EST_19
way/743155118-330,EST_15
way/768781614-330,EST_14
way/35450930-330,EST_0
way/35450930-330,EST_1
way/34968224-330,EST_2
way/34968224-330,EST_3
way/35450930-330,EST_4
way/35450930-330,EST_5
way/35450930-330,EST_6
way/34968224-330,EST_7
way/35450930-330,EST_8
way/35450930-330,EST_9
way/35450930-330,EST_10
way/34968224-330,EST_11
way/768781614-330,EST_13
way/34685113-330,EST_19
EE6-220,EST_22
way/34685113-330,EST_23
way/1328993407-330,EST_26
way/34682089-330,EST_28
way/34682089-330,EST_29
way/1328993407-330,EST_30
way/1265528535,EST_31
way/1265528535,EST_32
way/35450930-330,wof-EST_0
way/35450930-330,wof-EST_1
way/34968224-330,wof-EST_2
way/34968224-330,wof-EST_3
way/35450930-330,wof-EST_4
way/35450930-330,wof-EST_5
way/34968224-330,wof-EST_6
way/34968224-330,wof-EST_7
way/35450930-330,wof-EST_8
way/35450930-330,wof-EST_9
way/34968224-330,wof-EST_10
way/34968224-330,wof-EST_11
way/34968224-330,wof-EST_12
way/35450930-330,wof-EST_13
way/35450930-330,wof-EST_14
way/35450930-330,wof-EST_15
way/34968224-330,wof-EST_16
way/34968224-330,wof-EST_17
way/35450930-330,wof-EST_18
way/1262324052,wof-EST_21
way/204914596-330,wof-EST_22
way/34920699-330,wof-EST_23
way/1265528535-220,wof-EST_24
way/34682059-330,wof-EST_25
way/34682059-330,wof-EST_26
