bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num
way/180619166-230,way/180619166,230.0,f,Substation,f,way/180619166,39.510700654482825,13.54092111842908,ET,230.0
way/186395768-230,way/186395768,230.0,f,Substation,f,way/186395768,37.46754199782461,9.0087198286736,ET,230.0
way/220122466-230,way/220122466,230.0,f,Substation,f,way/220122466,37.37857815313407,11.563213800890056,ET,230.0
way/222891421-230,way/222891421,230.0,f,Substation,f,way/222891421,39.458033398372415,7.173360767098111,ET,230.0
way/569627610-400,way/569627610,400.0,f,Substation,f,way/569627610,37.72182978798463,6.90734992289944,ET,400.0
way/422547473-230,way/422547473,230.0,f,Substation,f,way/422547473,41.63978982467203,9.613916264177233,ET,230.0
way/569990174-500,way/569990174,500.0,f,Substation,f,way/569990174,36.16813113525375,9.030784453266955,ET,500.0
way/576081254-400,way/576081254,400.0,f,Substation,f,way/576081254,38.804820882112,8.82204935333603,ET,400.0
way/670304976-230,way/670304976,230.0,f,Substation,f,way/670304976,43.55718192745142,5.965657590737853,ET,230.0
way/695773621-230,way/695773621,230.0,f,Substation,f,way/695773621,41.03030114878336,11.77792694243415,ET,230.0
way/859755774-500,way/859755774,500.0,f,Substation,f,way/859755774,35.08536042289752,11.22695534359125,ET,500.0
ET19-230,ET19,230.0,f,Substation,f,ET19,37.37703139991292,7.903712233677662,ET,230.0
ET2-230,ET2,230.0,f,Substation,f,ET2,37.463136600000006,14.099742174815267,ET,230.0
