line_id,bus0,bus1,type,voltage,s_nom,length,geometry
ET_line_2,way/186395768-230,ET19-230,ET19-230;way/186395768-230,230.0,513.8994746056859,125118.29,
ET_line_4,ET19-230,way/569627610-400,ET19-230;way/569627610-400,400.0,2301.3759080167674,98047.73417475728,
ET_line_5,way/569990174-500,ET19-230,ET19-230;way/569990174-500,230.0,1027.7989492113718,77362.64,
ET_line_3,ET19-230,way/576081254-400,ET19-230;way/576081254-400,400.0,1787.4764334110816,192501.72,
ET_line_6,way/180619166-230,ET2-230,ET2-230;way/180619166-230,230.0,513.8994746056859,50379.7,
ET_line_7,ET2-230,way/220122466-230,ET2-230;way/220122466-230,220.0,983.1120383760948,184454.9,
ET_line_9,way/180619166-230,way/220122466-230,way/180619166-230;way/220122466-230,230.0,513.8994746056859,148892.78,
ET_line_10,way/180619166-230,way/695773621-230,way/180619166-230;way/695773621-230,230.0,1027.7989492113718,176119.92,
ET_line_12,way/220122466-230,way/186395768-230,way/186395768-230;way/220122466-230,400.0,2301.3759080167674,172629.2182524272,
ET_line_11,way/186395768-230,way/576081254-400,way/186395768-230;way/576081254-400,400.0,3574.952866822164,100948.96,
ET_line_14,way/859755774-500,way/220122466-230,way/220122466-230;way/859755774-500,400.0,1787.4764334110816,253644.32,
ET_line_16,way/222891421-230,way/569627610-400,way/222891421-230;way/569627610-400,400.0,3574.952866822164,227094.59,
ET_line_15,way/576081254-400,way/222891421-230,way/222891421-230;way/576081254-400,230.0,1027.7989492113718,158155.91,
ET_line_17,way/222891421-230,way/670304976-230,way/222891421-230;way/670304976-230,230.0,513.8994746056859,299110.89,
ET_line_18,way/576081254-400,way/422547473-230,way/422547473-230;way/576081254-400,230.0,1541.6984238170576,301473.95,
ET_line_19,way/695773621-230,way/422547473-230,way/422547473-230;way/695773621-230,230.0,1541.6984238170576,126961.26333333337,
ET_line_20,way/569627610-400,way/576081254-400,way/569627610-400;way/576081254-400,400.0,3574.952866822164,267607.19,
ET_line_21,way/569990174-500,way/576081254-400,way/569990174-500;way/576081254-400,500.0,8937.382167055408,289146.525,
ET_line_22,way/859755774-500,way/569990174-500,way/569990174-500;way/859755774-500,500.0,8937.382167055408,334176.17,
ET_line_13,way/576081254-400,way/695773621-230,way/576081254-400;way/695773621-230,230.0,513.8994746056859,290093.38,
