GEM location ID,bus_id
L100000200003,way/569627610-400
L100000200004,way/569627610-400
L100000200005,way/186395768-230
L100000200009,way/569627610-400
L100000200011,way/220122466-230
L100000200012,way/695773621-230
L100000200016,way/576081254-400
L100000601574,way/576081254-400
L100000601575,way/576081254-400
L100000601578,way/220122466-230
L100000601584,way/186395768-230
L100000601585,way/186395768-230
L100000601586,way/569990174-500
L100000601587,way/569990174-500
L100000601588,way/222891421-230
L100000601589,way/222891421-230
L100000601592,ET19-230
L100000601593,ET19-230
L100000601594,way/569627610-400
L100000601595,ET19-230
L100000601596,way/859755774-500
L100000601598,way/186395768-230
L100000601599,way/569627610-400
L100000601600,way/222891421-230
L100000601602,way/180619166-230
L100000601604,ET19-230
L100000601576,way/569990174-500
L100000601577,way/569990174-500
L100000601579,way/186395768-230
L100000601580,way/186395768-230
L100000601581,way/859755774-500
L100000601582,way/859755774-500
L100000601583,way/569990174-500
L100000604223,way/222891421-230
L100000601590,way/569990174-500
L100000601591,way/569627610-400
L100000601601,way/859755774-500
L100000604368,way/569990174-500
L100000601603,ET2-230
L100000700004,way/576081254-400
L100000700034,way/569627610-400
L100000700173,way/695773621-230
L100000800209,way/576081254-400
L100000800212,way/576081254-400
L100000811603,way/695773621-230
L100000900028,way/576081254-400
L100000900029,way/422547473-230
L100000900030,way/180619166-230
L100000900052,way/576081254-400
L100000916616,way/695773621-230
L100001018731,way/422547473-230
L100001020066,way/569627610-400
L100001023024,way/576081254-400
L100001025939,way/220122466-230
L100001025946,ET19-230
L100001046241,way/576081254-400
