bus_id,grid_cell
ET19-230,ETH_160
way/576081254-400,ETH_213
way/576081254-400,ETH_212
way/180619166-230,ETH_273
way/180619166-230,ETH_273
way/576081254-400,ETH_213
way/222891421-230,ETH_259
way/186395768-230,ETH_138
ET19-230,ETH_135
ET19-230,ETH_135
ET19-230,ETH_135
way/576081254-400,ETH_213
way/576081254-400,ETH_213
way/220122466-230,ETH_98
way/220122466-230,ETH_98
ET19-230,ETH_161
way/422547473-230,ETH_382
way/695773621-230,ETH_267
way/220122466-230,ETH_143
way/220122466-230,ETH_143
way/576081254-400,ETH_213
way/576081254-400,ETH_213
way/186395768-230,ETH_139
way/222891421-230,ETH_259
ET2-230,ETH_199
way/220122466-230,ETH_146
way/695773621-230,ETH_365
way/180619166-230,ETH_270
way/576081254-400,ETH_213
way/576081254-400,ETH_237
way/186395768-230,ETH_166
way/186395768-230,ETH_166
ET19-230,ETH_111
way/569627610-400,ETH_133
way/569627610-400,ETH_158
way/422547473-230,ETH_382
way/569627610-400,ETH_184
way/220122466-230,ETH_167
way/576081254-400,ETH_288
ET2-230,ETH_101
way/569990174-500,ETH_70
way/569990174-500,ETH_21
way/576081254-400,ETH_213
way/569627610-400,ETH_183
way/220122466-230,ETH_120
way/859755774-500,ETH_41
way/576081254-400,ETH_212
way/576081254-400,ETH_212
ET19-230,ETH_160
way/569990174-500,ETH_49
way/569990174-500,ETH_88
ET19-230,ETH_87
way/576081254-400,ETH_213
way/576081254-400,ETH_213
way/576081254-400,ETH_213
way/220122466-230,ETH_219
way/670304976-230,ETH_442
way/222891421-230,ETH_331
way/576081254-400,ETH_190
way/576081254-400,ETH_212
way/695773621-230,ETH_342
way/576081254-400,ETH_213
way/576081254-400,ETH_213
way/576081254-400,ETH_213
way/576081254-400,ETH_237
way/422547473-230,ETH_425
way/859755774-500,ETH_41
way/576081254-400,ETH_213
way/180619166-230,ETH_224
ET2-230,ETH_173
way/180619166-230,ETH_271
way/569627610-400,ETH_84
way/576081254-400,ETH_213
way/222891421-230,ETH_255
way/220122466-230,ETH_95
way/180619166-230,ETH_345
way/576081254-400,ETH_237
way/576081254-400,ETH_237
way/576081254-400,ETH_215
ET19-230,ETH_135
way/695773621-230,
way/422547473-230,ETH_405
way/220122466-230,ETH_244
ET2-230,ETH_149
way/180619166-230,ETH_222
ET19-230,ETH_161
way/576081254-400,ETH_213
way/422547473-230,ETH_383
way/422547473-230,ETH_382
way/180619166-230,ETH_224
way/569627610-400,ETH_84
way/422547473-230,ETH_425
way/186395768-230,ETH_139
way/186395768-230,ETH_139
ET2-230,
way/576081254-400,ETH_213
way/186395768-230,ETH_139
way/576081254-400,ETH_237
way/180619166-230,ETH_299
way/569627610-400,ETH_84
way/695773621-230,
way/859755774-500,ETH_41
way/569990174-500,ETH_0
way/569990174-500,ETH_1
way/569990174-500,ETH_2
way/569990174-500,ETH_3
way/569990174-500,ETH_4
way/569990174-500,ETH_5
way/569990174-500,ETH_6
way/569990174-500,ETH_7
way/569990174-500,ETH_8
way/569990174-500,ETH_9
way/569990174-500,ETH_10
way/569990174-500,ETH_11
way/569990174-500,ETH_12
way/569990174-500,ETH_13
way/859755774-500,ETH_14
way/859755774-500,ETH_15
way/859755774-500,ETH_16
way/569990174-500,ETH_17
way/569990174-500,ETH_18
way/569990174-500,ETH_19
way/569990174-500,ETH_20
way/569990174-500,ETH_22
way/569990174-500,ETH_23
way/569990174-500,ETH_24
way/859755774-500,ETH_25
way/859755774-500,ETH_26
way/859755774-500,ETH_27
way/569627610-400,ETH_28
way/569627610-400,ETH_29
way/569627610-400,ETH_30
way/569990174-500,ETH_31
way/569990174-500,ETH_32
way/569990174-500,ETH_33
way/569990174-500,ETH_34
way/569990174-500,ETH_35
way/569990174-500,ETH_36
way/569990174-500,ETH_37
way/859755774-500,ETH_38
way/859755774-500,ETH_39
way/859755774-500,ETH_40
way/859755774-500,ETH_42
way/569627610-400,ETH_43
way/569627610-400,ETH_44
way/569627610-400,ETH_45
way/569627610-400,ETH_46
way/569990174-500,ETH_47
way/569990174-500,ETH_48
way/569990174-500,ETH_50
way/569990174-500,ETH_51
way/569990174-500,ETH_52
way/569990174-500,ETH_53
way/859755774-500,ETH_54
way/859755774-500,ETH_55
way/859755774-500,ETH_56
way/859755774-500,ETH_57
way/220122466-230,ETH_58
way/220122466-230,ETH_59
way/569627610-400,ETH_60
way/569627610-400,ETH_61
way/569627610-400,ETH_62
way/569627610-400,ETH_63
way/569627610-400,ETH_64
way/569627610-400,ETH_65
ET19-230,ETH_66
ET19-230,ETH_67
way/569990174-500,ETH_68
way/569990174-500,ETH_69
way/569990174-500,ETH_71
way/569990174-500,ETH_72
way/859755774-500,ETH_73
way/220122466-230,ETH_74
way/220122466-230,ETH_75
way/220122466-230,ETH_76
way/220122466-230,ETH_77
way/220122466-230,ETH_78
way/220122466-230,ETH_79
way/569627610-400,ETH_80
way/569627610-400,ETH_81
way/569627610-400,ETH_82
way/569627610-400,ETH_83
ET19-230,ETH_86
way/569990174-500,ETH_89
way/569990174-500,ETH_90
way/569990174-500,ETH_91
way/186395768-230,ETH_92
way/186395768-230,ETH_93
way/220122466-230,ETH_94
way/220122466-230,ETH_96
way/220122466-230,ETH_97
way/220122466-230,ETH_99
ET2-230,ETH_100
ET2-230,ETH_102
way/569627610-400,ETH_103
way/569627610-400,ETH_104
way/569627610-400,ETH_105
way/569627610-400,ETH_106
way/569627610-400,ETH_107
way/569627610-400,ETH_108
way/569627610-400,ETH_109
ET19-230,ETH_110
ET19-230,ETH_112
way/569990174-500,ETH_113
way/186395768-230,ETH_114
way/186395768-230,ETH_115
way/186395768-230,ETH_116
way/186395768-230,ETH_117
way/220122466-230,ETH_118
way/220122466-230,ETH_119
way/220122466-230,ETH_121
way/220122466-230,ETH_122
way/220122466-230,ETH_123
ET2-230,ETH_124
ET2-230,ETH_125
ET2-230,ETH_126
way/569627610-400,ETH_127
way/569627610-400,ETH_128
way/569627610-400,ETH_129
way/569627610-400,ETH_130
way/569627610-400,ETH_131
way/569627610-400,ETH_132
way/569627610-400,ETH_134
ET19-230,ETH_136
way/186395768-230,ETH_137
way/186395768-230,ETH_140
way/186395768-230,ETH_141
way/220122466-230,ETH_142
way/220122466-230,ETH_144
way/220122466-230,ETH_145
way/220122466-230,ETH_147
ET2-230,ETH_148
ET2-230,ETH_150
way/222891421-230,ETH_151
way/222891421-230,ETH_152
way/569627610-400,ETH_153
way/569627610-400,ETH_154
way/569627610-400,ETH_155
way/569627610-400,ETH_156
way/569627610-400,ETH_157
ET19-230,ETH_159
ET19-230,ETH_162
way/186395768-230,ETH_163
way/186395768-230,ETH_164
way/186395768-230,ETH_165
way/220122466-230,ETH_168
way/220122466-230,ETH_169
way/220122466-230,ETH_170
way/220122466-230,ETH_171
ET2-230,ETH_172
ET2-230,ETH_174
ET2-230,ETH_175
way/222891421-230,ETH_176
way/222891421-230,ETH_177
way/222891421-230,ETH_178
way/222891421-230,ETH_179
way/569627610-400,ETH_180
way/569627610-400,ETH_181
way/569627610-400,ETH_182
ET19-230,ETH_185
ET19-230,ETH_186
way/576081254-400,ETH_187
way/576081254-400,ETH_188
way/576081254-400,ETH_189
way/186395768-230,ETH_191
way/220122466-230,ETH_192
way/220122466-230,ETH_193
way/220122466-230,ETH_194
way/220122466-230,ETH_195
way/220122466-230,ETH_196
ET2-230,ETH_198
ET2-230,ETH_200
way/222891421-230,ETH_201
way/222891421-230,ETH_202
way/222891421-230,ETH_203
way/222891421-230,ETH_204
way/222891421-230,ETH_205
way/569627610-400,ETH_206
way/569627610-400,ETH_207
way/569627610-400,ETH_208
way/569627610-400,ETH_209
way/569627610-400,ETH_210
way/576081254-400,ETH_211
way/576081254-400,ETH_214
way/576081254-400,ETH_216
way/220122466-230,ETH_217
way/220122466-230,ETH_218
way/220122466-230,ETH_220
way/180619166-230,ETH_221
way/180619166-230,ETH_223
way/180619166-230,ETH_225
way/222891421-230,ETH_226
way/222891421-230,ETH_227
way/222891421-230,ETH_228
way/222891421-230,ETH_229
way/222891421-230,ETH_230
