bus_id,voltage,dc,symbol,under_construction,tags,x,y,country
FI1-220,220,f,Substation,f,FI1,27.227319700000024,69.84352599810163,FI
FI10-400,400,f,Substation,f,FI10,22.012815000000003,61.48832419721636,FI
FI11-400,400,f,Substation,f,FI11,23.97932231770993,61.46556331725517,FI
FI12-400,400,f,Substation,f,FI12,23.9468652,61.44566639721009,FI
FI13-400,400,f,Substation,f,FI13,23.4990097,61.42142489720664,FI
FI14-400,400,f,Substation,f,FI14,23.5157309,61.408480197204696,FI
FI15-400,400,f,Substation,f,FI15,23.76054330000001,61.40499149720421,FI
FI16-400,400,f,Substation,f,FI16,23.7993479,61.398400497203255,FI
FI17-400,400,f,Substation,f,FI17,23.58268985947744,61.39278537107242,FI
FI18-400,400,f,Substation,f,FI18,21.5855385,61.20708349717497,FI
FI19-400,400,f,Substation,f,FI19,21.65642754936646,61.189199874706375,FI
FI2-220,220,f,Substation,f,FI2,27.324774799999982,66.40469049778918,FI
FI20-400,400,f,Substation,f,FI20,22.25244172617432,61.17183009780842,FI
FI21-400,400,f,Substation,f,FI21,22.44427247852662,61.159111792914274,FI
FI22-400,400,f,Substation,f,FI22,21.75283746831692,61.15757515699234,FI
FI25-400,400,f,Substation,f,FI25,24.2446145,60.77423099710879,FI
FI26-400,400,f,Substation,f,FI26,24.66006989999998,60.76229479710683,FI
FI27-400,400,f,Substation,f,FI27,24.73821199999999,60.75647019710594,FI
FI28-400,400,f,Substation,f,FI28,24.99548971453664,60.75433800129794,FI
FI29-400,400,f,Substation,f,FI29,24.855618599999968,60.74934669710486,FI
FI3-400,400,f,Substation,f,FI3,25.388823100000003,66.26961449777609,FI
FI30-400,400,f,Substation,f,FI30,24.905908145454468,60.6092300756702,FI
FI31-400,400,f,Substation,f,FI31,25.97678390034075,60.47389207500799,FI
FI32-400,400,f,Substation,f,FI32,25.72408394815809,60.43374508949451,FI
FI33-400,400,f,Substation,f,FI33,25.788083895390887,60.43208423899991,FI
FI34-400,400,f,Substation,f,FI34,25.6122294,60.431311797054015,FI
FI35-400,400,f,Substation,f,FI35,25.584932899999984,60.429052597053534,FI
FI36-400,400,f,Substation,f,FI36,24.69139373743972,60.23750252341222,FI
FI37-400,400,f,Substation,f,FI37,24.637755027682807,60.2182140520793,FI
FI38-400,400,f,Substation,f,FI38,24.27254260000001,60.166297497010255,FI
FI4-400,400,f,Substation,f,FI4,25.7434331,64.94433869764181,FI
FI5-220,220,f,Substation,f,FI5,26.012085199502568,64.85428834769867,FI
FI6-220,220,f,Substation,f,FI6,26.707926350120164,64.57961009774979,FI
FI7-220,220,f,Substation,f,FI7,25.46442159953067,64.1173010476738,FI
FI8-400,400,f,Substation,f,FI8,21.4296909,62.28469969732712,FI
FI9-220,220,f,Substation,f,FI9,21.33869051214505,62.25516781446427,FI
relation/15436115-220,220,f,Substation,f,relation/15436115,28.41500903325628,64.59115296669569,FI
way/1107461441-400,400,f,Substation,f,way/1107461441,25.29540806526525,63.80661675996699,FI
way/1155254820-400,400,f,Substation,f,way/1155254820,21.651570322482726,62.48225377058248,FI
way/1159141282-220,220,f,Substation,f,way/1159141282,27.287359401110027,66.74998798571245,FI
way/123462491-400,400,f,Substation,f,way/123462491,22.71390651968581,62.78577238749794,FI
way/1262323677,150,t,Substation,f,way/1262323677,24.55164507361117,60.2037477147384,FI
way/1275744419,500,t,Substation,f,way/1275744419,21.62613766363985,61.15210904818628,FI
way/1275744419-400,400,f,Substation,f,way/1275744419,21.624219302700272,61.15248297906163,FI
way/128463750-400,400,f,Substation,f,way/128463750,27.52066559172508,63.18745759766866,FI
way/1286130176-400,400,f,Substation,f,way/1286130176,21.67049393352903,62.11760980918756,FI
way/1306874220-400,400,f,Substation,f,way/1306874220,24.561833224065435,64.42222244392516,FI
way/1321685855-400,400,f,Substation,f,way/1321685855,24.515231021256493,63.5196627044436,FI
way/136068907-400,400,f,Substation,f,way/136068907,24.16999172177948,63.03210094388459,FI
way/144383819-400,400,f,Substation,f,way/144383819,24.8752456206663,63.972589823678064,FI
way/144832705-400,400,f,Substation,f,way/144832705,26.906494831404384,60.59890457912755,FI
way/149965733-220,220,f,Substation,f,way/149965733,26.071330290894803,64.84378582332207,FI
way/149965733-400,400,f,Substation,f,way/149965733,26.071873106974504,64.84392757240916,FI
way/149965738-220,220,f,Substation,f,way/149965738,26.035474759522693,64.8449552983974,FI
way/149965739-400,400,f,Substation,f,way/149965739,25.73688586317235,64.9170094528015,FI
