bus0,bus1,voltage,s_nom,r,x,b,length,type
way/1107461441-400,way/149965733-400,400,1787.476,3.838163,31.472935,0.00055467,127938.76,Al/St 240/40 4-bundle 380.0
way/149965733-400,way/1306874220-400,400,1787.476,3.267516,26.793631,0.0004722,108917.2,Al/St 240/40 4-bundle 380.0
way/34623113-400,way/173431802-400,400,1787.476,2.446677,20.062754,0.00035358,81555.91,Al/St 240/40 4-bundle 380.0
way/149965733-400,way/208979069-400,400,1787.476,3.104624,25.457918,0.00044866,103487.47,Al/St 240/40 4-bundle 380.0
way/551596913-400,way/1306874220-400,400,1787.476,0.640477,5.251911,9.26e-05,21349.23,Al/St 240/40 4-bundle 380.0
way/150209972-400,way/590767557-400,400,1787.476,3.26843,26.801122,0.00047233,108947.65,Al/St 240/40 4-bundle 380.0
way/123462491-400,way/150209972-400,400,1787.476,1.636146,13.416397,0.00023644,54538.2,Al/St 240/40 4-bundle 380.0
way/144383819-400,way/149965739-400,400,1787.476,3.392888,27.821682,0.00049032,113096.27,Al/St 240/40 4-bundle 380.0
way/144383819-400,way/149965739-400,400,1787.476,3.392605,27.819363,0.00049028,113086.84,Al/St 240/40 4-bundle 380.0
way/239242345-400,way/98613134-400,400,1787.476,1.630793,13.372503,0.00023567,54359.77,Al/St 240/40 4-bundle 380.0
way/590767557-400,way/551596913-400,400,1787.476,2.428765,19.915872,0.00035099,80958.83,Al/St 240/40 4-bundle 380.0
way/98609844-400,way/98589905-400,400,1787.476,0.082776,0.678761,1.2e-05,2759.19,Al/St 240/40 4-bundle 380.0
way/55275882-400,way/28820749-400,400,1787.476,0.275845,2.261926,3.99e-05,9194.82,Al/St 240/40 4-bundle 380.0
FI26-400,FI25-400,400,3574.953,0.349083,2.862482,0.00020179,23272.21,Al/St 240/40 4-bundle 380.0
FI10-400,FI13-400,400,1787.476,2.790203,22.879668,0.00040322,93006.78,Al/St 240/40 4-bundle 380.0
way/167705754-400,way/1107461441-400,400,1787.476,5.21939,42.798999,0.00075427,173979.67,Al/St 240/40 4-bundle 380.0
FI11-400,way/34623113-400,400,1787.476,0.104767,0.859089,1.51e-05,3492.23,Al/St 240/40 4-bundle 380.0
way/55275882-400,way/98735006-400,400,1787.476,3.115591,25.547845,0.00045024,103853.03,Al/St 240/40 4-bundle 380.0
way/98561229-400,way/881741424-400,400,1787.476,4.563146,37.417796,0.00065944,152104.86,Al/St 240/40 4-bundle 380.0
way/348358044-400,way/881741424-400,400,1787.476,1.706422,13.992662,0.0002466,56880.74,Al/St 240/40 4-bundle 380.0
FI30-400,FI11-400,400,1787.476,3.563081,29.217263,0.00051491,118769.36,Al/St 240/40 4-bundle 380.0
way/1155254820-400,FI8-400,400,1787.476,0.861763,7.066458,0.00012454,28725.44,Al/St 240/40 4-bundle 380.0
way/388832477-220,way/169899622-220,220,491.556,1.951412,9.789583,0.00012772,32523.53,Al/St 240/40 2-bundle 220.0
way/391142034-220,way/388655178-220,220,491.556,1.298612,6.514706,8.5e-05,21643.54,Al/St 240/40 2-bundle 220.0
way/620351437-220,way/391145068-220,220,491.556,2.886455,14.480382,0.00018892,48107.58,Al/St 240/40 2-bundle 220.0
way/55609623-220,way/314853393-220,220,491.556,7.802561,39.142847,0.00051068,130042.68,Al/St 240/40 2-bundle 220.0
way/98613134-400,way/498816162-400,400,1787.476,1.118927,9.1752,0.0001617,37297.56,Al/St 240/40 4-bundle 380.0
way/388655178-220,FI2-220,220,491.556,0.67204,3.371399,4.4e-05,11200.66,Al/St 240/40 2-bundle 220.0
way/348358044-400,way/98561229-400,400,1787.476,2.857258,23.429515,0.00041291,95241.93,Al/St 240/40 4-bundle 380.0
way/98735006-400,FI25-400,400,1787.476,1.158352,9.498483,0.0001674,38611.72,Al/St 240/40 4-bundle 380.0
way/123462491-400,FI10-400,400,1787.476,4.63146,37.97797,0.00066931,154381.99,Al/St 240/40 4-bundle 380.0
way/96660466-400,FI29-400,400,1787.476,0.104775,0.859153,1.51e-05,3492.49,Al/St 240/40 4-bundle 380.0
way/1286130176-400,way/98613134-400,400,1787.476,2.239837,18.366663,0.00032369,74661.23,Al/St 240/40 4-bundle 380.0
FI7-220,way/149965738-220,220,491.556,5.162704,25.899566,0.0003379,86045.07,Al/St 240/40 2-bundle 220.0
FI30-400,way/96660466-400,400,1787.476,0.504055,4.13325,7.28e-05,16801.83,Al/St 240/40 4-bundle 380.0
way/98613134-400,way/1275744419-400,400,1787.476,1.274512,10.450998,0.00018418,42483.73,Al/St 240/40 4-bundle 380.0
FI18-400,way/1275744419-400,400,1787.476,0.196072,1.607792,2.83e-05,6535.74,Al/St 240/40 4-bundle 380.0
way/98609844-400,way/98589905-400,400,1787.476,0.085017,0.697139,1.23e-05,2833.9,Al/St 240/40 4-bundle 380.0
way/150209972-400,way/1155254820-400,400,1787.476,1.92958,15.822558,0.00027885,64319.34,Al/St 240/40 4-bundle 380.0
way/238856422-400,FI30-400,400,1787.476,1.576365,12.926193,0.00022781,52545.5,Al/St 240/40 4-bundle 380.0
way/136068907-400,way/1321685855-400,400,1787.476,1.720295,14.106422,0.00024861,57343.18,Al/St 240/40 4-bundle 380.0
way/388832477-220,way/857250602-220,220,491.556,0.703915,3.531308,4.61e-05,11731.92,Al/St 240/40 2-bundle 220.0
way/128463750-400,way/881741424-400,400,1787.476,3.45712,28.348383,0.0004996,115237.33,Al/St 240/40 4-bundle 380.0
FI8-400,way/1286130176-400,400,1787.476,1.009956,8.281637,0.00014595,33665.19,Al/St 240/40 4-bundle 380.0
way/388655178-220,way/1159141282-220,220,491.556,2.895371,14.52511,0.0001895,48256.18,Al/St 240/40 2-bundle 220.0
way/136068907-400,way/144383819-400,400,1787.476,3.323241,27.250579,0.00048025,110774.71,Al/St 240/40 4-bundle 380.0
way/136068907-400,way/144383819-400,400,1787.476,3.322837,27.247263,0.00048019,110761.23,Al/St 240/40 4-bundle 380.0
way/150282502-220,FI7-220,220,491.556,0.146738,0.736135,9.6e-06,2445.63,Al/St 240/40 2-bundle 220.0
way/286955409-220,way/55609623-220,220,491.556,1.201385,6.02695,7.86e-05,20023.09,Al/St 240/40 2-bundle 220.0
way/151818544-400,way/95392702-400,400,1787.476,1.230781,10.092403,0.00017786,41026.03,Al/St 240/40 4-bundle 380.0
FI5-220,way/149965733-220,220,491.556,0.215753,1.082363,1.41e-05,3595.89,Al/St 240/40 2-bundle 220.0
way/149965738-220,FI6-220,220,491.556,2.86744,14.384989,0.00018767,47790.66,Al/St 240/40 2-bundle 220.0
