GEM location ID,bus_id
L100000500194,way/53047196-400
L100000500004,way/98609844-400
L100000200209,way/43143343-400
L100000407832,way/144832705-400
L100000400076,FI26-400
L100000201151,way/173431802-400
L100000201152,way/881741424-400
L100000201153,way/98561229-400
L100000200256,way/47317827-400
L100000200257,way/47317827-400
L100000400078,FI38-400
L100000407830,way/144832705-400
L100000201155,way/35281467-400
L100000101840,FI28-400
L100000201157,FI4-400
L100000201158,way/98561229-400
L100000201159,way/1275744419-400
L100000101849,way/151818544-400
L100000201161,FI4-400
L100000201162,way/590767557-400
L100000201163,way/498816162-400
L100000201164,way/348358044-400
L100000101835,way/1275744419-400
L100000201166,way/128463750-400
L100000200314,way/28820749-400
L100000201167,way/881741424-400
L100000201168,way/590767557-400
L100001000053,way/98735006-400
L100000400077,way/35281467-400
L100001000054,way/881741424-400
L100001000061,way/55275882-400
L100001000055,FI9-220
L100000400079,FI15-400
L100000407829,way/98561229-400
L100001000056,way/151818544-400
L100000400080,way/34623113-400
L100000400081,FI13-400
L100001000057,way/98609844-400
L100000407828,way/26619335
L100000400082,way/26619335
L100001000062,way/1306874220-400
L100000101848,FI37-400
L100000101842,way/498816162-400
L100001000059,FI35-400
L100001000060,FI26-400
L100001000064,way/150209972-400
L100000101852,way/28820749-400
L100000101839,way/35281467-400
L100000101846,way/55275882-400
L100000101841,way/498816162-400
L100000101847,way/55275882-400
L100000101838,way/150209972-400
L100000907982,way/881741424-400
L100000908076,way/544156119-400
L100000908079,way/169899622-220
L100000908973,way/544156119-400
L100000909066,way/136068907-400
L100000909275,way/144832705-400
L100000909306,way/98735006-400
L100000909451,way/1155254820-400
L100000909479,FI13-400
L100000909501,way/167705754-400
L100000909605,way/1306874220-400
L100000909995,way/551596913-400
L100000910071,way/590767557-400
L100000910360,way/1155254820-400
L100000910368,way/95392702-400
L100000910403,way/351960012-400
L100000910640,way/217032425-400
L100000910840,way/544156119-400
L100000910870,way/544156119-400
L100000910879,way/47317827-400
L100000911088,way/128463750-400
L100000911128,way/173431802-400
L100000911234,way/169899622-220
L100000911391,way/498816162-400
L100000911412,way/149965739-400
L100000911581,way/551596913-400
L100000911601,way/551596913-400
L100000911641,way/1155254820-400
L100000911656,way/98735006-400
L100000911661,way/35281467-400
L100000911719,way/144383819-400
L100000911867,way/123462491-400
L100000911878,way/1306874220-400
L100000911905,way/98561229-400
L100000911925,way/1306874220-400
L100000911961,way/169899622-220
L100000911985,way/1107461441-400
L100000912072,way/1286130176-400
L100000912138,way/149965739-400
L100000912219,way/1107461441-400
L100000912254,way/544156119-400
L100000912264,way/150209972-400
L100000912270,FI2-220
L100000912420,way/1286130176-400
L100000912425,relation/15436115-220
L100000912428,way/881741424-400
L100000912433,way/671568771-220
L100000912460,way/1306874220-400
L100000912629,way/123462491-400
L100000912679,way/1155254820-400
L100000912716,way/98735006-400
L100000912790,way/1286130176-400
L100000912809,way/136068907-400
L100000912822,way/1306874220-400
L100000912905,way/620351437-220
L100000912906,way/1286130176-400
L100000912922,way/136068907-400
L100000912926,FI10-400
L100000912943,way/151818544-400
L100000913086,way/167705754-400
L100000913131,way/551596913-400
L100000913159,way/144383819-400
L100000913168,way/1107461441-400
L100000913205,way/136068907-400
L100000913207,way/551596913-400
L100000913275,relation/15436115-220
L100000913289,way/1286130176-400
L100000913315,way/1321685855-400
L100000913333,FI6-220
L100000913342,way/144383819-400
L100000913361,way/590767557-400
L100000913401,way/857250602-220
L100000913413,way/150209972-400
L100000913414,way/150209972-400
L100000913415,way/123462491-400
L100000913416,way/150209972-400
L100000913488,way/1155254820-400
L100000913541,way/1159141282-220
L100000913671,way/1155254820-400
L100000913771,way/1306874220-400
L100000913827,way/551596913-400
L100000913887,way/388832477-220
L100000913892,way/551596913-400
L100000913896,way/47317827-400
L100000914036,way/1155254820-400
L100000914065,way/169899622-220
L100000914115,way/167705754-400
L100000914218,way/551596913-400
L100000914263,way/239242345-400
L100000914355,way/150282502-220
L100000914371,way/590767557-400
L100000914435,way/1306874220-400
L100000914445,way/136068907-400
L100000914446,FI7-220
L100000914482,way/144383819-400
L100000914483,way/123462491-400
L100000914527,way/136068907-400
L100000914529,way/239242345-400
L100000914534,way/144383819-400
L100000914543,way/169899622-220
L100000914548,relation/15436115-220
L100000914573,way/150209972-400
L100000914588,way/1321685855-400
L100000914699,way/590767557-400
L100000914734,way/1306874220-400
L100000914737,way/1155254820-400
L100000915018,way/498816162-400
L100000915091,way/1286130176-400
L100000915144,way/150209972-400
L100000915178,way/208979069-400
L100000915206,way/123462491-400
L100000915285,way/590767557-400
L100000915335,way/544156119-400
L100000915349,way/1286130176-400
L100000915365,relation/15436115-220
L100000915393,way/1306874220-400
L100000915422,way/551596913-400
L100000915443,way/551596913-400
L100000915460,way/391140226-400
L100000915461,way/144383819-400
L100000915470,way/551596913-400
L100000915472,way/551596913-400
L100000915481,way/150209972-400
L100000915492,way/1321685855-400
L100000915532,way/150209972-400
L100000915538,way/217032425-400
L100000915546,way/1155254820-400
L100000915553,way/150209972-400
L100000915558,way/136068907-400
L100000915596,way/551596913-400
L100000915597,way/551596913-400
L100000915620,way/1107461441-400
L100000915621,way/1107461441-400
L100000915623,way/150209972-400
L100000915629,way/1155254820-400
L100000915631,FI4-400
L100000915667,way/857250602-220
L100000915669,way/1159141282-220
L100000915692,way/136068907-400
L100000915698,way/1286130176-400
L100000915701,way/1155254820-400
L100000915703,way/314853393-220
L100000915716,way/1107461441-400
L100000915722,way/857250602-220
L100000915780,way/1286130176-400
L100000915784,way/1155254820-400
L100000915794,way/151818544-400
L100000915801,way/144383819-400
L100000915814,way/1321685855-400
L100000915819,way/1306874220-400
L100000915824,FI2-220
L100000915839,way/881741424-400
L100000915842,way/208979069-400
L100000915886,way/1306874220-400
L100000915888,way/1155254820-400
L100000915893,way/544156119-400
L100000915898,way/1286130176-400
L100000915923,way/136068907-400
L100000915925,way/47317827-400
L100000915934,way/123462491-400
L100000915941,way/98589905-400
L100000915966,way/551596913-400
L100000915967,FI6-220
L100000915969,way/351960012-220
L100000916004,way/136068907-400
L100000916055,way/590767557-400
L100000916080,way/136068907-400
L100000916094,way/1321685855-400
L100000916117,FI7-220
L100000916129,FI6-220
L100000916137,way/544156119-400
L100000916145,FI2-220
L100000916152,FI8-400
L100000916168,way/857250602-220
L100000916169,way/136068907-400
L100000916180,way/590767557-400
L100000916187,way/1306874220-400
L100000916204,way/1321685855-400
