bus_id,grid_cell
FI1-220,FIN_143
FI10-400,FIN_15
FI11-400,FIN_40
FI12-400,FIN_40
FI13-400,FIN_40
FI14-400,FIN_40
FI15-400,FIN_40
FI16-400,FIN_40
FI17-400,FIN_40
FI18-400,FIN_3
FI18-400,wof-FIN_25
FI19-400,FIN_15
FI19-400,wof-FIN_25
FI2-220,FIN_135
FI20-400,FIN_15
FI21-400,FIN_15
FI22-400,FIN_15
FI22-400,wof-FIN_25
FI25-400,FIN_39
FI26-400,FIN_58
FI27-400,FIN_58
FI28-400,FIN_58
FI29-400,FIN_58
FI3-400,FIN_91
FI30-400,FIN_57
FI30-400,wof-FIN_56
FI31-400,FIN_78
FI31-400,wof-FIN_62
FI32-400,FIN_78
FI32-400,wof-FIN_62
FI33-400,FIN_78
FI33-400,wof-FIN_62
FI34-400,FIN_78
FI34-400,wof-FIN_62
FI35-400,FIN_78
FI35-400,wof-FIN_62
FI36-400,FIN_57
FI36-400,wof-FIN_56
FI37-400,FIN_57
FI37-400,wof-FIN_56
FI38-400,FIN_37
FI38-400,wof-FIN_47
FI4-400,FIN_88
FI4-400,wof-FIN_63
FI5-220,FIN_88
FI5-220,wof-FIN_63
FI6-220,FIN_109
FI7-220,FIN_86
FI8-400,FIN_5
FI8-400,wof-FIN_27
FI9-220,FIN_5
FI9-220,wof-FIN_27
relation/15436115-220,FIN_153
way/1107461441-400,FIN_86
way/1155254820-400,FIN_18
way/1155254820-400,wof-FIN_28
way/1159141282-220,FIN_136
way/123462491-400,FIN_30
way/1262323677,FIN_57
way/1262323677,wof-FIN_56
way/1275744419,FIN_15
way/1275744419,wof-FIN_25
way/1275744419-400,FIN_15
way/1275744419-400,wof-FIN_25
way/128463750-400,FIN_128
way/1286130176-400,FIN_17
way/1286130176-400,wof-FIN_27
way/1306874220-400,FIN_66
way/1321685855-400,FIN_64
way/136068907-400,FIN_44
way/144383819-400,FIN_65
way/144832705-400,FIN_100
way/144832705-400,wof-FIN_66
way/149965733-220,FIN_110
way/149965733-220,wof-FIN_63
way/149965733-400,FIN_110
way/149965733-400,wof-FIN_63
way/149965738-220,FIN_88
way/149965738-220,wof-FIN_63
way/149965739-400,FIN_88
way/149965739-400,wof-FIN_63
way/150209972-400,FIN_19
way/150209972-400,wof-FIN_29
way/150282502-220,FIN_86
way/151818544-400,FIN_25
way/151818544-400,wof-FIN_34
way/159532385-400,FIN_57
way/159532385-400,wof-FIN_56
way/167705754-400,FIN_61
way/169899622-220,FIN_69
way/169899622-220,wof-FIN_59
way/173431802-400,FIN_60
way/208979069-400,FIN_130
