GEM location ID,bus_id
L100000101855,FR186-225
L100000101856,way/222188543-400
L100000400098,way/225210595-225
L100000101866,FR186-225
L100000200253,way/82741307-225
L100000200254,way/82741307-225
L100000200316,way/85710783-400
L100000201169,way/235370803-400
L100000101853,way/110086345-400
L100000400088,way/753113423
L100000400090,way/83726363-225
L100000101857,way/225210595-225
L100000101860,way/85605950-400
L100000400093,way/110086345-400
L100000400094,way/225210595-225
L100000400095,way/110086345-400
L100000400096,relation/13260224-225
L100000400101,way/82741307-225
L100000400102,way/110086345-400
L100000400104,way/222188543-400
L100000400105,way/82825438-400
L100000400106,way/85710783-400
L100000400109,FR186-225
L100000401426,way/222188543-400
L100000406385,way/82741307-225
L100000406382,way/82741307-225
L100000406384,way/82741307-225
L100000406386,way/110086345-400
L100000407634,way/110086345-400
L100000407633,way/24020601-400
L100000407652,way/39389229-400
L100000407653,way/81638061-220
L100000407654,way/235370803-400
L100000407655,way/82741307-225
L100000407657,way/85605950-400
L100000407647,way/83726363-225
L100000407648,way/225210595-225
L100000407672,way/235370803-400
L100000407931,way/85710783-400
L100000407932,way/82741307-225
L100000407933,way/24020601-400
L100000407934,way/82741307-225
L100000407936,way/110086345-400
L100000407937,way/85605950-400
L100000104715,way/82741307-225
L100000408772,way/222188543-400
L100000408773,way/81638061-220
L100000408774,FR186-225
L100000408764,way/82741307-225
L100000408765,way/207479669-225
L100000408766,way/225210595-225
L100000408743,way/110086345-400
L100000408744,way/225210595-225
L100000408745,way/222188543-400
L100000408805,way/222188543-400
L100000500005,way/222188543-400
L100000500006,way/235370803-400
L100000500007,way/82825438-400
L100000500032,way/85710783-400
L100000500033,way/85710783-400
L100000500034,way/24020601-400
L100000500035,way/82741307-225
L100000500036,way/207479669-225
L100000500037,way/82741307-225
L100000500038,way/225210595-225
L100000500130,way/110086345-400
L100000500131,way/82741307-225
L100000500132,way/110086345-400
L100000500133,way/753113423
L100000500134,way/235370803-400
L100000500135,relation/13260224-225
L100000500136,way/24020601-400
L100000500137,way/82741307-225
