bus_id,grid_cell
way/82741307-225,FRA_151
way/82741307-225,FRA_154
way/24020601-400,FRA_218
way/24020601-400,FRA_218
way/24020601-400,FRA_218
way/82741307-225,FRA_154
way/83293593-225,FRA_252
way/110086345-400,FRA_180
way/110086345-400,wof-FRA_174
way/110086345-400,FRA_230
way/110086345-400,wof-FRA_190
way/82741307-225,FRA_155
way/753113423,FRA_95
way/82741307-225,FRA_155
way/85710783-400,FRA_98
way/81638061-220,FRA_284
way/82741307-225,FRA_133
way/82741307-225,FRA_157
way/39389229-400,FRA_270
way/82741307-225,FRA_135
way/82741307-225,FRA_171
way/753113423,FRA_95
way/81638061-220,FRA_283
way/207479669-225,FRA_104
way/146449309-400,FRA_266
way/146449309-400,FRA_266
way/24020601-400,FRA_234
way/83726363-225,FRA_167
way/83726363-225,FRA_168
way/82741307-225,FRA_173
way/179260933-400,FRA_190
way/225210595-225,FRA_259
way/225210595-225,FRA_258
way/39389229-400,FRA_257
way/83726363-225,FRA_147
way/179260933-400,FRA_191
way/82741307-225,FRA_174
way/82741307-225,FRA_155
way/82825438-400,FRA_210
way/82825438-400,FRA_211
way/82825438-400,FRA_210
way/312728271,FRA_141
way/82825438-400,FRA_227
way/82825438-400,FRA_227
way/85605950-400,FRA_177
way/83293593-225,FRA_236
way/83726363-225,FRA_146
way/24020601-400,FRA_235
way/83293593-225,FRA_250
way/24020601-400,FRA_218
way/24020601-400,FRA_218
way/24020601-400,FRA_217
way/110086345-400,FRA_215
way/24020601-400,FRA_216
way/82741307-225,FRA_156
way/1271288346,FRA_139
way/1271288346,wof-FRA_167
relation/13260224-225,wof-FRA_167
way/85605950-400,FRA_158
way/82741307-225,FRA_176
way/82741307-225,FRA_156
way/85605950-400,FRA_178
way/85605950-400,FRA_178
way/85710783-400,FRA_117
way/85710783-400,FRA_117
way/82741307-225,FRA_136
way/85710783-400,FRA_99
way/85710783-400,FRA_116
way/222188543-400,FRA_33
way/222188543-400,FRA_34
way/222188543-400,wof-FRA_137
way/222188543-400,FRA_49
way/222188543-400,FRA_47
way/753113423,FRA_65
way/222188543-400,FRA_30
way/222188543-400,FRA_14
way/222188543-400,wof-FRA_107
way/753113423,FRA_79
way/753113423,FRA_95
way/82741307-225,FRA_112
way/82741307-225,FRA_133
way/82741307-225,FRA_153
way/82741307-225,FRA_152
way/82741307-225,FRA_153
way/82741307-225,FRA_135
FR186-225,FRA_276
FR186-225,wof-FRA_205
FR186-225,FRA_245
way/146449309-400,FRA_265
way/82741307-225,FRA_190
way/312728271,FRA_142
way/753113423,FRA_77
way/110086345-400,FRA_246
way/110086345-400,wof-FRA_190
way/83293593-225,FRA_252
way/235370803-400,FRA_57
way/235370803-400,FRA_58
way/235370803-400,FRA_59
way/235370803-400,FRA_93
way/83726363-225,FRA_130
way/235370803-400,FRA_56
way/207479669-225,FRA_87
way/312728271,FRA_123
way/312728271,FRA_123
way/110086345-400,FRA_214
way/207479669-225,FRA_85
way/235370803-400,FRA_76
way/207479669-225,FRA_53
way/235370803-400,FRA_55
way/111558550-400,FRA_37
way/111558550-400,FRA_23
way/111558550-400,wof-FRA_124
way/222188543-400,FRA_28
way/235370803-400,FRA_91
way/83726363-225,FRA_146
way/110086345-400,FRA_198
way/222188543-400,FRA_29
way/179260933-400,FRA_170
way/82741307-225,FRA_135
way/753113423,FRA_77
way/85605950-400,FRA_177
way/82825438-400,FRA_194
way/81638061-220,FRA_284
way/146402374-225,FRA_285
way/24020601-400,FRA_203
relation/13260224-225,wof-FRA_167
way/753113423,FRA_82
way/82741307-225,FRA_191
way/82825438-400,FRA_228
way/179260933-400,FRA_208
FR186-225,FRA_261
FR186-225,wof-FRA_199
FR186-225,FRA_261
FR186-225,wof-FRA_199
way/179260933-400,FRA_220
way/225210595-225,FRA_274
way/225210595-225,FRA_259
way/225210595-225,FRA_225
way/222188543-400,FRA_4
way/225210595-225,FRA_257
way/110086345-400,FRA_230
way/146449309-400,FRA_265
way/146449309-400,FRA_265
way/146449309-400,FRA_250
way/207479669-225,FRA_87
way/39389229-400,FRA_253
way/82741307-225,FRA_174
way/82741307-225,FRA_112
way/179260933-400,FRA_221
way/82741307-225,FRA_155
way/83293593-225,FRA_251
way/222188543-400,FRA_8
way/81638061-220,FRA_285
