bus_id,station_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country
way/24020601-400,way/24020601,400.0,f,Substation,f,way/24020601,5.122572671557388,45.66217008132663,FR,400.0,FR
way/27259817-400,way/27259817,400.0,f,Substation,f,way/27259817,5.342950461873779,43.446950090857136,FR,400.0,FR
way/36805588-400,way/36805588,400.0,f,Substation,f,way/36805588,2.250614181253798,49.93988915712409,FR,400.0,FR
way/49510896-400,way/49510896,400.0,f,Substation,f,way/49510896,1.273472867102743,43.81677560531284,FR,400.0,FR
way/71933077-400,way/71933077,400.0,f,Substation,f,way/71933077,3.2704876665054625,45.81356701391613,FR,400.0,FR
way/79866837-400,way/79866837,400.0,f,Substation,f,way/79866837,2.8669302148224367,48.389425873263015,FR,400.0,FR
way/81641090-400,way/81641090,400.0,f,Substation,f,way/81641090,6.2770799072223245,49.197840161257545,FR,400.0,FR
way/82599261-400,way/82599261,400.0,f,Substation,f,way/82599261,3.918529736415025,48.51985667140374,FR,400.0,FR
way/82825438-400,way/82825438,400.0,f,Substation,f,way/82825438,4.572872096753221,49.827474846843714,FR,400.0,FR
way/85047359-400,way/85047359,400.0,f,Substation,f,way/85047359,2.259322115225041,49.21715964342904,FR,400.0,FR
way/85203486-400,way/85203486,400.0,f,Substation,f,way/85203486,2.1605759284725687,50.94922312554735,FR,400.0,FR
way/85605950-400,way/85605950,400.0,f,Substation,f,way/85605950,3.082364263073925,50.52484471515039,FR,400.0,FR
way/85710783-400,way/85710783,400.0,f,Substation,f,way/85710783,1.01234512652025,49.65711142411833,FR,400.0,FR
way/85995894-400,way/85995894,400.0,f,Substation,f,way/85995894,-1.5567051691087717,48.09290695859272,FR,400.0,FR
way/90842395-400,way/90842395,400.0,f,Substation,f,way/90842395,7.191726320156775,43.80319755169996,FR,400.0,FR
way/98890904-400,way/98890904,400.0,f,Substation,f,way/98890904,2.6775612274761365,43.24042069206017,FR,400.0,FR
way/99722046-400,way/99722046,400.0,f,Substation,f,way/99722046,-0.1139303948248553,47.20719863601107,FR,400.0,FR
way/110086345-400,way/110086345,400.0,f,Substation,f,way/110086345,4.6429696816758765,44.01507362562706,FR,400.0,FR
way/111558550-400,way/111558550,400.0,f,Substation,f,way/111558550,-1.4307427360021785,43.421530953350754,FR,400.0,FR
way/112342683-400,way/112342683,400.0,f,Substation,f,way/112342683,-1.8717479157022647,47.28609264062597,FR,400.0,FR
way/118086309-400,way/118086309,400.0,f,Substation,f,way/118086309,7.52659101237821,48.611947568113045,FR,400.0,FR
way/146695955-400,way/146695955,400.0,f,Substation,f,way/146695955,-4.193590431437424,48.44411120285312,FR,400.0,FR
way/147132694-400,way/147132694,400.0,f,Substation,f,way/147132694,6.050714706414122,45.145495860947605,FR,400.0,FR
way/159167277-400,way/159167277,400.0,f,Substation,f,way/159167277,6.163278603155829,46.87193930354232,FR,400.0,FR
way/179260933-400,way/179260933,400.0,f,Substation,f,way/179260933,4.687052443881729,47.325409278225415,FR,400.0,FR
way/235370803-400,way/235370803,400.0,f,Substation,f,way/235370803,-0.4352712979025001,45.068120934567546,FR,400.0,FR
